name,age,height,citizenship,position,foot,current club,current league
Keylor Navas,34,"1,85 m",Costa Rica  Spain,Goalkeeper,right,Paris Saint-Germain,Ligue 1
Sergio Rico,27,"1,95 m",Spain,Goalkeeper,right,Paris Saint-Germain,Ligue 1
Alexandre Letellier,30,"1,93 m",France,Goalkeeper,right,Paris Saint-Germain,Ligue 1
Denis Franchi,18,,Italy,Goalkeeper,right,Paris Saint-Germain U19,Ligue 1
Yanis Saidani,19,"1,84 m",Algeria  France,Goalkeeper,left,Paris Saint-Germain,Ligue 1
Mathyas Randriamamy,17,"1,86 m",Madagascar  France,Goalkeeper,right,Paris Saint-Germain U19,Ligue 1
Marquinhos,26,"1,83 m",Brazil  Portugal,Defender - Centre-Back,right,Paris Saint-Germain,Ligue 1
Presnel Kimpembe,25,"1,89 m",France  DR Congo,Defender - Centre-Back,left,Paris Saint-Germain,Ligue 1
Thilo Kehrer,24,"1,86 m",Germany  Burundi,Defender - Centre-Back,right,Paris Saint-Germain,Ligue 1
Abdou Diallo,24,"1,87 m",France  Senegal,Defender - Centre-Back,left,Paris Saint-Germain,Ligue 1
Timothée Pembélé,18,"1,82 m",France  DR Congo,Defender - Centre-Back,right,Paris Saint-Germain,Ligue 1
Juan Bernat,27,"1,70 m",Spain,Defender - Left-Back,left,Paris Saint-Germain,Ligue 1
Layvin Kurzawa,28,"1,82 m",France  Poland,Defender - Left-Back,left,Paris Saint-Germain,Ligue 1
Mitchel Bakker,20,"1,85 m",Netherlands,Defender - Left-Back,left,Paris Saint-Germain,Ligue 1
Alessandro Florenzi,29,"1,73 m",Italy,Defender - Right-Back,right,Paris Saint-Germain,Ligue 1
Colin Dagba,22,"1,70 m",France  Benin,Defender - Right-Back,right,Paris Saint-Germain,Ligue 1
Danilo Pereira,29,"1,88 m",Portugal  Guinea-Bissau,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Leandro Paredes,26,"1,80 m",Argentina,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Idrissa Gueye,31,"1,74 m",Senegal,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Maxen Kapo,19,"1,92 m",France,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Marco Verratti,28,"1,65 m",Italy,midfield - Central Midfield,right,Paris Saint-Germain,Ligue 1
Rafinha,27,"1,74 m",Brazil  Spain,midfield - Central Midfield,left,Paris Saint-Germain,Ligue 1
Ander Herrera,31,"1,82 m",Spain,midfield - Central Midfield,right,Paris Saint-Germain,Ligue 1
Kays Ruiz-Atil,18,"1,73 m",France  Morocco,midfield - Central Midfield,right,Paris Saint-Germain,Ligue 1
Julian Draxler,27,"1,87 m",Germany,midfield - Attacking Midfield,right,Paris Saint-Germain,Ligue 1
Bandiougou Fadiga,19,"1,78 m",France  Mali,midfield - Attacking Midfield,,Paris Saint-Germain,Ligue 1
Neymar,28,"1,75 m",Brazil,attack - Left Winger,right,Paris Saint-Germain,Ligue 1
Ángel Di María,32,"1,80 m",Argentina  Italy,attack - Right Winger,left,Paris Saint-Germain,Ligue 1
Pablo Sarabia,28,"1,74 m",Spain,attack - Right Winger,left,Paris Saint-Germain,Ligue 1
Kylian Mbappé,22,"1,78 m",France,attack - Centre-Forward,right,Paris Saint-Germain,Ligue 1
Mauro Icardi,27,"1,81 m",Argentina  Italy,attack - Centre-Forward,right,Paris Saint-Germain,Ligue 1
Moise Kean,20,"1,83 m",Italy  Cote d'Ivoire,attack - Centre-Forward,right,Paris Saint-Germain,Ligue 1
Anthony Lopes,30,"1,84 m",Portugal  France,Goalkeeper,left,Olympique Lyon,Ligue 1
Julian Pollersbeck,26,"1,95 m",Germany,Goalkeeper,right,Olympique Lyon,Ligue 1
Malcolm Barcola,21,"1,95 m",Togo  France,Goalkeeper,right,Olympique Lyon B,Ligue 1
Jason Denayer,25,"1,84 m",Belgium  DR Congo,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Sinaly Diomandé,19,"1,84 m",Cote d'Ivoire,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Marcelo,33,"1,91 m",Brazil,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Cenk Özkacar,20,"1,90 m",Turkey,Defender - Centre-Back,left,Olympique Lyon,Ligue 1
Djamel Eddine Benlamri,31,"1,90 m",Algeria,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Maxwel Cornet,24,"1,79 m",Cote d'Ivoire  France,Defender - Left-Back,left,Olympique Lyon,Ligue 1
Melvin Bard,20,"1,73 m",France,Defender - Left-Back,left,Olympique Lyon,Ligue 1
Léo Dubois,26,"1,78 m",France,Defender - Right-Back,right,Olympique Lyon,Ligue 1
Mattia De Sciglio,28,"1,83 m",Italy,Defender - Right-Back,right,Olympique Lyon,Ligue 1
Thiago Mendes,28,"1,77 m",Brazil,midfield - Defensive Midfield,right,Olympique Lyon,Ligue 1
Houssem Aouar,22,"1,75 m",France  Algeria,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Bruno Guimarães,23,"1,82 m",Brazil  Spain,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Maxence Caqueret,20,"1,74 m",France,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Jean Lucas,22,"1,81 m",Brazil,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Camilo,21,"1,78 m",Brazil  Netherlands,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Lucas Paquetá,23,"1,80 m",Brazil  Portugal,midfield - Attacking Midfield,left,Olympique Lyon,Ligue 1
Rayan Cherki,17,"1,76 m",France  Algeria,midfield - Attacking Midfield,right,Olympique Lyon,Ligue 1
Memphis Depay,26,"1,76 m",Netherlands  Ghana,attack - Left Winger,right,Olympique Lyon,Ligue 1
Yahya Soumaré,20,"1,73 m",France  Mali,attack - Right Winger,right,Olympique Lyon,Ligue 1
Moussa Dembélé,24,"1,83 m",France  Mali,attack - Centre-Forward,right,Olympique Lyon,Ligue 1
Karl Toko Ekambi,28,"1,85 m",Cameroon  France,attack - Centre-Forward,right,Olympique Lyon,Ligue 1
Tino Kadewere,25,"1,83 m",Zimbabwe,attack - Centre-Forward,right,Olympique Lyon,Ligue 1
Benjamin Lecomte,29,"1,86 m",France,Goalkeeper,left,AS Monaco,Ligue 1
Radoslaw Majecki,21,"1,93 m",Poland,Goalkeeper,right,AS Monaco,Ligue 1
Vito Mannone,32,"1,88 m",Italy,Goalkeeper,right,AS Monaco,Ligue 1
Benoît Badiashile,19,"1,94 m",France  DR Congo,Defender - Centre-Back,left,AS Monaco,Ligue 1
Axel Disasi,22,"1,90 m",France  DR Congo,Defender - Centre-Back,right,AS Monaco,Ligue 1
Guillermo Maripán,26,"1,93 m",Chile,Defender - Centre-Back,right,AS Monaco,Ligue 1
Strahinja Pavlovic,19,"1,94 m",Serbia,Defender - Centre-Back,left,AS Monaco,Ligue 1
Chrislain Matsima,18,"1,93 m",France  Congo,Defender - Centre-Back,right,AS Monaco,Ligue 1
Caio Henrique,23,"1,79 m",Brazil  Spain,Defender - Left-Back,left,AS Monaco,Ligue 1
Fodé Ballo-Touré,24,"1,82 m",France  Mali,Defender - Left-Back,left,AS Monaco,Ligue 1
Ruben Aguilar,27,"1,72 m",France  Spain,Defender - Right-Back,right,AS Monaco,Ligue 1
Djibril Sidibé,28,"1,82 m",France  Mali,Defender - Right-Back,right,AS Monaco,Ligue 1
Aurélien Tchouaméni,20,"1,85 m",France  Cameroon,midfield - Defensive Midfield,right,AS Monaco,Ligue 1
Florentino,21,"1,84 m",Portugal  Angola,midfield - Defensive Midfield,right,AS Monaco,Ligue 1
Youssouf Fofana,22,"1,76 m",France  Mali,midfield - Central Midfield,right,AS Monaco,Ligue 1
Cesc Fàbregas,33,"1,79 m",Spain,midfield - Central Midfield,right,AS Monaco,Ligue 1
Youssef Aït Bennasser,24,"1,84 m",Morocco  France,midfield - Central Midfield,right,AS Monaco,Ligue 1
Eliot Matazo,18,"1,74 m",Belgium  DR Congo,midfield - Central Midfield,right,AS Monaco,Ligue 1
Enzo Millot,18,"1,75 m",France  Martinique,midfield - Central Midfield,left,AS Monaco,Ligue 1
Aleksandr Golovin,24,"1,80 m",Russia,midfield - Attacking Midfield,right,AS Monaco,Ligue 1
Sofiane Diop,20,"1,75 m",France  Senegal,midfield - Attacking Midfield,right,AS Monaco,Ligue 1
Henry Onyekuru,23,"1,75 m",Nigeria,attack - Left Winger,right,AS Monaco,Ligue 1
Willem Geubbels,19,"1,85 m",France  Netherlands,attack - Left Winger,right,AS Monaco,Ligue 1
Gelson Martins,25,"1,73 m",Portugal  Cape Verde,attack - Right Winger,right,AS Monaco,Ligue 1
Samuel Grandsir,24,"1,70 m",France  Senegal,attack - Right Winger,right,AS Monaco,Ligue 1
Wissam Ben Yedder,30,"1,70 m",France  Tunisia,attack - Centre-Forward,right,AS Monaco,Ligue 1
Kevin Volland,28,"1,79 m",Germany,attack - Centre-Forward,left,AS Monaco,Ligue 1
Stevan Jovetic,31,"1,83 m",Montenegro  Serbia,attack - Centre-Forward,right,AS Monaco,Ligue 1
Pietro Pellegri,19,"1,88 m",Italy,attack - Centre-Forward,right,AS Monaco,Ligue 1
Mike Maignan,25,"1,91 m",France  French Guiana,Goalkeeper,right,LOSC Lille,Ligue 1
Orestis Karnezis,35,"1,90 m",Greece,Goalkeeper,right,LOSC Lille,Ligue 1
Lucas Chevalier,19,"1,92 m",France,Goalkeeper,right,LOSC Lille,Ligue 1
Sven Botman,20,"1,95 m",Netherlands,Defender - Centre-Back,left,LOSC Lille,Ligue 1
Tiago Djaló,20,"1,90 m",Portugal,Defender - Centre-Back,right,LOSC Lille,Ligue 1
José Fonte,37,"1,91 m",Portugal,Defender - Centre-Back,right,LOSC Lille,Ligue 1
Domagoj Bradaric,21,"1,78 m",Croatia,Defender - Left-Back,left,LOSC Lille,Ligue 1
Reinildo Mandava,26,"1,80 m",Mozambique,Defender - Left-Back,left,LOSC Lille,Ligue 1
Zeki Celik,23,"1,80 m",Turkey,Defender - Right-Back,right,LOSC Lille,Ligue 1
Jérémy Pied,31,"1,73 m",France,Defender - Right-Back,right,LOSC Lille,Ligue 1
Boubakary Soumaré,21,"1,88 m",France  Senegal,midfield - Defensive Midfield,right,LOSC Lille,Ligue 1
Cheikh Niasse,20,"1,88 m",France  Senegal,midfield - Defensive Midfield,right,LOSC Lille,Ligue 1
Eugenio Pizzuto,18,"1,79 m",Mexico  Italy,midfield - Defensive Midfield,left,LOSC Lille,Ligue 1
Renato Sanches,23,"1,76 m",Portugal  Sao Tome and Principe,midfield - Central Midfield,right,LOSC Lille,Ligue 1
Benjamin André,30,"1,80 m",France,midfield - Central Midfield,right,LOSC Lille,Ligue 1
Xeka,26,"1,86 m",Portugal,midfield - Central Midfield,both,LOSC Lille,Ligue 1
Yusuf Yazici,23,"1,83 m",Turkey,midfield - Attacking Midfield,left,LOSC Lille,Ligue 1
Jonathan Bamba,24,"1,75 m",France  Cote d'Ivoire,attack - Left Winger,right,LOSC Lille,Ligue 1
Jonathan Ikoné,22,"1,75 m",France  DR Congo,attack - Right Winger,left,LOSC Lille,Ligue 1
Luiz Araújo,24,"1,75 m",Brazil,attack - Right Winger,left,LOSC Lille,Ligue 1
Isaac Lihadji,18,"1,77 m",France  Comoros,attack - Right Winger,left,LOSC Lille,Ligue 1
Jonathan David,20,"1,80 m",Canada  United States,attack - Centre-Forward,both,LOSC Lille,Ligue 1
Timothy Weah,20,"1,85 m",United States  France,attack - Centre-Forward,right,LOSC Lille,Ligue 1
Burak Yilmaz,35,"1,88 m",Turkey,attack - Centre-Forward,right,LOSC Lille,Ligue 1
Fadiga Ouattara,19,"1,82 m",France  Cote d'Ivoire,attack - Centre-Forward,left,LOSC Lille,Ligue 1
Alfred Gomis,27,"1,96 m",Senegal  Italy,Goalkeeper,right,Stade Rennais FC,Ligue 1
Romain Salin,36,"1,89 m",France,Goalkeeper,left,Stade Rennais FC,Ligue 1
Pépé Bonet,17,"1,93 m",DR Congo  France,Goalkeeper,right,Stade Rennais FC,Ligue 1
Daniele Rugani,26,"1,90 m",Italy,Defender - Centre-Back,right,Stade Rennais FC,Ligue 1
Nayef Aguerd,24,"1,88 m",Morocco,Defender - Centre-Back,left,Stade Rennais FC,Ligue 1
Damien Da Silva,32,"1,84 m",France  Portugal,Defender - Centre-Back,right,Stade Rennais FC,Ligue 1
Gerzino Nyamsi,23,"1,94 m",France  Cameroon,Defender - Centre-Back,right,Stade Rennais FC,Ligue 1
Faitout Maouassa,22,"1,70 m",France  Congo,Defender - Left-Back,left,Stade Rennais FC,Ligue 1
Adrien Truffert,19,"1,73 m",France,Defender - Left-Back,left,Stade Rennais FC,Ligue 1
Dalbert,27,"1,81 m",Brazil,Defender - Left-Back,left,Stade Rennais FC,Ligue 1
Hamari Traoré,28,"1,75 m",Mali,Defender - Right-Back,right,Stade Rennais FC,Ligue 1
Brandon Soppy,18,"1,81 m",France  Cote d'Ivoire,Defender - Right-Back,right,Stade Rennais FC,Ligue 1
Steven Nzonzi,32,"1,96 m",France  DR Congo,midfield - Defensive Midfield,right,Stade Rennais FC,Ligue 1
Eduardo Camavinga,18,"1,82 m",France  Congo,midfield - Central Midfield,left,Stade Rennais FC,Ligue 1
Benjamin Bourigeaud,26,"1,77 m",France,midfield - Central Midfield,right,Stade Rennais FC,Ligue 1
James Léa Siliki,24,"1,83 m",France  Cameroon,midfield - Central Midfield,left,Stade Rennais FC,Ligue 1
Clément Grenier,30,"1,86 m",France,midfield - Central Midfield,right,Stade Rennais FC,Ligue 1
Jonas Martin,30,"1,84 m",France,midfield - Central Midfield,right,Stade Rennais FC,Ligue 1
Martin Terrier,23,"1,84 m",France,attack - Left Winger,right,Stade Rennais FC,Ligue 1
Yann Gboho,19,"1,78 m",France  Cote d'Ivoire,attack - Left Winger,right,Stade Rennais FC,Ligue 1
Flavien Tait,27,"1,75 m",France,attack - Left Winger,right,Stade Rennais FC,Ligue 1
Jérémy Doku,18,"1,71 m",Belgium  Ghana,attack - Right Winger,right,Stade Rennais FC,Ligue 1
Romain Del Castillo,24,"1,72 m",France  Spain,attack - Right Winger,left,Stade Rennais FC,Ligue 1
Serhou Guirassy,24,"1,87 m",France  Guinea,attack - Centre-Forward,right,Stade Rennais FC,Ligue 1
M'Baye Niang,26,"1,88 m",Senegal  France,attack - Centre-Forward,right,Stade Rennais FC,Ligue 1
Adrien Hunou,26,"1,79 m",France  Poland,attack - Centre-Forward,right,Stade Rennais FC,Ligue 1
Georginio Rutter,18,"1,82 m",France  Martinique,attack - Centre-Forward,both,Stade Rennais FC,Ligue 1
Steve Mandanda,35,"1,85 m",France  DR Congo,Goalkeeper,right,Olympique Marseille,Ligue 1
Yohann Pelé,38,"1,96 m",France,Goalkeeper,right,Olympique Marseille,Ligue 1
Simon Ngapandouetnbu,17,"1,80 m",Cameroon  France,Goalkeeper,right,Olympique Marseille,Ligue 1
Duje Caleta-Car,24,"1,92 m",Croatia,Defender - Centre-Back,right,Olympique Marseille,Ligue 1
Leonardo Balerdi,21,"1,87 m",Argentina,Defender - Centre-Back,right,Olympique Marseille,Ligue 1
Álvaro González,31,"1,82 m",Spain,Defender - Centre-Back,right,Olympique Marseille,Ligue 1
Lucas Perrin,22,"1,87 m",France,Defender - Centre-Back,right,Olympique Marseille,Ligue 1
Aaron Kamardin,18,"1,83 m",France  Comoros,Defender - Centre-Back,right,Olympique Marseille,Ligue 1
Jordan Amavi,26,"1,76 m",France  Togo,Defender - Left-Back,left,Olympique Marseille,Ligue 1
Christopher Rocchia,22,"1,72 m",France  Comoros,Defender - Left-Back,left,Olympique Marseille,Ligue 1
Yuto Nagatomo,34,"1,70 m",Japan,Defender - Left-Back,both,Olympique Marseille,Ligue 1
Hiroki Sakai,30,"1,83 m",Japan,Defender - Right-Back,right,Olympique Marseille,Ligue 1
Richecard Richard,18,"1,71 m",France,Defender - Right-Back,right,Olympique Marseille,Ligue 1
Boubacar Kamara,21,"1,84 m",France  Senegal,midfield - Defensive Midfield,right,Olympique Marseille,Ligue 1
Pape Gueye,21,"1,89 m",France  Senegal,midfield - Defensive Midfield,left,Olympique Marseille,Ligue 1
Alexandre Phliponeau,20,"1,80 m",France,midfield - Defensive Midfield,right,Olympique Marseille,Ligue 1
Nassim Ahmed,20,"1,74 m",France  Comoros,midfield - Defensive Midfield,left,Olympique Marseille,Ligue 1
Morgan Sanson,26,"1,80 m",France,midfield - Central Midfield,right,Olympique Marseille,Ligue 1
Valentin Rongier,26,"1,72 m",France,midfield - Central Midfield,right,Olympique Marseille,Ligue 1
Michaël Cuisance,21,"1,81 m",France,midfield - Central Midfield,left,Olympique Marseille,Ligue 1
Kevin Strootman,30,"1,86 m",Netherlands,midfield - Central Midfield,left,Olympique Marseille,Ligue 1
Ugo Bertelli,17,"1,68 m",France,midfield - Central Midfield,right,Olympique Marseille,Ligue 1
Cheick Souaré,18,"1,70 m",France  Guinea,midfield - Central Midfield,left,Olympique Marseille,Ligue 1
Saîf-Eddine Khaoui,25,"1,80 m",Tunisia  France,midfield - Attacking Midfield,left,Olympique Marseille,Ligue 1
Jorès Rahou,17,"1,76 m",France  Algeria,midfield - Attacking Midfield,right,Olympique Marseille,Ligue 1
Dimitri Payet,33,"1,75 m",France,attack - Left Winger,right,Olympique Marseille,Ligue 1
Luis Henrique,19,"1,81 m",Brazil,attack - Left Winger,right,Olympique Marseille,Ligue 1
Nemanja Radonjic,24,"1,85 m",Serbia,attack - Left Winger,both,Olympique Marseille,Ligue 1
Marley Aké,20,"1,77 m",France  Cote d'Ivoire,attack - Left Winger,right,Olympique Marseille,Ligue 1
Florian Thauvin,27,"1,79 m",France,attack - Right Winger,left,Olympique Marseille,Ligue 1
Darío Benedetto,30,"1,77 m",Argentina  Mexico,attack - Centre-Forward,both,Olympique Marseille,Ligue 1
Valère Germain,30,"1,80 m",France,attack - Centre-Forward,right,Olympique Marseille,Ligue 1
Konstantinos Mitroglou,32,"1,88 m",Greece,attack - Centre-Forward,both,Olympique Marseille,Ligue 1
Walter Benítez,27,"1,91 m",Argentina,Goalkeeper,right,OGC Nice,Ligue 1
Yoan Cardinale,26,"1,81 m",France,Goalkeeper,right,OGC Nice,Ligue 1
Teddy Boulhendi,19,"1,85 m",Algeria  France,Goalkeeper,,OGC Nice,Ligue 1
William Saliba,19,"1,93 m",France  Cameroon,Defender - Centre-Back,right,OGC Nice,Ligue 1
Robson Bambu,23,"1,86 m",Brazil,Defender - Centre-Back,right,OGC Nice,Ligue 1
Andy Pelmard,20,"1,80 m",France  Guadeloupe,Defender - Centre-Back,right,OGC Nice,Ligue 1
Flavius Daniliuc,19,"1,88 m",Austria,Defender - Centre-Back,both,OGC Nice,Ligue 1
Dante,37,"1,89 m",Brazil,Defender - Centre-Back,left,OGC Nice,Ligue 1
Hassane Kamara,26,"1,68 m",France  The Gambia,Defender - Left-Back,left,OGC Nice,Ligue 1
Stanley Nsoki,21,"1,84 m",France  Congo,Defender - Left-Back,left,OGC Nice,Ligue 1
Racine Coly,25,"1,85 m",Senegal,Defender - Left-Back,left,OGC Nice,Ligue 1
Youcef Atal,24,"1,76 m",Algeria,Defender - Right-Back,both,OGC Nice,Ligue 1
Jordan Lotomba,22,"1,77 m",Switzerland  DR Congo,Defender - Right-Back,right,OGC Nice,Ligue 1
Morgan Schneiderlin,31,"1,86 m",France,midfield - Defensive Midfield,right,OGC Nice,Ligue 1
Danilo,24,"1,82 m",Brazil,midfield - Defensive Midfield,left,OGC Nice,Ligue 1
Khéphren Thuram,19,"1,91 m",France  Guadeloupe,midfield - Defensive Midfield,right,OGC Nice,Ligue 1
Jeff Reine-Adélaïde,22,"1,84 m",France  Martinique,midfield - Central Midfield,right,OGC Nice,Ligue 1
Pierre Lees Melou,27,"1,85 m",France,midfield - Central Midfield,right,OGC Nice,Ligue 1
Hicham Boudaoui,21,"1,75 m",Algeria,midfield - Central Midfield,right,OGC Nice,Ligue 1
Alexis Trouillet,20,"1,75 m",France,midfield - Central Midfield,left,OGC Nice,Ligue 1
Amine Gouiri,20,"1,80 m",France  Algeria,attack - Left Winger,right,OGC Nice,Ligue 1
Alexis Claude-Maurice,22,"1,74 m",France  Guadeloupe,attack - Left Winger,right,OGC Nice,Ligue 1
Deji Sotona,18,"1,79 m",Ireland  Nigeria,attack - Left Winger,,OGC Nice,Ligue 1
Rony Lopes,25,"1,74 m",Portugal  Brazil,attack - Right Winger,left,OGC Nice,Ligue 1
Dan Ndoye,20,"1,84 m",Switzerland  Senegal,attack - Right Winger,right,OGC Nice,Ligue 1
Kasper Dolberg,23,"1,87 m",Denmark,attack - Centre-Forward,right,OGC Nice,Ligue 1
Myziane Maolida,21,"1,82 m",France  Comoros,attack - Centre-Forward,right,OGC Nice,Ligue 1
Matz Sels,28,"1,88 m",Belgium,Goalkeeper,right,RC Strasbourg Alsace,Ligue 1
Bingourou Kamara,24,"1,96 m",Senegal  France,Goalkeeper,right,RC Strasbourg Alsace,Ligue 1
Eiji Kawashima,37,"1,85 m",Japan,Goalkeeper,right,RC Strasbourg Alsace,Ligue 1
Mohamed Simakan,20,"1,87 m",France  Guinea,Defender - Centre-Back,right,RC Strasbourg Alsace,Ligue 1
Alexander Djiku,26,"1,82 m",Ghana  France,Defender - Centre-Back,right,RC Strasbourg Alsace,Ligue 1
Stefan Mitrovic,30,"1,89 m",Serbia,Defender - Centre-Back,both,RC Strasbourg Alsace,Ligue 1
Lamine Koné,31,"1,89 m",Cote d'Ivoire  France,Defender - Centre-Back,right,RC Strasbourg Alsace,Ligue 1
Anthony Caci,23,"1,84 m",France,Defender - Left-Back,right,RC Strasbourg Alsace,Ligue 1
Lionel Carole,29,"1,82 m",France  Martinique,Defender - Left-Back,left,RC Strasbourg Alsace,Ligue 1
Kenny Lala,29,"1,78 m",France  Martinique,Defender - Right-Back,right,RC Strasbourg Alsace,Ligue 1
Ismaël Aaneba,21,"1,86 m",France  Morocco,Defender - Right-Back,right,RC Strasbourg Alsace,Ligue 1
Ibrahima Sissoko,23,"1,93 m",France  Mali,midfield - Defensive Midfield,right,RC Strasbourg Alsace,Ligue 1
Jean-Eudes Aholou,26,"1,87 m",Cote d'Ivoire,midfield - Defensive Midfield,left,RC Strasbourg Alsace,Ligue 1
Mahame Siby,24,"1,91 m",France  Mali,midfield - Defensive Midfield,right,RC Strasbourg Alsace,Ligue 1
Jean-Ricner Bellegarde,22,"1,70 m",France  Haiti,midfield - Central Midfield,right,RC Strasbourg Alsace,Ligue 1
Sanjin Prcic,27,"1,82 m",Bosnia-Herzegovina  France,midfield - Central Midfield,right,RC Strasbourg Alsace,Ligue 1
Dimitri Liénard,32,"1,84 m",France,midfield - Central Midfield,left,RC Strasbourg Alsace,Ligue 1
Adrien Thomasson,27,"1,77 m",France  Croatia,midfield - Attacking Midfield,left,RC Strasbourg Alsace,Ligue 1
Mehdi Chahiri,24,"1,80 m",France  Morocco,attack - Left Winger,right,RC Strasbourg Alsace,Ligue 1
Habib Diallo,25,"1,86 m",Senegal,attack - Centre-Forward,right,RC Strasbourg Alsace,Ligue 1
Ludovic Ajorque,26,"1,97 m",France  Réunion,attack - Centre-Forward,left,RC Strasbourg Alsace,Ligue 1
Majeed Waris,29,"1,72 m",Ghana,attack - Centre-Forward,right,RC Strasbourg Alsace,Ligue 1
Lebo Mothiba,24,"1,82 m",South Africa,attack - Centre-Forward,right,RC Strasbourg Alsace,Ligue 1
Kévin Zohi,24,"1,77 m",Mali  Cote d'Ivoire,attack - Centre-Forward,right,RC Strasbourg Alsace,Ligue 1
Idriss Saadi,28,"1,80 m",Algeria  France,attack - Centre-Forward,right,RC Strasbourg Alsace,Ligue 1
Jonas Omlin,27,"1,90 m",Switzerland,Goalkeeper,right,Montpellier HSC,Ligue 1
Dimitry Bertaud,22,"1,80 m",France,Goalkeeper,right,Montpellier HSC,Ligue 1
Matis Carvalho,21,"1,87 m",Portugal  France,Goalkeeper,right,Montpellier HSC,Ligue 1
Pedro Mendes,30,"1,86 m",Portugal,Defender - Centre-Back,right,Montpellier HSC,Ligue 1
Nicolas Cozza,22,"1,78 m",France,Defender - Centre-Back,left,Montpellier HSC,Ligue 1
Daniel Congré,35,"1,85 m",France  Guadeloupe,Defender - Centre-Back,right,Montpellier HSC,Ligue 1
Clément Vidal,20,"1,81 m",France,Defender - Centre-Back,right,Montpellier HSC,Ligue 1
Hilton,43,"1,80 m",Brazil,Defender - Centre-Back,right,Montpellier HSC,Ligue 1
Ambroise Oyongo,29,"1,76 m",Cameroon,Defender - Left-Back,left,Montpellier HSC,Ligue 1
Thibault Tamas,19,"1,77 m",France  Guadeloupe,Defender - Left-Back,left,Montpellier HSC,Ligue 1
Arnaud Souquet,28,"1,79 m",France,Defender - Right-Back,right,Montpellier HSC,Ligue 1
Mathías Suárez,24,"1,82 m",Uruguay,Defender - Right-Back,right,Montpellier HSC,Ligue 1
Joris Chotard,19,"1,79 m",France,midfield - Defensive Midfield,right,Montpellier HSC,Ligue 1
Junior Sambia,24,"1,85 m",France  Central African Republic,midfield - Defensive Midfield,right,Montpellier HSC,Ligue 1
Damien Le Tallec,30,"1,87 m",France  Russia,midfield - Defensive Midfield,right,Montpellier HSC,Ligue 1
Téji Savanier,29,"1,71 m",France,midfield - Central Midfield,right,Montpellier HSC,Ligue 1
Jordan Ferri,28,"1,72 m",France,midfield - Central Midfield,right,Montpellier HSC,Ligue 1
Samy Benchama,20,"1,87 m",France  Algeria,midfield - Central Midfield,right,Montpellier HSC,Ligue 1
Thibaut Vargas,20,"1,75 m",France,midfield - Right Midfield,both,Montpellier HSC,Ligue 1
Mihailo Ristic,25,"1,80 m",Serbia  Bosnia-Herzegovina,midfield - Left Midfield,left,Montpellier HSC,Ligue 1
Florent Mollet,29,"1,75 m",France,midfield - Attacking Midfield,right,Montpellier HSC,Ligue 1
Keagan Dolly,27,"1,70 m",South Africa,attack - Left Winger,left,Montpellier HSC,Ligue 1
Il-lok Yun,28,"1,78 m","Korea, South",attack - Left Winger,right,Montpellier HSC,Ligue 1
Andy Delort,29,"1,82 m",Algeria  France,attack - Centre-Forward,right,Montpellier HSC,Ligue 1
Gaëtan Laborde,26,"1,81 m",France,attack - Centre-Forward,left,Montpellier HSC,Ligue 1
Stephy Mavididi,22,"1,83 m",England  DR Congo,attack - Centre-Forward,right,Montpellier HSC,Ligue 1
Petar Skuletic,30,"1,93 m",Serbia  Montenegro,attack - Centre-Forward,left,Montpellier HSC,Ligue 1
Yanis Ammour,21,"1,82 m",France  Tunisia,attack - Centre-Forward,left,Montpellier HSC,Ligue 1
Béni Makouana,18,"1,77 m",Congo,attack - Centre-Forward,,Montpellier HSC,Ligue 1
Alban Lafont,21,"1,96 m",France  Burkina Faso,Goalkeeper,right,FC Nantes,Ligue 1
Denis Petric,32,"1,86 m",Serbia  Slovenia,Goalkeeper,right,FC Nantes,Ligue 1
Charly Jan,21,"1,85 m",France,Goalkeeper,,FC Nantes,Ligue 1
Andrei Girotto,28,"1,86 m",Brazil,Defender - Centre-Back,right,FC Nantes,Ligue 1
Jean-Charles Castelletto,25,"1,85 m",Cameroon  France,Defender - Centre-Back,both,FC Nantes,Ligue 1
Nicolas Pallois,33,"1,89 m",France,Defender - Centre-Back,left,FC Nantes,Ligue 1
Thomas Basila,21,"1,87 m",France,Defender - Centre-Back,right,FC Nantes,Ligue 1
Charles Traoré,29,"1,80 m",Mali  France,Defender - Left-Back,left,FC Nantes,Ligue 1
Fábio,30,"1,72 m",Brazil  Portugal,Defender - Right-Back,right,FC Nantes,Ligue 1
Dennis Appiah,28,"1,79 m",France  Ghana,Defender - Right-Back,right,FC Nantes,Ligue 1
