name,age,height,citizenship,position,foot,current club,current league
Wahbi Khazri,29,"1,82 m",Tunisia  France,attack - Centre-Forward,right,AS Saint-Étienne,Ligue 1
Charles Abi,20,"1,87 m",France  Togo,attack - Centre-Forward,left,AS Saint-Étienne,Ligue 1
Jean-Philippe Krasso,23,"1,87 m",France  Cote d'Ivoire,attack - Centre-Forward,left,AS Saint-Étienne,Ligue 1
Gautier Larsonneur,23,"1,81 m",France,Goalkeeper,right,Stade Brest 29,Ligue 1
Mouez Hassen,25,"1,86 m",Tunisia  France,Goalkeeper,right,Stade Brest 29,Ligue 1
Sébastien Cibois,22,"1,92 m",France,Goalkeeper,right,Stade Brest 29,Ligue 1
Christophe Hérelle,28,"1,88 m",France  Martinique,Defender - Centre-Back,right,Stade Brest 29,Ligue 1
Jean-Kevin Duverne,23,"1,84 m",France  Haiti,Defender - Centre-Back,right,Stade Brest 29,Ligue 1
Brendan Chardonnet,26,"1,85 m",France,Defender - Centre-Back,right,Stade Brest 29,Ligue 1
Denys Bain,27,"1,81 m",France  Benin,Defender - Centre-Back,both,Stade Brest 29,Ligue 1
Romain Perraud,23,"1,73 m",France,Defender - Left-Back,left,Stade Brest 29,Ligue 1
Lilian Brassier,21,"1,84 m",France  Guadeloupe,Defender - Left-Back,left,Stade Brest 29,Ligue 1
Ludovic Baal,34,"1,76 m",French Guiana  France,Defender - Left-Back,left,Stade Brest 29,Ligue 1
Ronaël Pierre-Gabriel,22,"1,77 m",France,Defender - Right-Back,right,Stade Brest 29,Ligue 1
Julien Faussurier,33,"1,73 m",France,Defender - Right-Back,right,Stade Brest 29,Ligue 1
Paul Lasne,31,"1,86 m",France,midfield - Defensive Midfield,left,Stade Brest 29,Ligue 1
Idrissa Dioh,21,"1,87 m",France,midfield - Defensive Midfield,right,Stade Brest 29,Ligue 1
Romain Faivre,22,"1,80 m",France  Algeria,midfield - Central Midfield,left,Stade Brest 29,Ligue 1
Haris Belkebla,26,"1,77 m",Algeria  France,midfield - Central Midfield,right,Stade Brest 29,Ligue 1
Cristian Battocchio,28,"1,77 m",Italy  Argentina,midfield - Central Midfield,right,Stade Brest 29,Ligue 1
Hianga'a M'Bock,21,"1,86 m",France  Cameroon,midfield - Central Midfield,right,Stade Brest 29,Ligue 1
Hugo Magnetti,22,"1,72 m",France,midfield - Central Midfield,left,Stade Brest 29,Ligue 1
Ferris N'Goma,27,"1,75 m",France  DR Congo,midfield - Central Midfield,both,Stade Brest 29,Ligue 1
Heriberto Tavares,23,"1,81 m",Portugal  Cape Verde,attack - Left Winger,left,Stade Brest 29,Ligue 1
Romain Philippoteaux,32,"1,70 m",France,attack - Left Winger,both,Stade Brest 29,Ligue 1
Franck Honorat,24,"1,80 m",France,attack - Right Winger,right,Stade Brest 29,Ligue 1
Irvin Cardona,23,"1,85 m",France  Malta,attack - Centre-Forward,right,Stade Brest 29,Ligue 1
Steve Mounié,26,"1,90 m",Benin  France,attack - Centre-Forward,right,Stade Brest 29,Ligue 1
Gaëtan Charbonnier,32,"1,88 m",France,attack - Centre-Forward,right,Stade Brest 29,Ligue 1
Jérémy Le Douaron,22,"1,89 m",France,attack - Centre-Forward,left,Stade Brest 29,Ligue 1
Rafiki Saïd,20,"1,78 m",Comoros  France,attack - Centre-Forward,both,Stade Brest 29,Ligue 1
Paul Bernardoni,23,"1,90 m",France,Goalkeeper,left,SCO Angers,Ligue 1
Danijel Petkovic,27,"1,96 m",Montenegro,Goalkeeper,right,SCO Angers,Ligue 1
Ludovic Butelle,37,"1,88 m",France,Goalkeeper,left,SCO Angers,Ligue 1
Romain Thomas,32,"1,93 m",France,Defender - Centre-Back,right,SCO Angers,Ligue 1
Ismaël Traoré,34,"1,84 m",Cote d'Ivoire  France,Defender - Centre-Back,right,SCO Angers,Ligue 1
Mateo Pavlovic,30,"1,94 m",Croatia,Defender - Centre-Back,right,SCO Angers,Ligue 1
Kévin Boma,18,"1,87 m",France  Togo,Defender - Centre-Back,right,SCO Angers B,Ligue 1
Elhadji Pape Diaw,26,"1,94 m",Senegal,Defender - Centre-Back,left,SCO Angers,Ligue 1
Souleyman Doumbia,24,"1,83 m",Cote d'Ivoire  France,Defender - Left-Back,left,SCO Angers,Ligue 1
Enzo Ebosse,21,"1,85 m",France  Cameroon,Defender - Left-Back,left,SCO Angers,Ligue 1
Abdoulaye Bamba,30,"1,82 m",Cote d'Ivoire  Italy,Defender - Right-Back,right,SCO Angers,Ligue 1
Vincent Manceau,31,"1,76 m",France,Defender - Right-Back,right,SCO Angers,Ligue 1
Haithem Loucif,24,"1,77 m",Algeria,Defender - Right-Back,right,SCO Angers,Ligue 1
Ibrahim Amadou,27,"1,83 m",France  Cameroon,midfield - Defensive Midfield,right,SCO Angers,Ligue 1
Zinédine Ould Khaled,20,"1,95 m",France  Algeria,midfield - Defensive Midfield,right,SCO Angers,Ligue 1
Angelo Fulgini,24,"1,83 m",France  Cote d'Ivoire,midfield - Central Midfield,right,SCO Angers,Ligue 1
Antonin Bobichon,25,"1,78 m",France,midfield - Central Midfield,right,SCO Angers,Ligue 1
Thomas Mangani,33,"1,83 m",France  Italy,midfield - Central Midfield,left,SCO Angers,Ligue 1
Lassana Coulibaly,24,"1,83 m",Mali,midfield - Central Midfield,right,SCO Angers,Ligue 1
Mathias Pereira Lage,24,"1,80 m",Portugal  France,midfield - Left Midfield,right,SCO Angers,Ligue 1
Pierrick Capelle,33,"1,81 m",France,midfield - Left Midfield,left,SCO Angers,Ligue 1
Waniss Taïbi,18,"1,84 m",France  Algeria,midfield - Attacking Midfield,both,SCO Angers B,Ligue 1
Sofiane Boufal,27,"1,75 m",Morocco  France,attack - Left Winger,right,SCO Angers,Ligue 1
Thomas Touré,27,"1,75 m",Cote d'Ivoire  France,attack - Left Winger,right,SCO Angers,Ligue 1
Sada Thioub,25,"1,79 m",Senegal  France,attack - Right Winger,right,SCO Angers,Ligue 1
Jimmy Cabot,26,"1,64 m",France,attack - Right Winger,right,SCO Angers,Ligue 1
Farid El Melali,23,"1,68 m",Algeria,attack - Right Winger,both,SCO Angers,Ligue 1
Mohamed-Ali Cho,16,"1,82 m",France  England,attack - Right Winger,left,SCO Angers,Ligue 1
Noah Fatar,18,"1,70 m",France  Morocco,attack - Right Winger,left,SCO Angers B,Ligue 1
Kevin Bemanga,22,"1,75 m",France  Congo,attack - Right Winger,right,SCO Angers,Ligue 1
Stéphane Bahoken,28,"1,85 m",Cameroon  France,attack - Centre-Forward,right,SCO Angers,Ligue 1
