name,age,height,citizenship,position,foot,current club,17/18 games,17/18 goals,17/18 assists,17/18 minutes,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Oleksandr Zinchenko,23.0,175.0,Ukraine,Defender - Left-Back,left,Manchester City,14.0,0.0,1104.0,0.0,29.0,1.0,2339.0,0.0,25.0,1.0,1776.0,0.0,5.0,0.0,272.0,0.0,Premier League
Kyle Walker,30.0,183.0,England,Defender - Right-Back,right,Manchester City,48.0,0.0,3842.0,0.0,52.0,2.0,4301.0,0.0,42.0,1.0,3454.0,0.0,15.0,1.0,1306.0,0.0,Premier League
Danilo,29.0,184.0,Brazil,Defender - Right-Back,right,Juventus FC,38.0,3.0,2476.0,0.0,22.0,1.0,1479.0,0.0,32.0,2.0,2152.0,0.0,15.0,0.0,1264.0,0.0,Premier League
Fernandinho,35.0,179.0,Brazil,Midfielder - Defensive Midfield,right,Manchester City,48.0,5.0,3990.0,0.0,42.0,1.0,3374.0,0.0,41.0,0.0,3234.0,0.0,10.0,0.0,488.0,0.0,Premier League
Luke Brattan,30.0,175.0,Australia  England,Midfielder - Defensive Midfield,right,Sydney FC,27.0,1.0,2252.0,0.0,29.0,4.0,2271.0,0.0,30.0,1.0,2584.0,0.0,,,,,Premier League
Claudio Gomes,20.0,180.0,France  Guinea-Bissau,Midfielder - Defensive Midfield,right,Manchester City U23,4.0,0.0,305.0,0.0,20.0,0.0,1545.0,0.0,22.0,0.0,1784.0,0.0,8.0,0.0,720.0,0.0,Premier League
Ilkay Gündogan,30.0,180.0,Germany,Midfielder - Central Midfield,right,Manchester City,49.0,6.0,2816.0,0.0,50.0,6.0,3387.0,0.0,50.0,5.0,3551.0,0.0,11.0,2.0,757.0,0.0,Premier League
Phil Foden,20.0,171.0,England,Midfielder - Central Midfield,left,Manchester City,22.0,7.0,1408.0,0.0,26.0,7.0,1137.0,0.0,38.0,8.0,1770.0,0.0,15.0,4.0,968.0,0.0,Premier League
Fabian Delph,31.0,174.0,England  Guyana,Midfielder - Central Midfield,left,Everton FC,29.0,1.0,2324.0,0.0,20.0,0.0,1219.0,0.0,20.0,0.0,1471.0,0.0,7.0,0.0,364.0,0.0,Premier League
Aleix García,23.0,173.0,Spain,Midfielder - Central Midfield,right,FC Dinamo,21.0,1.0,931.0,0.0,34.0,2.0,1934.0,0.0,26.0,5.0,2049.0,0.0,5.0,0.0,341.0,0.0,Premier League
Douglas Luiz,22.0,178.0,Brazil,Midfielder - Central Midfield,right,Aston Villa,17.0,0.0,450.0,0.0,29.0,0.0,1958.0,0.0,42.0,3.0,3148.0,0.0,10.0,0.0,801.0,0.0,Premier League
Mix Diskerud,30.0,184.0,United States  Norway,Midfielder - Central Midfield,right,Helsingborgs IF,39.0,6.0,3160.0,0.0,40.0,9.0,3006.0,0.0,28.0,2.0,2430.0,0.0,,,,,Premier League
Anthony Cáceres,28.0,173.0,Australia  Uruguay,Midfielder - Central Midfield,right,Sydney FC,27.0,1.0,1850.0,0.0,27.0,0.0,1430.0,0.0,33.0,2.0,1984.0,0.0,,,,,Premier League
Taylor Richards,20.0,180.0,England,Midfielder - Central Midfield,left,Doncaster Rovers,17.0,4.0,852.0,0.0,29.0,10.0,1949.0,0.0,19.0,6.0,1431.0,0.0,15.0,1.0,886.0,0.0,Premier League
Luke Bolton,21.0,174.0,England,Midfielder - Right Midfield,right,Dundee United FC,11.0,2.0,605.0,0.0,20.0,2.0,939.0,0.0,28.0,0.0,1284.0,0.0,19.0,0.0,1404.0,0.0,Premier League
Kevin De Bruyne,29.0,181.0,Belgium,Midfielder - Attacking Midfield,right,Manchester City,52.0,12.0,4189.0,0.0,32.0,6.0,1828.0,0.0,48.0,16.0,3826.0,0.0,13.0,2.0,1002.0,0.0,Premier League
David Silva,34.0,170.0,Spain,Midfielder - Attacking Midfield,left,Real Sociedad,40.0,10.0,3198.0,0.0,50.0,10.0,3727.0,0.0,40.0,6.0,2602.0,0.0,13.0,1.0,1012.0,0.0,Premier League
Brahim Díaz,21.0,171.0,Spain  Morocco,Midfielder - Attacking Midfield,both,AC Milan,27.0,6.0,1630.0,0.0,15.0,3.0,607.0,0.0,10.0,1.0,206.0,0.0,14.0,4.0,724.0,0.0,Premier League
Luka Ilic,21.0,182.0,Serbia,Midfielder - Attacking Midfield,left,Twente Enschede FC,17.0,2.0,756.0,0.0,18.0,2.0,963.0,0.0,29.0,5.0,2218.0,0.0,5.0,1.0,148.0,0.0,Premier League
Felix Nmecha,20.0,185.0,England  Germany,Midfielder - Attacking Midfield,right,Manchester City U23,31.0,10.0,2174.0,0.0,29.0,6.0,2035.0,0.0,5.0,2.0,262.0,0.0,9.0,3.0,686.0,0.0,Premier League
Adrián Bernabé,19.0,170.0,Spain,Midfielder - Attacking Midfield,left,Manchester City U23,,,,,29.0,3.0,1959.0,0.0,27.0,8.0,1952.0,0.0,8.0,2.0,636.0,0.0,Premier League
Raheem Sterling,26.0,170.0,England  Jamaica,Forward - Left Winger,right,Manchester City,46.0,23.0,3568.0,0.0,51.0,25.0,4097.0,0.0,52.0,31.0,4017.0,0.0,17.0,7.0,1314.0,0.0,Premier League
Leroy Sané,24.0,183.0,Germany  France,Forward - Left Winger,left,Bayern Munich,49.0,14.0,3648.0,0.0,47.0,16.0,2694.0,0.0,3.0,0.0,81.0,0.0,13.0,5.0,652.0,0.0,Premier League
Jack Harrison,24.0,175.0,England,Forward - Left Winger,left,Leeds United,6.0,0.0,164.0,0.0,42.0,4.0,2948.0,0.0,49.0,6.0,3955.0,0.0,11.0,1.0,938.0,0.0,Premier League
Bernardo Silva,26.0,173.0,Portugal,Forward - Right Winger,left,Manchester City,53.0,9.0,2795.0,0.0,51.0,13.0,4025.0,0.0,52.0,8.0,3329.0,0.0,13.0,0.0,780.0,0.0,Premier League
Riyad Mahrez,29.0,179.0,Algeria  France,Forward - Right Winger,left,Manchester City,41.0,13.0,3339.0,0.0,44.0,12.0,2581.0,0.0,50.0,13.0,3149.0,0.0,15.0,4.0,1117.0,0.0,Premier League
Patrick Roberts,23.0,167.0,England,Forward - Right Winger,left,Middlesbrough FC,18.0,1.0,907.0,0.0,21.0,0.0,640.0,0.0,16.0,2.0,885.0,0.0,6.0,0.0,254.0,0.0,Premier League
Marlos Moreno,24.0,173.0,Colombia,Forward - Right Winger,right,Lommel SK,30.0,1.0,1015.0,0.0,17.0,3.0,836.0,0.0,20.0,0.0,679.0,0.0,10.0,4.0,803.0,0.0,Premier League
Ian Poveda,20.0,167.0,England  Colombia,Forward - Right Winger,left,Leeds United,22.0,2.0,1309.0,0.0,29.0,6.0,2068.0,0.0,15.0,3.0,1035.0,0.0,11.0,1.0,449.0,0.0,Premier League
Gabriel Jesus,23.0,175.0,Brazil,Forward - Centre-Forward,right,Manchester City,42.0,17.0,2594.0,0.0,47.0,21.0,2253.0,0.0,53.0,23.0,3304.0,0.0,8.0,3.0,568.0,0.0,Premier League
Sergio Agüero,32.0,173.0,Argentina  Spain,Forward - Centre-Forward,right,Manchester City,39.0,30.0,2933.0,0.0,46.0,32.0,3370.0,0.0,32.0,23.0,2092.0,0.0,5.0,2.0,213.0,0.0,Premier League
Kepa,26.0,186.0,Spain,Goalkeeper,right,Chelsea FC,31.0,0.0,2790.0,0.0,54.0,0.0,4920.0,0.0,41.0,0.0,3720.0,0.0,4.0,0.0,360.0,0.0,Premier League
Willy Caballero,39.0,186.0,Argentina  Spain,Goalkeeper,right,Chelsea FC,13.0,0.0,1230.0,0.0,9.0,0.0,870.0,0.0,14.0,0.0,1260.0,0.0,2.0,0.0,180.0,0.0,Premier League
Eduardo,38.0,188.0,Portugal,Goalkeeper,right,Retired,1.0,0.0,90.0,0.0,34.0,0.0,3060.0,0.0,9.0,0.0,810.0,0.0,,,,,Premier League
Jamal Blackman,27.0,199.0,England  Jamaica,Goalkeeper,right,Rotherham United,33.0,0.0,2813.0,0.0,2.0,0.0,180.0,0.0,10.0,0.0,900.0,0.0,17.0,0.0,1530.0,0.0,Premier League
Rob Green,40.0,191.0,England,Goalkeeper,right,Retired,1.0,0.0,90.0,0.0,,,,,,,,,,,,,Premier League
Jamie Cumming,21.0,185.0,England,Goalkeeper,right,Stevenage FC,30.0,0.0,2790.0,0.0,23.0,0.0,2013.0,0.0,11.0,0.0,990.0,0.0,21.0,0.0,1950.0,0.0,Premier League
Marcin Bulka,21.0,199.0,Poland,Goalkeeper,right,FC Cartagena,21.0,0.0,1980.0,0.0,5.0,0.0,411.0,0.0,1.0,0.0,90.0,0.0,4.0,0.0,360.0,0.0,Premier League
Antonio Rüdiger,27.0,190.0,Germany  Sierra Leone,Defender - Centre-Back,right,Chelsea FC,45.0,3.0,3785.0,0.0,44.0,1.0,3894.0,0.0,28.0,2.0,2417.0,0.0,5.0,0.0,382.0,0.0,Premier League
Andreas Christensen,24.0,188.0,Denmark,Defender - Centre-Back,right,Chelsea FC,40.0,0.0,3096.0,0.0,29.0,0.0,2469.0,0.0,28.0,0.0,2342.0,0.0,6.0,0.0,495.0,0.0,Premier League
Kurt Zouma,26.0,190.0,France  Central African Republic,Defender - Centre-Back,right,Chelsea FC,37.0,1.0,3127.0,0.0,36.0,2.0,2924.0,0.0,43.0,1.0,3704.0,0.0,16.0,4.0,1379.0,0.0,Premier League
David Luiz,33.0,189.0,Brazil  Portugal,Defender - Centre-Back,right,Arsenal FC,17.0,2.0,1496.0,0.0,50.0,3.0,4339.0,0.0,43.0,2.0,3644.0,0.0,11.0,1.0,770.0,0.0,Premier League
Ethan Ampadu,20.0,182.0,Wales  England,Defender - Centre-Back,right,Sheffield United,26.0,2.0,2042.0,0.0,12.0,0.0,823.0,0.0,7.0,0.0,277.0,0.0,6.0,0.0,456.0,0.0,Premier League
Gary Cahill,34.0,193.0,England,Defender - Centre-Back,right,Crystal Palace,43.0,0.0,3391.0,0.0,8.0,0.0,592.0,0.0,27.0,0.0,2302.0,0.0,4.0,0.0,315.0,0.0,Premier League
Kenneth Omeruo,27.0,185.0,Nigeria,Defender - Centre-Back,right,CD Leganés,28.0,1.0,2407.0,0.0,31.0,0.0,2704.0,0.0,23.0,1.0,1878.0,0.0,8.0,0.0,588.0,0.0,Premier League
Tomas Kalas,27.0,184.0,Czech Republic,Defender - Centre-Back,right,Bristol City,36.0,0.0,2614.0,0.0,41.0,0.0,3610.0,0.0,24.0,0.0,2086.0,0.0,13.0,1.0,950.0,0.0,Premier League
Michael Hector,28.0,193.0,Jamaica  England,Defender - Centre-Back,right,Fulham FC,38.0,1.0,3118.0,0.0,39.0,2.0,3422.0,0.0,27.0,0.0,2460.0,0.0,5.0,0.0,418.0,0.0,Premier League
Matt Miazga,25.0,193.0,United States  Poland,Defender - Centre-Back,right,RSC Anderlecht,43.0,4.0,3659.0,0.0,27.0,0.0,2430.0,0.0,24.0,2.0,1966.0,0.0,7.0,0.0,630.0,0.0,Premier League
Marc Guehi,20.0,182.0,England  Cote d'Ivoire,Defender - Centre-Back,right,Swansea City,28.0,7.0,2511.0,0.0,32.0,0.0,2831.0,0.0,33.0,1.0,2887.0,0.0,14.0,0.0,1253.0,0.0,Premier League
Marcos Alonso,29.0,188.0,Spain,Defender - Left-Back,left,Chelsea FC,46.0,8.0,4017.0,0.0,39.0,4.0,3486.0,0.0,29.0,4.0,2344.0,0.0,3.0,0.0,225.0,0.0,Premier League
Emerson,26.0,181.0,Italy  Brazil,Defender - Left-Back,left,Chelsea FC,10.0,0.0,655.0,0.0,27.0,1.0,2250.0,0.0,21.0,0.0,1523.0,0.0,7.0,0.0,338.0,0.0,Premier League
Abdul Rahman Baba,26.0,179.0,Ghana,Defender - Left-Back,left,Chelsea FC,1.0,0.0,33.0,0.0,15.0,1.0,1292.0,0.0,3.0,0.0,199.0,0.0,2.0,0.0,160.0,0.0,Premier League
César Azpilicueta,31.0,178.0,Spain,Defender - Right-Back,right,Chelsea FC,52.0,3.0,4755.0,0.0,57.0,1.0,4867.0,0.0,49.0,4.0,4312.0,0.0,11.0,0.0,859.0,0.0,Premier League
Ola Aina,24.0,184.0,Nigeria  England,Defender - Right-Back,right,Fulham FC,46.0,1.0,4003.0,0.0,32.0,1.0,2265.0,0.0,37.0,0.0,2347.0,0.0,9.0,1.0,789.0,0.0,Premier League
Todd Kane,27.0,180.0,England  Scotland,Defender - Right-Back,right,Queens Park Rangers,29.0,3.0,2139.0,0.0,41.0,3.0,3362.0,0.0,36.0,1.0,2368.0,0.0,7.0,1.0,569.0,0.0,Premier League
Jorginho,28.0,180.0,Italy  Brazil,Midfielder - Defensive Midfield,right,Chelsea FC,39.0,4.0,3100.0,0.0,54.0,2.0,4391.0,0.0,44.0,7.0,3513.0,0.0,14.0,4.0,1038.0,0.0,Premier League
Tiemoué Bakayoko,26.0,189.0,France  Cote d'Ivoire,Midfielder - Defensive Midfield,right,SSC Napoli,43.0,3.0,3070.0,0.0,42.0,1.0,3274.0,0.0,23.0,1.0,1899.0,0.0,10.0,0.0,748.0,0.0,Premier League
N'Golo Kanté,29.0,168.0,France  Mali,Midfielder - Central Midfield,right,Chelsea FC,48.0,1.0,4207.0,0.0,53.0,5.0,4185.0,0.0,28.0,3.0,2303.0,0.0,18.0,0.0,1236.0,0.0,Premier League
Mateo Kovacic,26.0,177.0,Croatia,Midfielder - Central Midfield,right,Chelsea FC,36.0,0.0,1823.0,0.0,51.0,0.0,3117.0,0.0,47.0,2.0,3281.0,0.0,15.0,0.0,905.0,0.0,Premier League
Ross Barkley,27.0,185.0,England,Midfielder - Central Midfield,right,Aston Villa,5.0,0.0,271.0,0.0,48.0,5.0,2725.0,0.0,31.0,5.0,1700.0,0.0,9.0,2.0,585.0,0.0,Premier League
Ruben Loftus-Cheek,24.0,191.0,England,Midfielder - Central Midfield,right,Fulham FC,25.0,2.0,1965.0,0.0,40.0,10.0,1955.0,0.0,10.0,0.0,317.0,0.0,7.0,1.0,415.0,0.0,Premier League
Cesc Fàbregas,33.0,179.0,Spain,Midfielder - Central Midfield,right,AS Monaco,49.0,3.0,3687.0,0.0,31.0,2.0,2083.0,0.0,22.0,0.0,1097.0,0.0,10.0,1.0,517.0,0.0,Premier League
Mario Pasalic,25.0,188.0,Croatia,Midfielder - Central Midfield,right,Atalanta BC,32.0,5.0,1708.0,0.0,42.0,8.0,2027.0,0.0,45.0,12.0,3205.0,0.0,11.0,1.0,700.0,0.0,Premier League
Marco van Ginkel,28.0,186.0,Netherlands,Midfielder - Central Midfield,right,PSV Eindhoven,33.0,16.0,2808.0,0.0,,,,,,,,,,,,,Premier League
Danny Drinkwater,30.0,177.0,England,Midfielder - Central Midfield,right,Chelsea FC,22.0,1.0,1151.0,0.0,1.0,0.0,30.0,0.0,6.0,0.0,412.0,0.0,3.0,0.0,270.0,0.0,Premier League
Lewis Baker,25.0,182.0,England  Jamaica,Midfielder - Central Midfield,both,Trabzonspor,15.0,2.0,847.0,0.0,33.0,1.0,1969.0,0.0,9.0,0.0,651.0,0.0,9.0,1.0,810.0,0.0,Premier League
Conor Gallagher,20.0,182.0,England,Midfielder - Central Midfield,right,West Bromwich Albion,33.0,7.0,2114.0,0.0,28.0,5.0,2264.0,0.0,47.0,6.0,4069.0,0.0,8.0,2.0,720.0,0.0,Premier League
George McEachran,20.0,172.0,England  Scotland,Midfielder - Central Midfield,left,MVV Maastricht,35.0,6.0,2314.0,0.0,34.0,3.0,2639.0,0.0,25.0,1.0,1851.0,0.0,7.0,0.0,446.0,0.0,Premier League
Davide Zappacosta,28.0,182.0,Italy,Midfielder - Right Midfield,right,Genoa CFC,38.0,2.0,2305.0,0.0,17.0,0.0,1020.0,0.0,9.0,0.0,446.0,0.0,2.0,1.0,166.0,0.0,Premier League
Victor Moses,29.0,177.0,Nigeria  England,Midfielder - Right Midfield,right,Spartak Moscow,38.0,4.0,3038.0,0.0,22.0,4.0,1250.0,0.0,27.0,1.0,1243.0,0.0,7.0,1.0,491.0,0.0,Premier League
Danilo Pantic,24.0,183.0,Serbia,Midfielder - Attacking Midfield,right,FK Cukaricki,46.0,5.0,3147.0,0.0,45.0,8.0,3486.0,0.0,11.0,0.0,423.0,0.0,12.0,0.0,775.0,0.0,Premier League
Charly Musonda Jr.,24.0,173.0,Belgium  Zambia,Midfielder - Attacking Midfield,right,Chelsea FC,20.0,4.0,1059.0,0.0,4.0,2.0,268.0,0.0,3.0,0.0,65.0,0.0,,,,,Premier League
Nathan,24.0,177.0,Brazil,Midfielder - Attacking Midfield,right,Clube Atlético Mineiro,23.0,2.0,905.0,0.0,27.0,4.0,1333.0,0.0,22.0,6.0,1381.0,0.0,,,,,Premier League
Eden Hazard,29.0,175.0,Belgium,Forward - Left Winger,both,Real Madrid,52.0,17.0,3804.0,0.0,52.0,21.0,3878.0,0.0,22.0,1.0,1545.0,0.0,6.0,2.0,315.0,0.0,Premier League
Christian Pulisic,22.0,172.0,United States  Croatia,Forward - Left Winger,right,Chelsea FC,42.0,5.0,3038.0,0.0,30.0,7.0,1701.0,0.0,34.0,11.0,2348.0,0.0,8.0,2.0,427.0,0.0,Premier League
Callum Hudson-Odoi,20.0,177.0,England  Ghana,Forward - Left Winger,right,Chelsea FC,34.0,21.0,2608.0,0.0,29.0,6.0,1617.0,0.0,35.0,4.0,1609.0,0.0,12.0,3.0,599.0,0.0,Premier League
Kenedy,24.0,182.0,Brazil,Forward - Left Winger,left,Granada CF,19.0,3.0,1555.0,0.0,28.0,1.0,1613.0,0.0,27.0,3.0,946.0,0.0,13.0,1.0,656.0,0.0,Premier League
Lucas Piazón,26.0,182.0,Brazil  Italy,Forward - Left Winger,right,Rio Ave FC,25.0,6.0,1364.0,0.0,6.0,0.0,260.0,0.0,24.0,4.0,1599.0,0.0,11.0,2.0,722.0,0.0,Premier League
Willian,32.0,175.0,Brazil,Forward - Right Winger,right,Arsenal FC,55.0,13.0,3053.0,0.0,56.0,8.0,3533.0,0.0,47.0,11.0,3365.0,0.0,14.0,0.0,856.0,0.0,Premier League
Pedro,33.0,167.0,Spain,Forward - Right Winger,both,AS Roma,48.0,7.0,2509.0,0.0,52.0,13.0,3099.0,0.0,23.0,2.0,1273.0,0.0,14.0,4.0,996.0,0.0,Premier League
Álvaro Morata,28.0,187.0,Spain,Forward - Centre-Forward,right,Juventus FC,48.0,15.0,2794.0,0.0,41.0,15.0,2709.0,0.0,44.0,16.0,2801.0,0.0,13.0,9.0,1015.0,0.0,Premier League
Gonzalo Higuaín,33.0,184.0,Argentina  France,Forward - Centre-Forward,right,Inter Miami CF,50.0,23.0,3877.0,0.0,40.0,13.0,3174.0,0.0,53.0,12.0,3447.0,0.0,,,,,Premier League
Michy Batshuayi,27.0,184.0,Belgium  DR Congo,Forward - Centre-Forward,right,Crystal Palace,40.0,21.0,2329.0,0.0,36.0,9.0,1963.0,0.0,25.0,8.0,746.0,0.0,9.0,0.0,478.0,0.0,Premier League
Tammy Abraham,23.0,191.0,England  Nigeria,Forward - Centre-Forward,right,Chelsea FC,39.0,8.0,2240.0,0.0,42.0,26.0,3561.0,0.0,47.0,18.0,2960.0,0.0,17.0,5.0,874.0,0.0,Premier League
Olivier Giroud,34.0,193.0,France,Forward - Centre-Forward,left,Chelsea FC,44.0,12.0,2187.0,0.0,45.0,13.0,2186.0,0.0,25.0,10.0,1408.0,0.0,12.0,7.0,362.0,0.0,Premier League
Alisson,28.0,191.0,Brazil,Goalkeeper,right,Liverpool FC,49.0,0.0,4410.0,0.0,51.0,0.0,4590.0,0.0,37.0,0.0,3325.0,0.0,12.0,0.0,1080.0,0.0,Premier League
Simon Mignolet,32.0,193.0,Belgium,Goalkeeper,right,Club Brugge KV,22.0,0.0,1980.0,0.0,2.0,0.0,180.0,0.0,44.0,0.0,3990.0,0.0,19.0,0.0,1710.0,0.0,Premier League
Loris Karius,27.0,189.0,Germany,Goalkeeper,right,1.FC Union Berlin,33.0,0.0,2970.0,0.0,35.0,0.0,3150.0,0.0,32.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,Premier League
Ádám Bogdán,33.0,194.0,Hungary,Goalkeeper,right,Ferencvárosi TC,,,,,25.0,0.0,2255.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.0,Premier League
Kamil Grabara,21.0,195.0,Poland,Goalkeeper,right,Aarhus GF,25.0,0.0,2250.0,0.0,22.0,0.0,1980.0,0.0,28.0,0.0,2513.0,0.0,9.0,0.0,840.0,0.0,Premier League
Caoimhin Kelleher,22.0,188.0,Ireland,Goalkeeper,right,Liverpool FC,10.0,0.0,900.0,0.0,11.0,0.0,990.0,0.0,10.0,0.0,900.0,0.0,9.0,0.0,810.0,0.0,Premier League
Virgil van Dijk,29.0,193.0,Netherlands  Suriname,Defender - Centre-Back,right,Liverpool FC,36.0,2.0,3153.0,0.0,50.0,6.0,4465.0,0.0,50.0,5.0,4620.0,0.0,8.0,1.0,567.0,0.0,Premier League
Joe Gomez,23.0,188.0,England  The Gambia,Defender - Centre-Back,right,Liverpool FC,31.0,0.0,2463.0,0.0,26.0,0.0,1644.0,0.0,43.0,0.0,3319.0,0.0,12.0,0.0,979.0,0.0,Premier League
Joel Matip,29.0,195.0,Cameroon  Germany,Defender - Centre-Back,right,Liverpool FC,35.0,1.0,2819.0,0.0,31.0,1.0,2342.0,0.0,13.0,2.0,1075.0,0.0,7.0,1.0,536.0,0.0,Premier League
Dejan Lovren,31.0,188.0,Croatia,Defender - Centre-Back,right,Zenit St. Petersburg,43.0,2.0,3354.0,0.0,18.0,1.0,1261.0,0.0,15.0,1.0,1190.0,0.0,21.0,2.0,1778.0,0.0,Premier League
Andrew Robertson,26.0,178.0,Scotland,Defender - Left-Back,left,Liverpool FC,30.0,1.0,2663.0,0.0,48.0,0.0,4227.0,0.0,49.0,3.0,4272.0,0.0,18.0,1.0,1473.0,0.0,Premier League
Alberto Moreno,28.0,171.0,Spain,Defender - Left-Back,left,Villarreal CF,27.0,0.0,2097.0,0.0,5.0,0.0,344.0,0.0,19.0,0.0,1594.0,0.0,,,,,Premier League
Trent Alexander-Arnold,22.0,180.0,England,Defender - Right-Back,right,Liverpool FC,34.0,3.0,2744.0,0.0,40.0,1.0,3388.0,0.0,49.0,4.0,3991.0,0.0,13.0,0.0,1066.0,0.0,Premier League
Nathaniel Clyne,29.0,175.0,England  Grenada,Defender - Right-Back,right,Crystal Palace,5.0,0.0,183.0,0.0,21.0,0.0,1523.0,0.0,,,,,7.0,0.0,567.0,0.0,Premier League
Connor Randall,25.0,180.0,England,Defender - Right-Back,right,Ross County FC,27.0,0.0,2032.0,0.0,10.0,0.0,709.0,0.0,10.0,0.0,576.0,0.0,13.0,0.0,845.0,0.0,Premier League
Ki-Jana Hoever,18.0,183.0,Netherlands  Suriname,Defender - Right-Back,right,Wolverhampton Wanderers,13.0,2.0,1019.0,0.0,18.0,0.0,1192.0,0.0,16.0,1.0,1395.0,0.0,4.0,0.0,209.0,0.0,Premier League
Fabinho,27.0,188.0,Brazil,Midfielder - Defensive Midfield,right,Liverpool FC,46.0,8.0,4097.0,0.0,41.0,1.0,2916.0,0.0,39.0,2.0,2925.0,0.0,16.0,0.0,1170.0,0.0,Premier League
Marko Grujic,24.0,191.0,Serbia,Midfielder - Defensive Midfield,right,FC Porto,24.0,2.0,1498.0,0.0,23.0,5.0,1900.0,0.0,31.0,4.0,2659.0,0.0,10.0,1.0,498.0,0.0,Premier League
Naby Keïta,25.0,172.0,Guinea,Midfielder - Central Midfield,right,Liverpool FC,39.0,9.0,2975.0,0.0,33.0,3.0,1817.0,0.0,27.0,4.0,1425.0,0.0,10.0,0.0,440.0,0.0,Premier League
Georginio Wijnaldum,30.0,175.0,Netherlands  Suriname,Midfielder - Central Midfield,right,Liverpool FC,50.0,2.0,3600.0,0.0,47.0,5.0,3705.0,0.0,47.0,6.0,3674.0,0.0,18.0,1.0,1371.0,0.0,Premier League
Jordan Henderson,30.0,187.0,England,Midfielder - Central Midfield,right,Liverpool FC,41.0,1.0,3308.0,0.0,44.0,1.0,2811.0,0.0,40.0,4.0,3167.0,0.0,13.0,0.0,869.0,0.0,Premier League
