name,age,height,citizenship,position,foot,current club,17/18 games,17/18 goals,17/18 assists,17/18 minutes,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Ederson,27.0,188.0,Brazil  Portugal,Goalkeeper,left,Manchester City,45.0,0.0,4005.0,0.0,55.0,0.0,4980.0,0.0,44.0,0.0,3837.0,0.0,15.0,0.0,1350.0,0.0,Premier League
Claudio Bravo,37.0,184.0,Chile  Spain,Goalkeeper,right,Real Betis Balompié,13.0,0.0,1185.0,0.0,1.0,0.0,90.0,0.0,17.0,0.0,1491.0,0.0,7.0,0.0,630.0,0.0,Premier League
Arijanet Muric,22.0,198.0,Kosovo  Montenegro,Goalkeeper,right,Girona FC,15.0,0.0,1410.0,0.0,7.0,0.0,690.0,0.0,5.0,0.0,450.0,0.0,2.0,0.0,180.0,0.0,Premier League
Daniel Grimshaw,22.0,185.0,England,Goalkeeper,right,Lommel SK,15.0,0.0,1305.0,0.0,12.0,0.0,1080.0,0.0,7.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,Premier League
Aymeric Laporte,26.0,189.0,France,Defender - Centre-Back,left,Manchester City,43.0,1.0,3867.0,0.0,51.0,5.0,4352.0,0.0,20.0,1.0,1497.0,0.0,7.0,0.0,617.0,0.0,Premier League
John Stones,26.0,188.0,England,Defender - Centre-Back,right,Manchester City,29.0,3.0,2234.0,0.0,39.0,0.0,2820.0,0.0,24.0,0.0,1584.0,0.0,8.0,0.0,525.0,0.0,Premier League
Nicolás Otamendi,32.0,183.0,Argentina,Defender - Centre-Back,right,SL Benfica,46.0,5.0,4048.0,0.0,33.0,1.0,2478.0,0.0,39.0,3.0,2910.0,0.0,11.0,0.0,919.0,0.0,Premier League
Eliaquim Mangala,29.0,187.0,France  Belgium,Defender - Centre-Back,left,Valencia CF,17.0,0.0,1178.0,0.0,5.0,0.0,251.0,0.0,11.0,0.0,884.0,0.0,3.0,0.0,140.0,0.0,Premier League
Vincent Kompany,34.0,190.0,Belgium  DR Congo,Defender - Centre-Back,right,Retired,21.0,2.0,1756.0,0.0,26.0,1.0,1782.0,0.0,18.0,1.0,1484.0,0.0,,,,,Premier League
Philippe Sandler,23.0,190.0,Netherlands,Defender - Centre-Back,right,Manchester City,27.0,1.0,2308.0,0.0,8.0,0.0,596.0,0.0,11.0,0.0,982.0,0.0,,,,,Premier League
Pablo Marí,27.0,193.0,Spain,Defender - Centre-Back,left,Arsenal FC,32.0,3.0,2762.0,0.0,66.0,5.0,5777.0,0.0,7.0,0.0,504.0,0.0,2.0,1.0,135.0,0.0,Premier League
Erik Palmer-Brown,23.0,186.0,United States,Defender - Centre-Back,right,Austria Vienna,9.0,0.0,626.0,0.0,26.0,2.0,2283.0,0.0,26.0,2.0,2111.0,0.0,10.0,0.0,900.0,0.0,Premier League
Eric García,19.0,183.0,Spain,Defender - Centre-Back,right,Manchester City,27.0,4.0,2401.0,0.0,21.0,2.0,1791.0,0.0,25.0,0.0,1868.0,0.0,7.0,0.0,498.0,0.0,Premier League
Cameron Humphreys,22.0,187.0,England,Defender - Centre-Back,right,SV Zulte Waregem,1.0,0.0,45.0,0.0,13.0,0.0,915.0,0.0,8.0,0.0,588.0,0.0,7.0,0.0,530.0,0.0,Premier League
Benjamin Mendy,26.0,185.0,France  Senegal,Defender - Left-Back,left,Manchester City,9.0,0.0,496.0,0.0,15.0,0.0,1270.0,0.0,30.0,0.0,2324.0,0.0,8.0,1.0,653.0,0.0,Premier League
