name,age,height,citizenship,position,foot,current club,17/18 games,17/18 goals,17/18 assists,17/18 minutes,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Thibaut Courtois,28.0,199.0,Belgium,Goalkeeper,left,Real Madrid,46.0,0.0,4170.0,0.0,35.0,0.0,3150.0,0.0,43.0,0.0,3855.0,0.0,24.0,0.0,2160.0,0.0,Premier League
Willy Caballero,39.0,186.0,Argentina  Spain,Goalkeeper,right,Chelsea FC,13.0,0.0,1230.0,0.0,9.0,0.0,870.0,0.0,14.0,0.0,1260.0,0.0,2.0,0.0,180.0,0.0,Premier League
Eduardo,38.0,188.0,Portugal,Goalkeeper,right,Retired,1.0,0.0,90.0,0.0,34.0,0.0,3060.0,0.0,9.0,0.0,810.0,0.0,,,,,Premier League
Matej Delac,28.0,190.0,Croatia,Goalkeeper,right,AC Horsens,1.0,0.0,90.0,0.0,30.0,0.0,2630.0,0.0,31.0,0.0,2802.0,0.0,14.0,0.0,1260.0,0.0,Premier League
Jamal Blackman,27.0,199.0,England  Jamaica,Goalkeeper,right,Rotherham United,33.0,0.0,2813.0,0.0,2.0,0.0,180.0,0.0,10.0,0.0,900.0,0.0,18.0,0.0,1650.0,0.0,Premier League
Antonio Rüdiger,27.0,190.0,Germany  Sierra Leone,Defender - Centre-Back,right,Chelsea FC,45.0,3.0,3785.0,0.0,44.0,1.0,3894.0,0.0,28.0,2.0,2417.0,0.0,6.0,0.0,472.0,0.0,Premier League
Andreas Christensen,24.0,188.0,Denmark,Defender - Centre-Back,right,Chelsea FC,40.0,0.0,3096.0,0.0,29.0,0.0,2469.0,0.0,28.0,0.0,2342.0,0.0,7.0,0.0,585.0,0.0,Premier League
David Luiz,33.0,189.0,Brazil  Portugal,Defender - Centre-Back,right,Arsenal FC,17.0,2.0,1496.0,0.0,50.0,3.0,4339.0,0.0,43.0,2.0,3644.0,0.0,14.0,1.0,1005.0,0.0,Premier League
Kurt Zouma,26.0,190.0,France  Central African Republic,Defender - Centre-Back,right,Chelsea FC,37.0,1.0,3127.0,0.0,36.0,2.0,2924.0,0.0,43.0,1.0,3704.0,0.0,21.0,4.0,1829.0,0.0,Premier League
Gary Cahill,35.0,193.0,England,Defender - Centre-Back,right,Crystal Palace,43.0,0.0,3391.0,0.0,8.0,0.0,592.0,0.0,27.0,0.0,2302.0,0.0,6.0,0.0,495.0,0.0,Premier League
Tomas Kalas,27.0,184.0,Czech Republic,Defender - Centre-Back,right,Bristol City,36.0,0.0,2614.0,0.0,41.0,0.0,3610.0,0.0,24.0,0.0,2086.0,0.0,18.0,1.0,1383.0,0.0,Premier League
Ethan Ampadu,20.0,182.0,Wales  England,Defender - Centre-Back,right,Sheffield United,26.0,2.0,2042.0,0.0,12.0,0.0,823.0,0.0,7.0,0.0,277.0,0.0,13.0,0.0,1063.0,0.0,Premier League
Michael Hector,28.0,193.0,Jamaica  England,Defender - Centre-Back,right,Fulham FC,38.0,1.0,3118.0,0.0,39.0,2.0,3422.0,0.0,27.0,0.0,2460.0,0.0,7.0,0.0,495.0,0.0,Premier League
Fikayo Tomori,23.0,184.0,England  Canada,Defender - Centre-Back,right,Chelsea FC,26.0,0.0,2152.0,0.0,55.0,2.0,4811.0,0.0,22.0,2.0,1868.0,0.0,3.0,0.0,224.0,0.0,Premier League
Jake Clarke-Salter,23.0,188.0,England,Defender - Centre-Back,left,Birmingham City,17.0,0.0,1122.0,0.0,37.0,1.0,2971.0,0.0,23.0,1.0,1983.0,0.0,6.0,0.0,458.0,0.0,Premier League
Marcos Alonso,30.0,188.0,Spain,Defender - Left-Back,left,Chelsea FC,46.0,8.0,4017.0,0.0,39.0,4.0,3486.0,0.0,29.0,4.0,2344.0,0.0,3.0,0.0,225.0,0.0,Premier League
Emerson,26.0,181.0,Italy  Brazil,Defender - Left-Back,left,Chelsea FC,10.0,0.0,655.0,0.0,27.0,1.0,2250.0,0.0,21.0,0.0,1523.0,0.0,8.0,0.0,418.0,0.0,Premier League
César Azpilicueta,31.0,178.0,Spain,Defender - Right-Back,right,Chelsea FC,52.0,3.0,4755.0,0.0,57.0,1.0,4867.0,0.0,49.0,4.0,4312.0,0.0,14.0,0.0,1129.0,0.0,Premier League
Ola Aina,24.0,184.0,Nigeria  England,Defender - Right-Back,right,Fulham FC,46.0,1.0,4003.0,0.0,32.0,1.0,2265.0,0.0,37.0,0.0,2347.0,0.0,14.0,1.0,1269.0,0.0,Premier League
Todd Kane,27.0,180.0,England  Scotland,Defender - Right-Back,right,Queens Park Rangers,29.0,3.0,2139.0,0.0,41.0,3.0,3362.0,0.0,36.0,1.0,2368.0,0.0,13.0,1.0,1054.0,0.0,Premier League
Wallace Oliveira,26.0,175.0,Brazil,Defender - Right-Back,right,Figueirense Futebol Clube,,,,,,,,,,,,,,,,,Premier League
