;Players;Values
33;Jürgen Locadia;15,00 Mio. €  
34;Leonardo Ulloa;5,00 Mio. €  
35;Sam Baldock;3,00 Mio. €  
36;Glenn Murray;3,00 Mio. €  
37;Tomer Hemed;2,50 Mio. €  
38;Aaron Connolly; 
0;Nick Pope;10,00 Mio. €  
1;Tom Heaton;4,00 Mio. €  
2;Anders Lindegaard;500 Tsd. €  
3;Adam Legzdins;250 Tsd. €  
4;James Tarkowski;15,00 Mio. €  
5;Ben Mee;10,00 Mio. €  
6;Kevin Long;2,50 Mio. €  
7;Charlie Taylor;5,00 Mio. €  
8;Stephen Ward;3,00 Mio. €  
9;Matthew Lowton;5,00 Mio. €  
10;Phil Bardsley;1,50 Mio. €  
11;Jack Cork;15,00 Mio. €  
12;Ashley Westwood;4,00 Mio. €  
13;Jeff Hendrick;10,00 Mio. €  
14;Steven Defour;7,00 Mio. €  
15;Scott Arfield;3,00 Mio. €  
16;Dean Marney;1,00 Mio. €  
17;Fredrik Ulvestad;800 Tsd. €  
18;Aiden O'Neill;500 Tsd. €  
19;Robbie Brady;10,00 Mio. €  
20;Georges-Kevin N'Koudou;7,00 Mio. €  
21;Dwight McNeil; 
22;Jóhann Berg Gudmundsson;10,00 Mio. €  
23;Aaron Lennon;5,00 Mio. €  
24;Jonathan Walters;2,00 Mio. €  
25;Chris Wood;18,00 Mio. €  
26;Ashley Barnes;8,00 Mio. €  
27;Sam Vokes;6,00 Mio. €  
28;Nahki Wells;4,50 Mio. €  
29;Chris Long;750 Tsd. €  
0;Jonas Lössl;5,00 Mio. €  
1;Joel Coleman;500 Tsd. €  
2;Rob Green;250 Tsd. €  
3;Ryan Schofield;100 Tsd. €  
4;Terence Kongolo;10,00 Mio. €  
5;Christopher Schindler;6,00 Mio. €  
6;Zanka;5,00 Mio. €  
7;Michael Hefele;1,50 Mio. €  
8;Martin Cranie;500 Tsd. €  
9;Scott Malone;3,00 Mio. €  
10;Chris Löwe;1,50 Mio. €  
11;Tareiq Holmes-Dennis;250 Tsd. €  
12;Florent Hadergjonaj;5,00 Mio. €  
13;Tommy Smith;3,00 Mio. €  
14;Jordan Williams;100 Tsd. €  
15;Danny Williams;2,00 Mio. €  
16;Jon Gorenc Stankovic;500 Tsd. €  
17;Aaron Mooy;10,00 Mio. €  
18;Jonathan Hogg;3,50 Mio. €  
19;Philip Billing;2,50 Mio. €  
20;Dean Whitehead;250 Tsd. €  
21;Lewis O'Brien; 
22;Alex Pritchard;10,00 Mio. €  
23;Kasey Palmer;1,50 Mio. €  
24;Abdelhamid Sabiri;1,00 Mio. €  
25;Jack Payne;350 Tsd. €  
26;Rajiv van La Parra;4,00 Mio. €  
27;Tom Ince;8,00 Mio. €  
28;Joe Lolley;500 Tsd. €  
29;Sean Scannell;500 Tsd. €  
30;Steve Mounié;10,00 Mio. €  
31;Laurent Depoitre;4,50 Mio. €  
32;Elias Kachunga;3,50 Mio. €  
33;Collin Quaner;1,50 Mio. €  
34;Jordy Hiwula;250 Tsd. €  
0;Wojciech Szczesny;20,00 Mio. €  
1;Gianluigi Buffon;2,00 Mio. €  
2;Carlo Pinsoglio;500 Tsd. €  
3;Mattia Del Favero;100 Tsd. €  
4;Leonardo Loria;75 Tsd. €  
5;Medhi Benatia;23,00 Mio. €  
6;Daniele Rugani;22,00 Mio. €  
7;Giorgio Chiellini;10,00 Mio. €  
8;Benedikt Höwedes;9,00 Mio. €  
9;Andrea Barzagli;1,00 Mio. €  
10;Alex Sandro;45,00 Mio. €  
11;Juan Cuadrado;28,00 Mio. €  
12;Mattia De Sciglio;14,00 Mio. €  
13;Stephan Lichtsteiner;1,50 Mio. €  
14;Miralem Pjanic;65,00 Mio. €  
15;Blaise Matuidi;30,00 Mio. €  
16;Sami Khedira;26,00 Mio. €  
17;Rodrigo Bentancur;15,00 Mio. €  
18;Stefano Sturaro;7,50 Mio. €  
19;Claudio Marchisio;7,00 Mio. €  
20;Fabrizio Caligara;1,00 Mio. €  
21;Simone Muratore;150 Tsd. €  
22;Leonardo Merio;50 Tsd. €  
23;Kwadwo Asamoah;14,00 Mio. €  
24;Ferdinando Del Sole;1,00 Mio. €  
25;Grigoris Kastanos;400 Tsd. €  
26;Marko Pjaca;15,00 Mio. €  
27;Douglas Costa;55,00 Mio. €  
28;Federico Bernardeschi;40,00 Mio. €  
29;Paulo Dybala;110,00 Mio. €  
30;Gonzalo Higuaín;60,00 Mio. €  
31;Mario Mandzukic;18,00 Mio. €  
32;Moise Kean;12,00 Mio. €  
0;Luigi Sepe;1,00 Mio. €  
1;Pepe Reina;1,00 Mio. €  
2;Rafael;800 Tsd. €  
3;Maurizio Schaeper; 
4;Kalidou Koulibaly;60,00 Mio. €  
5;Nikola Maksimovic;8,00 Mio. €  
6;Raúl Albiol;8,00 Mio. €  
7;Vlad Chiricheș;5,00 Mio. €  
8;Lorenzo Tonelli;5,00 Mio. €  
9;Giuseppe Esposito;75 Tsd. €  
10;Alberto Senese; 
11;Faouzi Ghoulam;25,00 Mio. €  
12;Mário Rui;14,00 Mio. €  
13;Ivan Strinic;4,00 Mio. €  
14;Hrvoje Milic;500 Tsd. €  
15;Luigi D'Ignazio;100 Tsd. €  
16;Michael Scarf;75 Tsd. €  
17;Elseid Hysaj;25,00 Mio. €  
18;Christian Maggio;500 Tsd. €  
19;Pio Schiavi;75 Tsd. €  
20;Jorginho;50,00 Mio. €  
21;Amadou Diawara;18,00 Mio. €  
22;Umberto Otranto;75 Tsd. €  
23;Marek Hamsik;35,00 Mio. €  
24;Allan;33,00 Mio. €  
25;Piotr Zielinski;32,00 Mio. €  
26;Marko Rog;8,00 Mio. €  
27;Zinédine Machach;900 Tsd. €  
28;Emanuele Giaccherini;1,00 Mio. €  
29;Gianluca Gaetano; 
30;Lorenzo Insigne;60,00 Mio. €  
31;Leandrinho;600 Tsd. €  
32;Raffaele Russo;75 Tsd. €  
33;José Callejón;24,00 Mio. €  
34;Adam Ounas;4,50 Mio. €  
35;Ciro Palmieri; 
36;Dries Mertens;30,00 Mio. €  
37;Duván Zapata;20,00 Mio. €  
38;Arkadiusz Milik;20,00 Mio. €  
39;Leonardo Pavoletti;9,00 Mio. €  
0;Samir Handanovic;8,50 Mio. €  
1;Daniele Padelli;800 Tsd. €  
2;Tommaso Berni;100 Tsd. €  
3;Marco Pissardo;100 Tsd. €  
4;Milan Skriniar;45,00 Mio. €  
5;Miranda;8,00 Mio. €  
6;Andrea Ranocchia;5,00 Mio. €  
7;Lisandro López;4,00 Mio. €  
8;Zinho Vanheusden;1,00 Mio. €  
9;Manuel Lombardoni;75 Tsd. €  
10;Dalbert;12,00 Mio. €  
11;Cristian Ansaldi;5,00 Mio. €  
12;Yuto Nagatomo;3,50 Mio. €  
13;João Cancelo;35,00 Mio. €  
14;Danilo D'Ambrosio;12,00 Mio. €  
15;Davide Santon;3,00 Mio. €  
16;Marcelo Brozovic;27,00 Mio. €  
17;Geoffrey Kondogbia;30,00 Mio. €  
18;João Mário;25,00 Mio. €  
19;Matías Vecino;21,00 Mio. €  
20;Roberto Gagliardini;20,00 Mio. €  
21;Borja Valero;4,00 Mio. €  
22;Assane Gnoukouri;500 Tsd. €  
23;Xian Emmers;250 Tsd. €  
24;Antonio Candreva;14,00 Mio. €  
25;Rafinha;28,00 Mio. €  
26;Nicolò Zaniolo;500 Tsd. €  
27;Ivan Perisic;40,00 Mio. €  
28;Yann Karamoh;7,00 Mio. €  
29;Éder;7,00 Mio. €  
30;Mauro Icardi;95,00 Mio. €  
31;Stevan Jovetic;14,00 Mio. €  
32;Gabriel Barbosa;8,00 Mio. €  
33;Andrea Pinamonti;2,00 Mio. €  
0;Gianluigi Donnarumma;40,00 Mio. €  
1;Gabriel;1,50 Mio. €  
2;Antonio Donnarumma;700 Tsd. €  
3;Alessandro Guarnone;150 Tsd. €  
4;Marco Storari;100 Tsd. €  
5;Matteo Soncin; 
6;Alessio Romagnoli;40,00 Mio. €  
7;Leonardo Bonucci;35,00 Mio. €  
8;Mateo Musacchio;12,50 Mio. €  
9;Gustavo Gómez;4,00 Mio. €  
10;Cristián Zapata;2,50 Mio. €  
11;Gabriel Paletta;1,50 Mio. €  
12;Matteo Gabbia;500 Tsd. €  
13;Jherson Vergara;400 Tsd. €  
14;Ricardo Rodríguez;15,00 Mio. €  
15;Luca Antonelli;2,00 Mio. €  
16;Andrea Conti;15,00 Mio. €  
17;Davide Calabria;13,00 Mio. €  
18;Ignazio Abate;3,00 Mio. €  
19;Raoul Bellanova; 
20;Lucas Biglia;15,00 Mio. €  
21;Manuel Locatelli;8,00 Mio. €  
22;Riccardo Montolivo;1,50 Mio. €  
23;Franck Kessié;30,00 Mio. €  
24;Giacomo Bonaventura;23,00 Mio. €  
25;José Sosa;2,00 Mio. €  
26;José Mauri;1,50 Mio. €  
27;Niccolò Zanellato;400 Tsd. €  
28;Emanuele Torrasi;50 Tsd. €  
29;Tommaso Pobega;50 Tsd. €  
30;Tiago Dias; 
31;Hakan Calhanoglu;27,00 Mio. €  
32;Hachim Mastour;100 Tsd. €  
33;Fabio Borini;7,00 Mio. €  
34;Suso;35,00 Mio. €  
35;Nnamdi Oduamadi;200 Tsd. €  
36;Riccardo Forte;50 Tsd. €  
37;Patrick Cutrone;23,00 Mio. €  
38;André Silva;22,00 Mio. €  
39;Nikola Kalinic;14,00 Mio. €  
40;M'Baye Niang;10,00 Mio. €  
41;Frank Tsadjout;75 Tsd. €  
0;Alisson;60,00 Mio. €  
1;Lukasz Skorupski;7,00 Mio. €  
2;Bogdan Lobont;100 Tsd. €  
3;Andrea Romagnoli;25 Tsd. €  
4;Emanuele Zamarion; 
5;Alessio Pagliarini; 
6;Konstantinos Manolas;40,00 Mio. €  
7;Juan Jesus;13,00 Mio. €  
8;Federico Fazio;13,00 Mio. €  
9;Héctor Moreno;4,00 Mio. €  
10;Leandro Castán;2,00 Mio. €  
11;Elio Capradossi;800 Tsd. €  
12;Stefano Ciavattini;75 Tsd. €  
13;Andrea Ciofi;50 Tsd. €  
14;Lirim Kastrati;50 Tsd. €  
15;Emerson;20,00 Mio. €  
16;Aleksandar Kolarov;12,00 Mio. €  
17;Jonathan Silva;2,80 Mio. €  
18;Silvio Anocic;125 Tsd. €  
19;Lorenzo Valeau;100 Tsd. €  
20;Alessandro Florenzi;30,00 Mio. €  
21;Rick Karsdorp;9,00 Mio. €  
22;Bruno Peres;8,00 Mio. €  
23;Abdullahi Nura;400 Tsd. €  
24;Devid Eugene Bouah; 
25;Maxime Gonalons;7,50 Mio. €  
26;Daniele De Rossi;3,50 Mio. €  
27;Andrea Marcucci;75 Tsd. €  
28;Kevin Strootman;28,00 Mio. €  
29;Lorenzo Pellegrini;28,00 Mio. €  
30;Gerson;10,00 Mio. €  
31;Dario Vittorio Meadows;50 Tsd. €  
32;Salvatore Pezzella; 
33;Luca Pellegrini;250 Tsd. €  
34;Radja Nainggolan;45,00 Mio. €  
35;Rezan Corlu;200 Tsd. €  
36;Alessio Riccardi; 
37;Diego Perotti;20,00 Mio. €  
38;Stephan El Shaarawy;20,00 Mio. €  
39;Keba Coly;125 Tsd. €  
40;Riccardo Cappa;50 Tsd. €  
41;Cengiz Ünder;27,00 Mio. €  
42;Mirko Antonucci;150 Tsd. €  
43;Edin Dzeko;25,00 Mio. €  
44;Patrik Schick;20,00 Mio. €  
45;Grégoire Defrel;10,00 Mio. €  
46;Marco Tumminello;1,00 Mio. €  
0;Marco Sportiello;6,00 Mio. €  
1;Bartlomiej Dragowski;2,00 Mio. €  
2;Michele Cerofolini;300 Tsd. €  
3;Federico Brancolini;75 Tsd. €  
4;Simone Ghidotti; 
5;Germán Pezzella;13,00 Mio. €  
6;Nikola Milenkovic;9,00 Mio. €  
7;Vitor Hugo;7,50 Mio. €  
8;Nenad Tomović;1,50 Mio. €  
9;Petko Hristov;800 Tsd. €  
10;Davide Astori;- 
11;Cristiano Biraghi;5,00 Mio. €  
12;Maximiliano Olivera;1,00 Mio. €  
13;Luca Ranieri;200 Tsd. €  
14;Bruno Gaspar;3,00 Mio. €  
15;Vincent Laurini;2,00 Mio. €  
16;Milan Badelj;15,00 Mio. €  
17;Carlos Sánchez;2,00 Mio. €  
18;Vitja Valencic;325 Tsd. €  
19;Andrés Schetino;300 Tsd. €  
20;Jordan Veretout;18,00 Mio. €  
21;Marco Benassi;13,00 Mio. €  
22;Bryan Dabo;4,50 Mio. €  
23;Sebastián Cristóforo;1,80 Mio. €  
24;Riccardo Saponara;9,00 Mio. €  
25;Valentin Eysseric;5,00 Mio. €  
26;Matías Fernández;3,00 Mio. €  
27;Ianis Hagi;1,50 Mio. €  
28;Marco Meli; 
29;Ante Rebic;10,00 Mio. €  
30;Rafik Zekhnini;1,00 Mio. €  
31;Riccardo Sottil;175 Tsd. €  
32;Federico Chiesa;45,00 Mio. €  
33;Gil Dias;3,00 Mio. €  
34;Simone Lo Faso;1,00 Mio. €  
35;Cyril Théréau;1,00 Mio. €  
36;Giovanni Simeone;25,00 Mio. €  
37;Nikola Kalinic;14,00 Mio. €  
38;Khouma Babacar;8,00 Mio. €  
39;Diego Falcinelli;3,80 Mio. €  
40;Gabriele Gori;125 Tsd. €  
0;Marco Sportiello;6,00 Mio. €  
1;Bartlomiej Dragowski;2,00 Mio. €  
2;Michele Cerofolini;300 Tsd. €  
3;Federico Brancolini;75 Tsd. €  
4;Simone Ghidotti;- 
5;Germán Pezzella;13,00 Mio. €  
6;Nikola Milenkovic;9,00 Mio. €  
7;Vitor Hugo;7,50 Mio. €  
8;Nenad Tomović;1,50 Mio. €  
9;Petko Hristov;800 Tsd. €  
10;Davide Astori;- 
11;Cristiano Biraghi;5,00 Mio. €  
12;Maximiliano Olivera;1,00 Mio. €  
13;Luca Ranieri;200 Tsd. €  
14;Bruno Gaspar;3,00 Mio. €  
15;Vincent Laurini;2,00 Mio. €  
16;Milan Badelj;15,00 Mio. €  
17;Carlos Sánchez;2,00 Mio. €  
18;Vitja Valencic;325 Tsd. €  
19;Andrés Schetino;300 Tsd. €  
20;Jordan Veretout;18,00 Mio. €  
21;Marco Benassi;13,00 Mio. €  
22;Bryan Dabo;4,50 Mio. €  
23;Sebastián Cristóforo;1,80 Mio. €  
24;Riccardo Saponara;9,00 Mio. €  
25;Valentin Eysseric;5,00 Mio. €  
26;Matías Fernández;3,00 Mio. €  
27;Ianis Hagi;1,50 Mio. €  
28;Marco Meli;- 
29;Ante Rebic;10,00 Mio. €  
30;Rafik Zekhnini;1,00 Mio. €  
31;Riccardo Sottil;175 Tsd. €  
32;Federico Chiesa;45,00 Mio. €  
33;Gil Dias;3,00 Mio. €  
34;Simone Lo Faso;1,00 Mio. €  
35;Cyril Théréau;1,00 Mio. €  
36;Giovanni Simeone;25,00 Mio. €  
37;Nikola Kalinic;14,00 Mio. €  
38;Khouma Babacar;8,00 Mio. €  
39;Diego Falcinelli;3,80 Mio. €  
40;Gabriele Gori;125 Tsd. €  
0;Thomas Strakosha;20,00 Mio. €  
1;Federico Marchetti;800 Tsd. €  
2;Ivan Vargic;800 Tsd. €  
3;Guido Guerrieri;300 Tsd. €  
4;Federico Cirillo; 
5;Stefan de Vrij;40,00 Mio. €  
6;Wesley Hoedt;15,00 Mio. €  
7;Luiz Felipe;8,00 Mio. €  
8;Wallace;7,50 Mio. €  
9;Bastos;6,50 Mio. €  
10;Stefan Radu;6,00 Mio. €  
11;Martín Cáceres;2,50 Mio. €  
12;Patric;1,80 Mio. €  
13;Maurício;1,00 Mio. €  
14;Nicolò Armini; 
15;Jordan Lukaku;7,00 Mio. €  
16;Adam Marusic;10,00 Mio. €  
17;Dusan Basta;1,00 Mio. €  
18;Mattia Petricca; 
19;Lucas Leiva;10,00 Mio. €  
20;Davide Di Gennaro;1,50 Mio. €  
21;Alessio Miceli;175 Tsd. €  
22;Sergej Milinkovic-Savic;90,00 Mio. €  
23;Alessandro Murgia;6,00 Mio. €  
24;Marco Parolo;5,00 Mio. €  
25;Bruno Jordão;1,00 Mio. €  
26;Luca Crecco;400 Tsd. €  
27;Edoardo Rezzi;200 Tsd. €  
28;Abukar Mohamed;50 Tsd. €  
29;Senad Lulic;6,50 Mio. €  
30;Luis Alberto;35,00 Mio. €  
31;Felipe Anderson;30,00 Mio. €  
32;Keita Baldé;30,00 Mio. €  
33;Nani;5,00 Mio. €  
34;Pedro Neto;3,00 Mio. €  
35;Ricardo Kishna;1,50 Mio. €  
36;Christopher Oikonomidis;300 Tsd. €  
37;Cristiano Lombardi;800 Tsd. €  
38;Lorenzo Spurio;25 Tsd. €  
39;Ciro Immobile;50,00 Mio. €  
40;Felipe Caicedo;2,50 Mio. €  
41;Filip Djordjevic;800 Tsd. €  
42;Simone Palombi;750 Tsd. €  
43;Brayan Perea;200 Tsd. €  
0;Etrit Berisha;7,00 Mio. €  
1;Pierluigi Gollini;3,50 Mio. €  
2;Francesco Rossi;150 Tsd. €  
3;Mattia Caldara;25,00 Mio. €  
4;Rafael Tolói;11,00 Mio. €  
5;José Luis Palomino;7,50 Mio. €  
6;Andrea Masiello;3,00 Mio. €  
7;Alessandro Bastoni;2,50 Mio. €  
8;Gianluca Mancini;2,00 Mio. €  
9;Leonardo Spinazzola;12,00 Mio. €  
10;Robin Gosens;2,50 Mio. €  
11;Boukary Dramé;400 Tsd. €  
12;Hans Hateboer;7,00 Mio. €  
13;Timothy Castagne;5,00 Mio. €  
14;Enrico Del Prato;75 Tsd. €  
15;Lorenzo Peli; 
16;Marten de Roon;14,00 Mio. €  
17;João Schmidt;700 Tsd. €  
18;Thomas Bolis;100 Tsd. €  
19;Bryan Cristante;25,00 Mio. €  
20;Remo Freuler;14,00 Mio. €  
21;Jasmin Kurtic;5,00 Mio. €  
22;Luca Rizzo;2,00 Mio. €  
23;Matteo Pessina;2,00 Mio. €  
24;Nicolas Haas;1,50 Mio. €  
25;Filippo Melegoni;1,00 Mio. €  
26;Andrea Colpani;75 Tsd. €  
27;Salvatore Elia;75 Tsd. €  
28;Riccardo Orsolini;3,50 Mio. €  
29;Emmanuel Latte Lath;300 Tsd. €  
30;Dejan Kulusevski; 
31;Papu Gómez;18,00 Mio. €  
32;Josip Ilicic;13,00 Mio. €  
33;Andrea Petagna;9,00 Mio. €  
34;Musa Barrow;6,00 Mio. €  
35;Andreas Cornelius;3,00 Mio. €  
36;Luca Vido;700 Tsd. €  
0;Salvatore Sirigu;6,00 Mio. €  
1;Vanja Milinković-Savić;2,00 Mio. €  
2;Salvador Ichazo;400 Tsd. €  
3;Domenico Coppola;75 Tsd. €  
4;Nicolas N'Koulou;10,00 Mio. €  
5;Lyanco;4,00 Mio. €  
6;Kevin Bonifazi;1,50 Mio. €  
7;Danilo Avelar;1,50 Mio. €  
8;Luca Rossettini;1,40 Mio. €  
9;Nicolás Burdisso;300 Tsd. €  
10;Emiliano Moretti;300 Tsd. €  
11;Erick Ferigra;75 Tsd. €  
12;Leonardo Rivoira;75 Tsd. €  
13;Alessandro Buongiorno;75 Tsd. €  
14;Cristian Ansaldi;5,00 Mio. €  
15;Antonio Barreca;3,50 Mio. €  
16;Cristian Molinaro;300 Tsd. €  
17;Ali Samake; 
18;Lorenzo De Silvestri;4,00 Mio. €  
19;Filippo Gilli; 
20;Alessandro Fiordaliso; 
21;Tomás Rincón;8,00 Mio. €  
22;Mirko Valdifiori;1,00 Mio. €  
23;Antonio D'Alena;100 Tsd. €  
24;Enrico Celeghin; 
25;Paolo Matera; 
26;Daniele Baselli;10,00 Mio. €  
27;Joel Obi;5,00 Mio. €  
28;Afriyie Acquah;2,00 Mio. €  
29;Sasa Lukic;1,50 Mio. €  
30;Samuel Gustafson;800 Tsd. €  
31;Michel Ndary Adopo; 
32;Davide Zappacosta;20,00 Mio. €  
33;Adem Ljajic;13,00 Mio. €  
34;Álex Berenguer;5,00 Mio. €  
35;Ben Lhassine Kone; 
36;Vincenzo Millico; 
37;Iago Falque;13,00 Mio. €  
38;Simone Edera;1,50 Mio. €  
39;Vittorio Parigini;1,10 Mio. €  
40;Mattia Aramu;400 Tsd. €  
41;Andrea Belotti;38,00 Mio. €  
42;M'Baye Niang;10,00 Mio. €  
43;Umar Sadiq;1,80 Mio. €  
44;Lucas Boyé;1,50 Mio. €  
45;Maxi López;500 Tsd. €  
46;Manuel De Luca;225 Tsd. €  
47;Karlo Butic;125 Tsd. €  
48;Flavio Bianchi; 
49;Alessandro Iacuaniello; 
50;Nicola Rauti; 
0;Alessio Cragno;9,00 Mio. €  
1;Rafael;250 Tsd. €  
2;Luca Crosta;200 Tsd. €  
3;Riccardo Daga;200 Tsd. €  
4;Niccolò Cabras; 
5;Filippo Romagna;7,00 Mio. €  
6;Leandro Castán;2,00 Mio. €  
7;Luca Ceppitelli;2,00 Mio. €  
8;Marco Andreolli;1,20 Mio. €  
9;Marco Capuano;1,00 Mio. €  
10;Fabio Pisacane;700 Tsd. €  
11;Andrea Cadili;75 Tsd. €  
12;Alexander Molberg; 
13;Charalampos Lykogiannis;2,00 Mio. €  
14;Senna Miangue;1,50 Mio. €  
15;Mattia Pitzalis; 
16;Paolo Faragò;6,00 Mio. €  
17;Gregory van der Wiel;1,00 Mio. €  
18;Antonio Balzano;250 Tsd. €  
19;Christ Kouadio;75 Tsd. €  
20;Luca Cigarini;1,50 Mio. €  
21;Riccardo Ladinetti; 
22;Nicolò Barella;25,00 Mio. €  
23;Artur Ionita;3,50 Mio. €  
24;Alessandro Deiola;1,30 Mio. €  
25;Fabrizio Caligara;1,00 Mio. €  
26;Daniele Dessena;700 Tsd. €  
27;Joseph Tetteh;75 Tsd. €  
28;Simone Padoin;500 Tsd. €  
29;João Pedro;5,00 Mio. €  
30;Andrea Cossu;100 Tsd. €  
31;Diego Farias;3,30 Mio. €  
32;Leonardo Pavoletti;9,00 Mio. €  
33;Kwang-song Han;5,00 Mio. €  
34;Duje Cop;2,50 Mio. €  
35;Marco Sau;2,00 Mio. €  
36;Federico Melchiorri;1,20 Mio. €  
37;Niccolò Giannetti;1,00 Mio. €  
38;Damir Ceter;1,00 Mio. €  
39;Marco Borriello;400 Tsd. €  
40;Luca Gagliano; 
0;Mattia Perin;16,00 Mio. €  
1;Eugenio Lamanna;1,00 Mio. €  
2;Lukas Zima;100 Tsd. €  
3;Alessio Rollandi;75 Tsd. €  
4;Armando Izzo;8,50 Mio. €  
5;Ervin Zukanovic;2,00 Mio. €  
6;Luca Rossettini;1,40 Mio. €  
7;Davide Biraschi;1,20 Mio. €  
8;Jawad El Yamiq;900 Tsd. €  
9;Nicolás Spolli;400 Tsd. €  
10;Santiago Gentiletti;200 Tsd. €  
11;Loïck Landre;200 Tsd. €  
12;Diego Laxalt;13,00 Mio. €  
13;Francesco Migliore;800 Tsd. €  
14;Davide Brivio;300 Tsd. €  
15;Raul Oprut;125 Tsd. €  
16;Aleandro Rosi;900 Tsd. €  
17;Antonio Candela;200 Tsd. €  
18;Miguel Veloso;2,50 Mio. €  
19;Isaac Cofie;1,00 Mio. €  
20;Andrea Bertolacci;7,50 Mio. €  
21;Daniel Bessa;4,00 Mio. €  
22;Oscar Hiljemark;3,50 Mio. €  
23;Stephane Omeonga;2,00 Mio. €  
24;Petar Brlek;1,50 Mio. €  
25;Luca Rigoni;1,00 Mio. €  
26;Pedro Pereira;2,00 Mio. €  
27;Darko Lazovic;1,80 Mio. €  
28;Adel Taarabt;1,50 Mio. €  
29;Ricardo Centurión;5,00 Mio. €  
30;Nikola Ninkovic;800 Tsd. €  
31;David Milinkovic;400 Tsd. €  
32;Raffaele Palladino;200 Tsd. €  
33;Iuri Medeiros;5,00 Mio. €  
34;Federico Ricci;2,70 Mio. €  
35;Thomas Rodríguez;500 Tsd. €  
36;Luca Zanimacchia;200 Tsd. €  
37;Goran Pandev;500 Tsd. €  
38;Giovanni Simeone;25,00 Mio. €  
39;Pietro Pellegri;8,00 Mio. €  
40;Gianluca Lapadula;7,00 Mio. €  
41;Eddie Salcedo;2,00 Mio. €  
42;Andrej Galabinov;1,20 Mio. €  
43;Giuseppe Rossi;1,00 Mio. €  
0;Emiliano Viviano;2,00 Mio. €  
1;Vid Belec;1,70 Mio. €  
2;Christian Puggioni;300 Tsd. €  
3;Andrea Tozzo;150 Tsd. €  
4;Titas Krapikas;125 Tsd. €  
5;Gergely Hutvágner; 
6;Gian Marco Ferrari;10,00 Mio. €  
7;Joachim Andersen;1,50 Mio. €  
8;Matías Silvestre;1,50 Mio. €  
9;Maxime Leverbe;100 Tsd. €  
10;Ivan Strinic;4,00 Mio. €  
11;Nicola Murru;4,00 Mio. €  
12;Vasco Regini;1,80 Mio. €  
13;Dodô;1,75 Mio. €  
14;Daniel Pavlovic;400 Tsd. €  
15;Bartosz Bereszynski;12,00 Mio. €  
16;Jacopo Sala;1,50 Mio. €  
17;Michal Tomic;200 Tsd. €  
18;Emanuel Ercolano; 
19;Leonardo Capezzi;1,20 Mio. €  
20;Lucas Torreira;30,00 Mio. €  
21;Dennis Praet;25,00 Mio. €  
22;Karol Linetty;15,00 Mio. €  
23;Valerio Verre;3,00 Mio. €  
24;Ricardo Álvarez;1,80 Mio. €  
25;Édgar Barreto;1,00 Mio. €  
26;David Ivan;400 Tsd. €  
27;Andrea Tessiore;100 Tsd. €  
28;Gastón Ramírez;10,00 Mio. €  
29;Filip Djuricic;1,50 Mio. €  
30;João Ricciulli;100 Tsd. €  
31;Gianluca Caprari;7,50 Mio. €  
32;Patrik Schick;20,00 Mio. €  
33;Duván Zapata;20,00 Mio. €  
34;Dawid Kownacki;7,00 Mio. €  
35;Fabio Quagliarella;2,00 Mio. €  
36;Federico Bonazzoli;1,50 Mio. €  
37;Ibourahima Baldé;200 Tsd. €  
38;Ognjen Stijepovic;75 Tsd. €  
0;Andrea Consigli;5,00 Mio. €  
1;Leonardo Marson;200 Tsd. €  
2;Gianluca Pegolo;150 Tsd. €  
3;Giacomo Satalino;125 Tsd. €  
4;Francesco Acerbi;10,00 Mio. €  
5;Mauricio Lemos;5,50 Mio. €  
6;Edoardo Goldaniga;3,00 Mio. €  
7;Timo Letschert;2,50 Mio. €  
8;Luca Antei;800 Tsd. €  
9;Riccardo Marchizza;800 Tsd. €  
10;Martin Erlic;200 Tsd. €  
11;Manuel Ferrini;75 Tsd. €  
12;Paolo Cannavaro;- 
13;Rogério;2,00 Mio. €  
14;Cristian Dell'Orco;1,00 Mio. €  
15;Federico Peluso;800 Tsd. €  
16;Pol Lirola;7,50 Mio. €  
17;Claud Adjapong;4,00 Mio. €  
18;Marcello Gazzola;400 Tsd. €  
19;Simone Missiroli;2,20 Mio. €  
20;Francesco Magnanelli;800 Tsd. €  
21;Alfred Duncan;10,00 Mio. €  
22;Stefano Sensi;3,50 Mio. €  
23;Francesco Cassata;3,50 Mio. €  
24;Luca Mazzitelli;1,80 Mio. €  
25;Davide Frattesi;1,00 Mio. €  
26;Davide Biondini;200 Tsd. €  
27;Daniele Cipolla;75 Tsd. €  
28;Antonino Ragusa;1,50 Mio. €  
29;Nicholas Pierini;400 Tsd. €  
30;Matteo Politano;22,00 Mio. €  
31;Domenico Berardi;18,00 Mio. €  
32;Federico Ricci;2,70 Mio. €  
33;Khouma Babacar;8,00 Mio. €  
34;Diego Falcinelli;3,80 Mio. €  
35;Pietro Iemmello;2,00 Mio. €  
36;Gianluca Scamacca;800 Tsd. €  
37;Alessandro Matri;500 Tsd. €  
38;Giacomo Raspadori; 
0;Simone Scuffet;3,00 Mio. €  
1;Orestis Karnezis;3,00 Mio. €  
2;Albano Bizzarri;200 Tsd. €  
3;Davide Borsellini;100 Tsd. €  
4;Manuel Gasparini; 
5;Semuel Pizzignacco; 
6;Samir;5,50 Mio. €  
7;Bram Nuytinck;2,80 Mio. €  
8;Molla Wagué;1,50 Mio. €  
