;Players;Values
3;Joel Pereira;1,00 Mio. €  
4;Eric Bailly;35,00 Mio. €  
5;Victor Lindelöf;25,00 Mio. €  
6;Phil Jones;20,00 Mio. €  
7;Marcos Rojo;18,00 Mio. €  
8;Chris Smalling;18,00 Mio. €  
9;Daley Blind;18,00 Mio. €  
10;Axel Tuanzebe;1,00 Mio. €  
11;Luke Shaw;15,00 Mio. €  
12;Cameron Borthwick-Jackson;3,00 Mio. €  
13;Matteo Darmian;10,00 Mio. €  
14;Antonio Valencia;8,00 Mio. €  
15;Timothy Fosu-Mensah;7,00 Mio. €  
16;Nemanja Matic;40,00 Mio. €  
17;Michael Carrick;1,00 Mio. €  
18;Paul Pogba;90,00 Mio. €  
19;Ander Herrera;30,00 Mio. €  
20;Marouane Fellaini;12,00 Mio. €  
21;Scott McTominay;7,00 Mio. €  
22;Ethan Hamilton; 
23;Ashley Young;7,00 Mio. €  
24;Henrikh Mkhitaryan;35,00 Mio. €  
25;Juan Mata;30,00 Mio. €  
26;Wayne Rooney;10,00 Mio. €  
27;Angel Gomes; 
28;Marcus Rashford;65,00 Mio. €  
29;Jesse Lingard;35,00 Mio. €  
30;Romelu Lukaku;90,00 Mio. €  
31;Alexis Sánchez;70,00 Mio. €  
32;Anthony Martial;65,00 Mio. €  
33;Zlatan Ibrahimovic;4,00 Mio. €  
34;James Wilson;2,00 Mio. €  
0;David Ospina;5,00 Mio. €  
1;Petr Cech;3,00 Mio. €  
2;Matt Macey;500 Tsd. €  
3;Dejan Iliev; 
4;Shkodran Mustafi;25,00 Mio. €  
5;Laurent Koscielny;15,00 Mio. €  
6;Calum Chambers;14,00 Mio. €  
7;Rob Holding;7,00 Mio. €  
8;Konstantinos Mavropanos;3,00 Mio. €  
9;Per Mertesacker;1,00 Mio. €  
10;Sead Kolasinac;18,00 Mio. €  
11;Nacho Monreal;13,00 Mio. €  
12;Cohen Bramall;250 Tsd. €  
13;Héctor Bellerín;40,00 Mio. €  
14;Mathieu Debuchy;4,50 Mio. €  
15;Carl Jenkinson;3,50 Mio. €  
16;Jordi Osei-Tutu; 
17;Granit Xhaka;40,00 Mio. €  
18;Francis Coquelin;12,00 Mio. €  
19;Mohamed Elneny;10,00 Mio. €  
20;Krystian Bielik;2,00 Mio. €  
21;Charlie Gilmour; 
22;Ben Sheaf; 
23;Aaron Ramsey;45,00 Mio. €  
24;Alex Oxlade-Chamberlain;40,00 Mio. €  
25;Jack Wilshere;20,00 Mio. €  
26;Jeff Reine-Adélaïde;3,00 Mio. €  
27;Santi Cazorla;2,50 Mio. €  
28;Marcus McGuane;500 Tsd. €  
29;Josh Dasilva; 
30;Joe Willock; 
31;Ainsley Maitland-Niles;7,00 Mio. €  
32;Mesut Özil;50,00 Mio. €  
33;Henrikh Mkhitaryan;35,00 Mio. €  
34;Vlad Dragomir;50 Tsd. €  
35;Alex Iwobi;15,00 Mio. €  
36;Theo Walcott;20,00 Mio. €  
37;Reiss Nelson; 
38;Pierre-Emerick Aubameyang;75,00 Mio. €  
39;Alexis Sánchez;70,00 Mio. €  
40;Alexandre Lacazette;60,00 Mio. €  
41;Olivier Giroud;18,00 Mio. €  
42;Danny Welbeck;15,00 Mio. €  
43;Chuba Akpom;1,20 Mio. €  
44;Eddie Nketiah; 
0;Jordan Pickford;30,00 Mio. €  
1;Joel Robles;3,50 Mio. €  
2;Maarten Stekelenburg;1,00 Mio. €  
3;Mateusz Hewelt; 
4;Michael Keane;20,00 Mio. €  
5;Eliaquim Mangala;15,00 Mio. €  
6;Ramiro Funes Mori;10,00 Mio. €  
7;Mason Holgate;7,00 Mio. €  
8;Ashley Williams;5,00 Mio. €  
9;Phil Jagielka;1,50 Mio. €  
10;Tyias Browning;1,00 Mio. €  
11;Matthew Pennington;500 Tsd. €  
12;Morgan Feeney; 
13;Michael Collins; 
14;Leighton Baines;8,00 Mio. €  
15;Brendan Galloway;3,00 Mio. €  
16;Luke Garbutt;1,00 Mio. €  
17;Seamus Coleman;12,00 Mio. €  
18;Jonjoe Kenny;5,00 Mio. €  
19;Cuco Martina;2,50 Mio. €  
20;Morgan Schneiderlin;20,00 Mio. €  
21;Idrissa Gueye;20,00 Mio. €  
22;Muhamed Besic;5,00 Mio. €  
23;Gareth Barry;1,00 Mio. €  
24;Alex Denny; 
25;Davy Klaassen;15,00 Mio. €  
26;Tom Davies;15,00 Mio. €  
27;James McCarthy;8,00 Mio. €  
28;Beni Baningime;3,00 Mio. €  
29;Harry Charsley;250 Tsd. €  
30;Stephen Duke-McKenna; 
31;Gylfi Sigurdsson;30,00 Mio. €  
32;Wayne Rooney;10,00 Mio. €  
33;Nikola Vlasic;8,00 Mio. €  
34;Yannick Bolasie;18,00 Mio. €  
35;Ademola Lookman;12,00 Mio. €  
36;Nathan Broadhead; 
37;Anthony Gordon; 
38;Theo Walcott;20,00 Mio. €  
39;Kevin Mirallas;7,00 Mio. €  
40;Aaron Lennon;5,00 Mio. €  
41;Shani Tarashaj;2,00 Mio. €  
42;Cenk Tosun;23,00 Mio. €  
43;Dominic Calvert-Lewin;15,00 Mio. €  
44;Sandro Ramírez;10,00 Mio. €  
45;Oumar Niasse;8,00 Mio. €  
46;Shayne Lavery; 
47;Fraser Hornby; 
0;Kasper Schmeichel;10,00 Mio. €  
1;Eldin Jakupovic;1,00 Mio. €  
2;Ben Hamer;500 Tsd. €  
3;Harry Maguire;25,00 Mio. €  
4;Aleksandar Dragovic;10,00 Mio. €  
5;Wes Morgan;3,00 Mio. €  
6;Robert Huth;2,50 Mio. €  
7;Yohan Benalouane;1,00 Mio. €  
8;Sam Hughes; 
9;Ben Chilwell;8,00 Mio. €  
10;Christian Fuchs;5,00 Mio. €  
11;Danny Simpson;5,00 Mio. €  
12;Josh Knight; 
13;Wilfred Ndidi;25,00 Mio. €  
14;Nampalys Mendy;5,00 Mio. €  
15;Daniel Amartey;5,00 Mio. €  
16;Hamza Choudhury;1,00 Mio. €  
17;Adrien Silva;20,00 Mio. €  
18;Vicente Iborra;10,00 Mio. €  
19;Andy King;3,00 Mio. €  
20;Matty James;1,50 Mio. €  
21;Marc Albrighton;10,00 Mio. €  
