,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
34,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,28-352,1992,17.0,16,0,0,1,0,18.0,0.28,+2.0,+0.12,156,421,37.1,429,45,72.5,56.8,117,94.0,74.8,147,9,6.1,15,0.88,15.4,Matches
35,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-066,1990,17.0,25,3,2,3,1,25.5,0.28,+1.5,+0.09,172,334,51.5,371,61,55.0,41.6,166,78.3,56.0,218,13,6.0,9,0.53,13.5,Matches
36,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,21-320,1999,16.0,16,1,1,3,1,18.4,0.30,+3.4,+0.21,63,198,31.8,421,59,37.3,34.2,78,52.6,39.2,147,14,9.5,7,0.44,13.7,Matches
37,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-144,1997,16.0,23,3,1,5,1,22.9,0.31,+0.9,+0.05,91,218,41.7,395,87,46.1,39.2,106,34.0,33.2,138,7,5.1,8,0.50,14.0,Matches
38,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31-296,1989,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-146,1993,14.0,12,4,0,2,1,10.8,0.23,-0.2,-0.01,59,124,47.6,345,53,24.3,31.6,75,53.3,47.0,78,5,6.4,13,0.93,16.4,Matches
40,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35-267,1985,16.0,21,2,0,2,0,23.9,0.34,+2.9,+0.18,138,294,46.9,345,69,61.4,46.1,108,75.9,53.8,166,9,5.4,5,0.31,12.9,Matches
41,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-105,1988,7.5,22,2,0,2,2,13.9,0.32,-6.1,-0.94,35,108,32.4,185,38,41.6,36.4,52,59.6,45.1,58,2,3.4,7,1.08,15.4,Matches
42,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,22-330,1998,0.1,1,1,0,0,0,1.0,,0.0,-0.17,1,2,50.0,1,0,100.0,103.0,1,100.0,63.0,2,0,0.0,0,0.00,8.0,Matches
43,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29-252,1991,14.0,20,2,1,3,0,20.4,0.31,+0.4,+0.03,65,184,35.3,352,75,43.8,38.5,104,28.8,30.2,132,9,6.8,14,1.00,15.8,Matches
44,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,22-272,1998,6.0,9,1,0,2,0,9.1,0.37,+0.1,+0.02,28,87,32.2,177,25,38.4,36.0,53,35.8,39.7,48,5,10.4,3,0.50,16.2,Matches
45,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,34-024,1986,11.0,17,3,1,3,0,13.3,0.29,-3.7,-0.33,56,176,31.8,313,48,42.2,37.0,82,53.7,43.8,109,9,8.3,3,0.27,11.9,Matches
46,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,32-299,1988,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,5,35,14.3,29,1,72.4,51.4,14,100.0,65.2,19,2,10.5,0,0.00,8.5,Matches
47,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,30-064,1990,13.5,21,4,1,2,2,18.1,0.33,-0.9,-0.07,43,108,39.8,199,34,34.2,32.6,93,43.0,34.9,111,4,3.6,4,0.30,13.9,Matches
48,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33-076,1987,14.0,20,2,0,0,1,18.2,0.25,+0.2,+0.01,96,244,39.3,471,91,38.6,35.1,118,52.5,44.6,152,10,6.6,10,0.71,15.0,Matches
49,David Gil\David-Gil,es ESP,GK,Cádiz,es La Liga,26-365,1994,1.0,2,0,0,0,0,1.2,0.40,-0.8,-0.80,5,29,17.2,28,3,75.0,51.4,9,88.9,64.3,5,0,0.0,0,0.00,9.0,Matches
50,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,25-298,1995,8.7,7,1,0,2,0,7.7,0.27,+0.7,+0.09,50,117,42.7,203,23,43.3,37.4,42,69.0,50.5,55,3,5.5,7,0.80,15.1,Matches
51,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,fr Ligue 1,27-127,1993,5.0,10,3,0,2,1,9.9,0.30,+0.9,+0.17,28,94,29.8,121,28,43.0,39.4,67,62.7,49.6,78,8,10.3,3,0.60,12.8,Matches
52,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Rennes,fr Ligue 1,27-127,1993,5.0,8,0,0,0,0,6.7,0.36,-1.3,-0.26,17,35,48.6,115,30,26.1,30.0,16,31.3,33.8,23,1,4.3,4,0.80,15.8,Matches
53,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,34-000,1987,17.0,29,3,0,2,0,27.5,0.32,-1.5,-0.09,106,319,33.2,329,62,60.5,45.0,140,85.7,60.6,165,9,5.5,10,0.59,14.5,Matches
54,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,30-249,1990,15.0,12,0,0,1,0,9.4,0.24,-2.6,-0.17,72,145,49.7,456,76,27.0,31.3,84,26.2,30.9,95,6,6.3,22,1.47,17.9,Matches
55,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,36-180,1984,16.0,21,3,0,1,0,18.3,0.31,-2.7,-0.17,52,111,46.8,396,65,23.2,28.9,67,28.4,31.3,101,4,4.0,9,0.56,12.4,Matches
56,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,eng Premier League,23-304,1997,2.5,3,0,0,2,0,3.4,0.24,+0.4,+0.17,9,22,40.9,45,16,40.0,34.3,18,22.2,29.7,26,0,0.0,1,0.40,13.7,Matches
57,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,es La Liga,27-219,1993,14.9,20,4,0,1,0,22.4,0.33,+2.4,+0.17,197,405,48.6,394,32,77.2,53.8,104,97.1,64.5,153,15,9.8,25,1.80,16.8,Matches
58,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,33-114,1987,2.0,0,0,0,0,0,0.7,0.13,+0.7,+0.33,14,25,56.0,61,11,31.1,31.5,10,60.0,49.4,9,3,33.3,1,0.50,16.0,Matches
59,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,27-243,1993,14.4,26,4,1,3,0,23.8,0.28,-2.2,-0.15,150,312,48.1,493,47,51.9,41.1,96,58.3,47.1,118,4,3.4,12,0.83,14.2,Matches
60,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,31-047,1989,15.0,15,1,0,0,2,13.3,0.32,+1.3,+0.09,100,262,38.2,633,72,36.3,34.9,78,41.0,34.8,97,7,7.2,18,1.29,17.8,Matches
61,Ángel Jiménez\Angel-Jimenez,es ESP,GK,Granada,es La Liga,18-202,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3,Matches
62,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,27-291,1993,17.0,39,4,0,5,3,38.8,0.34,+2.8,+0.17,157,396,39.6,420,77,65.5,48.9,142,85.2,58.6,170,13,7.6,11,0.65,14.4,Matches
63,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,24-081,1996,8.0,14,1,0,1,1,9.7,0.28,-3.3,-0.41,63,142,44.4,191,43,48.7,39.3,56,87.5,60.0,58,3,5.2,1,0.13,12.9,Matches
64,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37-296,1983,11.0,18,3,0,1,0,17.3,0.34,-0.7,-0.07,84,154,54.5,222,36,48.6,40.2,70,65.7,51.9,84,5,6.0,3,0.30,12.3,Matches
65,Caoimhin Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-048,1998,1.0,0,0,0,0,0,0.9,0.30,+0.9,+0.91,4,10,40.0,23,3,34.8,34.2,5,40.0,35.0,13,2,15.4,0,0.00,17.0,Matches
66,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-035,1997,14.0,21,2,1,2,0,19.2,0.25,-1.8,-0.13,62,146,42.5,401,88,30.9,31.1,119,18.5,22.1,139,4,2.9,10,0.71,14.2,Matches
67,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,21-353,1999,19.0,31,7,1,3,1,32.1,0.31,+2.1,+0.11,106,300,35.3,428,78,47.4,40.9,138,70.3,51.7,165,12,7.3,12,0.63,14.6,Matches
68,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-004,1985,1.0,3,0,0,1,1,3.1,0.35,+1.1,+1.13,8,14,57.1,13,1,53.8,40.8,15,46.7,36.6,9,0,0.0,0,0.00,6.0,Matches
69,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23-322,1997,19.0,34,4,0,5,1,30.6,0.28,-2.4,-0.13,130,268,48.5,568,97,37.5,37.0,151,36.4,35.7,193,18,9.3,6,0.32,12.4,Matches
70,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-111,1985,17.9,27,3,0,2,2,19.5,0.28,-4.5,-0.27,124,294,42.2,398,60,60.8,45.0,97,53.6,43.9,109,9,8.3,7,0.41,13.9,Matches
71,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29-259,1991,9.0,12,2,0,0,0,9.3,0.28,-2.7,-0.30,51,118,43.2,275,43,34.9,33.8,51,43.1,42.1,65,2,3.1,17,1.89,17.4,Matches
72,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,27-332,1993,14.0,16,1,0,2,1,13.7,0.25,-1.3,-0.09,141,370,38.1,319,28,83.1,57.7,112,93.8,68.2,145,20,13.8,7,0.50,14.1,Matches
73,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,28-312,1992,17.0,19,0,0,3,3,17.7,0.30,+1.7,+0.10,54,162,33.3,489,68,19.8,27.9,108,60.2,46.5,158,8,5.1,12,0.71,14.8,Matches
74,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-015,1986,16.0,15,4,0,2,2,16.8,0.22,+3.8,+0.24,83,211,39.3,309,60,50.8,39.2,124,43.5,36.3,175,6,3.4,7,0.44,13.0,Matches
75,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-101,1990,19.0,18,3,0,0,2,18.8,0.26,+2.8,+0.15,116,205,56.6,440,84,34.1,33.3,125,44.0,37.5,160,10,6.3,20,1.05,17.9,Matches
76,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-028,1994,5.2,5,1,0,1,1,4.8,0.23,+0.8,+0.15,28,71,39.4,144,28,37.5,34.1,27,63.0,46.0,34,3,8.8,1,0.19,14.5,Matches
77,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,33-306,1987,15.0,20,1,0,7,0,19.5,0.33,-0.5,-0.03,89,261,34.1,420,52,45.7,39.0,102,67.6,47.6,118,7,5.9,3,0.20,12.5,Matches
78,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,25-043,1995,19.0,14,1,0,6,1,14.8,0.26,+1.8,+0.10,95,260,36.5,432,94,41.7,38.9,122,65.6,55.2,151,12,7.9,15,0.79,16.8,Matches
79,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,21-055,1999,1.0,1,0,0,0,0,0.3,0.16,-0.7,-0.68,4,15,26.7,25,2,36.0,32.5,12,50.0,39.9,7,0,0.0,1,1.00,16.0,Matches
80,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35-288,1985,17.0,16,2,0,1,1,16.9,0.29,+1.9,+0.11,91,283,32.2,469,92,40.9,37.1,132,68.9,50.0,197,18,9.1,10,0.59,13.6,Matches
81,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,32-314,1988,9.0,14,2,0,1,0,11.7,0.33,-2.3,-0.25,55,138,39.9,226,26,41.2,36.4,61,73.8,54.0,63,3,4.8,6,0.67,18.8,Matches
82,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,37-338,1983,1.7,6,0,0,0,0,3.7,0.34,-2.3,-1.34,12,23,52.2,37,7,35.1,35.6,15,66.7,44.1,19,0,0.0,1,0.58,17.3,Matches
83,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,28-130,1992,15.0,16,1,2,1,0,20.4,0.29,+4.4,+0.29,109,291,37.5,387,60,55.6,44.7,97,78.4,58.5,150,10,6.7,5,0.33,12.7,Matches
84,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,32-007,1989,11.0,14,3,1,3,0,16.9,0.31,+2.9,+0.26,82,252,32.5,234,32,69.7,50.8,101,88.1,63.4,140,8,5.7,7,0.64,12.9,Matches
85,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,31-038,1989,16.0,19,2,0,2,0,20.6,0.30,+1.6,+0.10,78,274,28.5,500,61,44.6,36.6,75,68.0,49.6,134,11,8.2,10,0.63,15.5,Matches
86,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,28-315,1992,1.0,1,0,0,0,0,0.6,0.56,-0.4,-0.44,7,12,58.3,23,2,43.5,37.9,6,33.3,35.2,6,1,16.7,0,0.00,10.0,Matches
87,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,28-315,1992,13.0,12,2,1,2,0,11.0,0.28,-1.0,-0.08,79,151,52.3,359,40,32.0,31.1,79,45.6,36.5,103,6,5.8,10,0.77,16.3,Matches
88,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,23-294,1997,6.0,6,0,0,1,0,5.7,0.33,-0.3,-0.06,6,13,46.2,155,31,7.7,22.9,25,4.0,17.8,34,5,14.7,1,0.17,10.9,Matches
89,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,20-314,2000,17.0,33,6,1,7,1,33.4,0.31,+1.4,+0.08,85,160,53.1,498,126,24.1,28.4,124,32.3,30.6,93,5,5.4,10,0.59,13.8,Matches
90,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,23-325,1997,2.0,4,1,0,0,0,3.0,0.21,-1.0,-0.51,5,18,27.8,57,9,22.8,31.0,7,71.4,54.0,15,0,0.0,1,0.50,12.3,Matches
