,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
140,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,29-314,1991,16.0,15,1,0,3,1,14.0,0.22,0.0,0.00,105,358,29.3,348,33,68.1,47.0,134,90.3,58.6,162,5,3.1,8,0.50,13.1,Matches
141,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,23-213,1997,18.0,22,3,0,4,1,17.7,0.31,-3.3,-0.18,147,339,43.4,457,85,50.5,42.7,124,87.1,64.6,169,11,6.5,12,0.67,14.0,Matches
142,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,32-294,1988,1.0,1,0,0,0,0,1.2,0.59,+0.2,+0.18,5,9,55.6,20,2,40.0,35.5,5,20.0,20.2,6,1,16.7,2,2.00,24.0,Matches
143,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,33-364,1987,15.0,31,3,1,3,0,22.5,0.34,-8.5,-0.57,92,206,44.7,410,58,38.0,33.8,121,41.3,32.8,154,7,4.5,3,0.20,12.5,Matches
144,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,29-250,1991,10.0,17,1,0,3,1,13.1,0.27,-2.9,-0.29,46,117,39.3,276,48,34.1,33.3,71,32.4,28.3,78,13,16.7,5,0.50,14.3,Matches
145,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32-024,1988,14.0,23,4,0,3,0,18.2,0.31,-4.8,-0.34,89,192,46.4,497,53,33.0,32.5,109,25.7,28.3,106,8,7.5,3,0.21,12.4,Matches
146,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,27-281,1993,12.0,14,3,0,2,1,11.7,0.26,-1.3,-0.11,121,336,36.0,312,4,86.5,58.7,87,75.9,53.1,76,9,11.8,15,1.25,15.7,Matches
147,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28-245,1992,7.3,15,0,0,1,0,10.7,0.30,-4.3,-0.59,26,61,42.6,164,41,23.8,30.7,37,59.5,47.5,49,4,8.2,6,0.82,16.1,Matches
148,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,25-283,1995,1.0,1,0,0,0,0,0.6,0.29,-0.4,-0.43,2,6,33.3,20,4,25.0,31.1,8,12.5,20.5,10,0,0.0,0,0.00,7.0,Matches
149,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,25-297,1995,6.0,12,1,0,1,0,10.7,0.36,-1.3,-0.22,41,86,47.7,220,35,36.8,32.3,32,15.6,26.0,60,4,6.7,1,0.17,11.7,Matches
