name,age,height,citizenship,position,foot,current club,17/18 games,17/18 goals,17/18 assists,17/18 minutes,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Manuel Neuer,34,"1,93 m",Germany,Goalkeeper,right,Bayern Munich,4.0,0.0,360.0,0.0,38.0,0.0,3383.0,0.0,51.0,0.0,4590.0,0.0,22.0,0.0,2010.0,0.0,Bundesliga
Sven Ulreich,32,"1,92 m",Germany,Goalkeeper,right,Hamburger SV,47.0,0.0,4290.0,0.0,12.0,0.0,1057.0,0.0,1.0,0.0,90.0,0.0,13.0,0.0,1170.0,0.0,Bundesliga
Christian Früchtl,20,"1,93 m",Germany,Goalkeeper,left,1.FC Nuremberg,25.0,0.0,2167.0,0.0,23.0,0.0,2070.0,0.0,27.0,0.0,2430.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Leo Weinkauf,24,"1,96 m",Germany,Goalkeeper,right,MSV Duisburg,16.0,0.0,1424.0,0.0,28.0,0.0,2520.0,0.0,41.0,0.0,3690.0,0.0,17.0,0.0,1530.0,0.0,Bundesliga
Tom Starke,39,"1,94 m",Germany,Goalkeeper,right,Retired,2.0,0.0,180.0,0.0,,,,,,,,,,,,,Bundesliga
Ron-Thorben Hoffmann,21,"1,92 m",Germany,Goalkeeper,right,Bayern Munich,27.0,0.0,2430.0,0.0,17.0,0.0,1530.0,0.0,11.0,0.0,990.0,0.0,15.0,0.0,1350.0,0.0,Bundesliga
Mats Hummels,32,"1,91 m",Germany,Defender - Centre-Back,right,Borussia Dortmund,41.0,3.0,3491.0,0.0,33.0,2.0,2849.0,0.0,41.0,1.0,3483.0,0.0,23.0,4.0,1984.0,0.0,Bundesliga
David Alaba,28,"1,80 m",Austria,Defender - Centre-Back,left,Bayern Munich,36.0,2.0,2638.0,0.0,43.0,3.0,3631.0,0.0,42.0,2.0,3693.0,0.0,20.0,1.0,1743.0,0.0,Bundesliga
Jérôme Boateng,32,"1,90 m",Germany,Defender - Centre-Back,right,Bayern Munich,31.0,2.0,2621.0,0.0,28.0,0.0,2419.0,0.0,38.0,0.0,2806.0,0.0,18.0,1.0,1407.0,0.0,Bundesliga
Niklas Süle,25,"1,95 m",Germany,Defender - Centre-Back,right,Bayern Munich,42.0,2.0,3017.0,0.0,42.0,2.0,3507.0,0.0,16.0,0.0,1151.0,0.0,17.0,2.0,1322.0,0.0,Bundesliga
Marco Friedl,22,"1,87 m",Austria,Defender - Centre-Back,left,SV Werder Bremen,22.0,1.0,1700.0,0.0,9.0,0.0,682.0,0.0,32.0,2.0,2577.0,0.0,15.0,0.0,1350.0,0.0,Bundesliga
Lars Lukas Mai,20,"1,90 m",Germany,Defender - Centre-Back,right,SV Darmstadt 98,34.0,1.0,2864.0,0.0,35.0,4.0,3094.0,0.0,26.0,1.0,2253.0,0.0,15.0,0.0,1373.0,0.0,Bundesliga
Felix Götze,22,"1,85 m",Germany,Defender - Centre-Back,right,FC Augsburg,24.0,4.0,1967.0,0.0,9.0,1.0,202.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,267.0,0.0,Bundesliga
Juan Bernat,27,"1,70 m",Spain,Defender - Left-Back,left,Paris Saint-Germain,12.0,0.0,937.0,0.0,41.0,4.0,3211.0,0.0,32.0,2.0,2483.0,0.0,3.0,0.0,195.0,0.0,Bundesliga
Jonathan Meier,21,"1,81 m",Germany,Defender - Left-Back,left,SG Dynamo Dresden,16.0,1.0,1228.0,0.0,22.0,0.0,1957.0,0.0,11.0,0.0,934.0,0.0,14.0,0.0,1246.0,0.0,Bundesliga
Rafinha,35,"1,72 m",Brazil  Germany,Defender - Right-Back,right,Olympiacos Piraeus,39.0,1.0,2607.0,0.0,53.0,1.0,3715.0,0.0,13.0,0.0,1151.0,0.0,20.0,0.0,1667.0,0.0,Bundesliga
Joshua Kimmich,25,"1,77 m",Germany,midfield - Defensive Midfield,right,Bayern Munich,47.0,6.0,3918.0,0.0,48.0,2.0,4281.0,0.0,51.0,7.0,4354.0,0.0,14.0,4.0,1143.0,0.0,Bundesliga
Javi Martínez,32,"1,89 m",Spain,midfield - Defensive Midfield,right,Bayern Munich,37.0,2.0,2738.0,0.0,33.0,4.0,2257.0,0.0,24.0,0.0,1015.0,0.0,16.0,1.0,603.0,0.0,Bundesliga
Sebastian Rudy,30,"1,80 m",Germany,midfield - Defensive Midfield,right,TSG 1899 Hoffenheim,35.0,1.0,2133.0,0.0,28.0,0.0,1853.0,0.0,35.0,1.0,2993.0,0.0,18.0,0.0,1244.0,0.0,Bundesliga
Niklas Dorsch,22,"1,78 m",Germany,midfield - Defensive Midfield,right,KAA Gent,34.0,5.0,2907.0,0.0,33.0,2.0,2544.0,0.0,36.0,1.0,3151.0,0.0,25.0,4.0,1955.0,0.0,Bundesliga
