name,age,height,citizenship,position,foot,current club,17/18 games,17/18 goals,17/18 assists,17/18 minutes,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Thiago,29,"1,74 m",Spain  Brazil,midfield - Central Midfield,right,Liverpool FC,32.0,7.0,2099.0,0.0,42.0,3.0,3426.0,0.0,40.0,3.0,2975.0,0.0,5.0,0.0,285.0,0.0,Bundesliga
Corentin Tolisso,26,"1,81 m",France  Togo,midfield - Central Midfield,right,Bayern Munich,40.0,10.0,2382.0,0.0,4.0,1.0,81.0,0.0,28.0,4.0,1396.0,0.0,15.0,2.0,983.0,0.0,Bundesliga
Arturo Vidal,33,"1,80 m",Chile,midfield - Central Midfield,right,Inter Milan,35.0,6.0,2309.0,0.0,53.0,3.0,2744.0,0.0,43.0,8.0,2245.0,0.0,19.0,0.0,1134.0,0.0,Bundesliga
Renato Sanches,23,"1,76 m",Portugal  Sao Tome and Principe,midfield - Central Midfield,right,LOSC Lille,16.0,0.0,895.0,0.0,24.0,2.0,782.0,0.0,33.0,4.0,2060.0,0.0,10.0,1.0,704.0,0.0,Bundesliga
James Rodríguez,29,"1,81 m",Colombia  Spain,midfield - Attacking Midfield,left,Everton FC,39.0,8.0,2643.0,0.0,28.0,7.0,1654.0,0.0,14.0,1.0,758.0,0.0,13.0,3.0,1057.0,0.0,Bundesliga
Fabian Benko,22,"1,80 m",Croatia  Germany,midfield - Attacking Midfield,left,FC Juniors OÖ,34.0,5.0,2630.0,0.0,11.0,0.0,550.0,0.0,23.0,4.0,1638.0,0.0,12.0,3.0,593.0,0.0,Bundesliga
Timothy Tillman,22,"1,83 m",Germany  United States,midfield - Attacking Midfield,right,SpVgg Greuther Fürth,34.0,6.0,2233.0,0.0,13.0,0.0,725.0,0.0,12.0,0.0,488.0,0.0,13.0,0.0,214.0,0.0,Bundesliga
Meritan Shabani,21,"1,85 m",Germany  Kosovo,midfield - Attacking Midfield,right,Wolverhampton Wanderers U23,30.0,9.0,2147.0,0.0,33.0,9.0,2551.0,0.0,10.0,2.0,649.0,0.0,13.0,3.0,1072.0,0.0,Bundesliga
Kingsley Coman,24,"1,80 m",France  Guadeloupe,attack - Left Winger,right,Bayern Munich,33.0,7.0,1869.0,0.0,30.0,10.0,1928.0,0.0,38.0,8.0,2434.0,0.0,16.0,5.0,1043.0,0.0,Bundesliga
Franck Ribéry,37,"1,70 m",France,attack - Left Winger,right,ACF Fiorentina,34.0,6.0,2241.0,0.0,38.0,7.0,1935.0,0.0,21.0,3.0,1424.0,0.0,15.0,0.0,1051.0,0.0,Bundesliga
Franck Evina,20,"1,80 m",Cameroon  Germany,attack - Left Winger,right,Hannover 96,37.0,8.0,2322.0,0.0,26.0,4.0,1211.0,0.0,32.0,5.0,1874.0,0.0,3.0,0.0,31.0,0.0,Bundesliga
Arjen Robben,36,"1,80 m",Netherlands,attack - Right Winger,left,FC Groningen,34.0,7.0,2336.0,0.0,19.0,6.0,1008.0,0.0,,,,,2.0,0.0,44.0,0.0,Bundesliga
Milos Pantovic,24,"1,85 m",Serbia  Germany,attack - Right Winger,right,VfL Bochum,33.0,12.0,2614.0,0.0,16.0,1.0,1106.0,0.0,21.0,0.0,1175.0,0.0,13.0,3.0,475.0,0.0,Bundesliga
Thomas Müller,31,"1,85 m",Germany,attack - Second Striker,right,Bayern Munich,45.0,15.0,3125.0,0.0,45.0,9.0,3251.0,0.0,50.0,14.0,3499.0,0.0,24.0,9.0,1971.0,0.0,Bundesliga
Robert Lewandowski,32,"1,85 m",Poland,attack - Centre-Forward,right,Bayern Munich,48.0,41.0,3787.0,0.0,47.0,40.0,4179.0,0.0,47.0,55.0,4133.0,0.0,20.0,23.0,1733.0,0.0,Bundesliga
Sandro Wagner,33,"1,94 m",Germany,attack - Centre-Forward,right,Retired,35.0,15.0,2187.0,0.0,38.0,13.0,2557.0,0.0,,,,,,,,,Bundesliga
Kwasi Okyere Wriedt,26,"1,88 m",Ghana  Germany,attack - Centre-Forward,left,Willem II Tilburg,34.0,21.0,2779.0,0.0,36.0,26.0,3203.0,0.0,34.0,24.0,2928.0,0.0,5.0,2.0,277.0,0.0,Bundesliga
Manuel Wintzheimer,22,"1,80 m",Germany,attack - Centre-Forward,both,Hamburger SV,39.0,36.0,3305.0,0.0,23.0,8.0,1713.0,0.0,23.0,3.0,913.0,0.0,15.0,2.0,887.0,0.0,Bundesliga
Roman Bürki,30,"1,87 m",Switzerland,Goalkeeper,right,Borussia Dortmund,47.0,0.0,4260.0,0.0,40.0,0.0,3660.0,0.0,39.0,0.0,3490.0,0.0,17.0,0.0,1530.0,0.0,Bundesliga
Dominik Reimann,23,"1,86 m",Germany  Poland,Goalkeeper,right,Holstein Kiel,26.0,0.0,2340.0,0.0,8.0,0.0,720.0,0.0,9.0,0.0,840.0,0.0,1.0,0.0,90.0,0.0,Bundesliga
Roman Weidenfeller,40,"1,88 m",Germany,Goalkeeper,left,Retired,3.0,0.0,90.0,0.0,,,,,,,,,,,,,Bundesliga
Manuel Akanji,25,"1,87 m",Switzerland  Nigeria,Defender - Centre-Back,right,Borussia Dortmund,39.0,2.0,3344.0,0.0,31.0,1.0,2775.0,0.0,39.0,0.0,3190.0,0.0,20.0,2.0,1745.0,0.0,Bundesliga
Sokratis,32,"1,86 m",Greece,Defender - Centre-Back,right,Arsenal FC,43.0,3.0,3574.0,0.0,40.0,3.0,3375.0,0.0,29.0,3.0,2325.0,0.0,2.0,0.0,161.0,0.0,Bundesliga
Marc Bartra,29,"1,84 m",Spain,Defender - Centre-Back,right,Real Betis Balompié,36.0,5.0,2912.0,0.0,46.0,1.0,3960.0,0.0,33.0,3.0,2780.0,0.0,13.0,0.0,1155.0,0.0,Bundesliga
Ömer Toprak,31,"1,87 m",Turkey  Germany,Defender - Centre-Back,right,SV Werder Bremen,36.0,0.0,2715.0,0.0,14.0,0.0,770.0,0.0,13.0,0.0,898.0,0.0,12.0,1.0,851.0,0.0,Bundesliga
Neven Subotic,32,"1,93 m",Germany  Serbia,Defender - Centre-Back,right,Denizlispor,21.0,2.0,1800.0,0.0,28.0,1.0,2362.0,0.0,23.0,1.0,1971.0,0.0,5.0,1.0,404.0,0.0,Bundesliga
Dan-Axel Zagadou,21,"1,96 m",France  Cote d'Ivoire,Defender - Centre-Back,left,Borussia Dortmund,16.0,1.0,996.0,0.0,23.0,2.0,1853.0,0.0,22.0,1.0,1418.0,0.0,7.0,0.0,228.0,0.0,Bundesliga
Marcel Schmelzer,32,"1,80 m",Germany,Defender - Left-Back,left,Borussia Dortmund,27.0,1.0,2140.0,0.0,13.0,0.0,877.0,0.0,8.0,1.0,59.0,0.0,,,,,Bundesliga
Jan-Niklas Beste,22,"1,74 m",Germany,Defender - Left-Back,left,SSV Jahn Regensburg,18.0,3.0,1495.0,0.0,28.0,2.0,2508.0,0.0,9.0,0.0,604.0,0.0,7.0,2.0,336.0,0.0,Bundesliga
Jeremy Toljan,26,"1,82 m",Germany  United States,Defender - Right-Back,right,US Sassuolo,27.0,1.0,1998.0,0.0,15.0,0.0,1031.0,0.0,30.0,1.0,2275.0,0.0,8.0,0.0,586.0,0.0,Bundesliga
Lukasz Piszczek,35,"1,84 m",Poland,Defender - Right-Back,right,Borussia Dortmund,31.0,0.0,2800.0,0.0,26.0,1.0,2329.0,0.0,38.0,1.0,2731.0,0.0,9.0,1.0,317.0,0.0,Bundesliga
Felix Passlack,22,"1,70 m",Germany,Defender - Right-Back,right,Borussia Dortmund,19.0,2.0,1281.0,0.0,8.0,0.0,628.0,0.0,28.0,3.0,2477.0,0.0,10.0,1.0,514.0,0.0,Bundesliga
Erik Durm,28,"1,83 m",Germany,Defender - Right-Back,right,Eintracht Frankfurt,0.0,0.0,0.0,0.0,30.0,0.0,2217.0,0.0,15.0,0.0,821.0,0.0,8.0,0.0,696.0,0.0,Bundesliga
Julian Weigl,25,"1,86 m",Germany,midfield - Defensive Midfield,right,SL Benfica,34.0,1.0,2573.0,0.0,25.0,1.0,2073.0,0.0,41.0,2.0,3250.0,0.0,19.0,1.0,1086.0,0.0,Bundesliga
Nuri Sahin,32,"1,80 m",Turkey  Germany,midfield - Defensive Midfield,left,Antalyaspor,25.0,2.0,1809.0,0.0,23.0,1.0,1742.0,0.0,17.0,0.0,1351.0,0.0,20.0,0.0,1547.0,0.0,Bundesliga
Mahmoud Dahoud,25,"1,78 m",Germany  Syria,midfield - Central Midfield,right,Borussia Dortmund,34.0,0.0,1831.0,0.0,22.0,1.0,1234.0,0.0,14.0,0.0,584.0,0.0,8.0,0.0,507.0,0.0,Bundesliga
Gonzalo Castro,33,"1,72 m",Germany  Spain,midfield - Central Midfield,right,VfB Stuttgart,28.0,1.0,1840.0,0.0,28.0,2.0,1892.0,0.0,31.0,3.0,2321.0,0.0,15.0,2.0,1073.0,0.0,Bundesliga
Sebastian Rode,30,"1,79 m",Germany,midfield - Central Midfield,right,Eintracht Frankfurt,1.0,0.0,74.0,0.0,22.0,1.0,1690.0,0.0,43.0,3.0,3065.0,0.0,13.0,1.0,922.0,0.0,Bundesliga
Raphaël Guerreiro,27,"1,70 m",Portugal  France,midfield - Left Midfield,left,Borussia Dortmund,15.0,2.0,910.0,0.0,32.0,6.0,2036.0,0.0,38.0,8.0,2962.0,0.0,18.0,3.0,1386.0,0.0,Bundesliga
Marco Reus,31,"1,80 m",Germany,midfield - Attacking Midfield,right,Borussia Dortmund,15.0,7.0,1163.0,0.0,36.0,21.0,3053.0,0.0,26.0,12.0,2120.0,0.0,23.0,4.0,1382.0,0.0,Bundesliga
Mario Götze,28,"1,76 m",Germany,midfield - Attacking Midfield,right,PSV Eindhoven,32.0,2.0,2202.0,0.0,34.0,7.0,2266.0,0.0,21.0,3.0,609.0,0.0,13.0,4.0,1003.0,0.0,Bundesliga
Shinji Kagawa,31,"1,75 m",Japan,midfield - Attacking Midfield,right,Without Club,27.0,6.0,1776.0,0.0,19.0,4.0,842.0,0.0,36.0,4.0,2180.0,0.0,,,,,Bundesliga
Sergio Gómez,20,"1,71 m",Spain,midfield - Attacking Midfield,left,SD Huesca,11.0,1.0,614.0,0.0,20.0,2.0,1538.0,0.0,37.0,1.0,1935.0,0.0,13.0,0.0,475.0,0.0,Bundesliga
André Schürrle,30,"1,84 m",Germany,attack - Left Winger,right,Retired,26.0,3.0,1706.0,0.0,25.0,6.0,1732.0,0.0,18.0,2.0,1139.0,0.0,,,,,Bundesliga
Jacob Bruun Larsen,22,"1,83 m",Denmark,attack - Left Winger,right,TSG 1899 Hoffenheim,12.0,4.0,639.0,0.0,30.0,3.0,1476.0,0.0,21.0,0.0,619.0,0.0,3.0,0.0,101.0,0.0,Bundesliga
Ousmane Dembélé,23,"1,78 m",France,attack - Right Winger,both,FC Barcelona,24.0,4.0,1250.0,0.0,42.0,14.0,2503.0,0.0,9.0,1.0,492.0,0.0,16.0,5.0,859.0,0.0,Bundesliga
Christian Pulisic,22,"1,72 m",United States  Croatia,attack - Right Winger,right,Chelsea FC,42.0,5.0,3038.0,0.0,30.0,7.0,1701.0,0.0,34.0,11.0,2348.0,0.0,13.0,2.0,871.0,0.0,Bundesliga
Andriy Yarmolenko,31,"1,89 m",Ukraine,attack - Right Winger,left,West Ham United,36.0,10.0,2475.0,0.0,10.0,2.0,549.0,0.0,23.0,5.0,985.0,0.0,13.0,2.0,600.0,0.0,Bundesliga
Jadon Sancho,20,"1,80 m",England,attack - Right Winger,right,Borussia Dortmund,21.0,5.0,1400.0,0.0,43.0,13.0,2967.0,0.0,44.0,20.0,3274.0,0.0,20.0,6.0,1525.0,0.0,Bundesliga
Maximilian Philipp,26,"1,83 m",Germany,attack - Second Striker,right,VfL Wolfsburg,28.0,9.0,1655.0,0.0,23.0,2.0,1046.0,0.0,21.0,8.0,1310.0,0.0,17.0,2.0,944.0,0.0,Bundesliga
Pierre-Emerick Aubameyang,31,"1,87 m",Gabon  France,attack - Centre-Forward,right,Arsenal FC,38.0,31.0,3316.0,0.0,51.0,31.0,3859.0,0.0,44.0,29.0,3725.0,0.0,18.0,6.0,1587.0,0.0,Bundesliga
Michy Batshuayi,27,"1,84 m",Belgium  DR Congo,attack - Centre-Forward,right,Crystal Palace,40.0,21.0,2329.0,0.0,36.0,9.0,1963.0,0.0,25.0,8.0,746.0,0.0,12.0,0.0,599.0,0.0,Bundesliga
Alexander Isak,21,"1,90 m",Sweden  Eritrea,attack - Centre-Forward,right,Real Sociedad,13.0,2.0,366.0,0.0,29.0,19.0,2484.0,0.0,44.0,16.0,1973.0,0.0,21.0,4.0,1267.0,0.0,Bundesliga
Bernd Leno,28,"1,90 m",Germany,Goalkeeper,right,Arsenal FC,38.0,0.0,3480.0,0.0,36.0,0.0,3195.0,0.0,32.0,0.0,2860.0,0.0,22.0,0.0,2010.0,0.0,Bundesliga
Ramazan Özcan,36,"1,85 m",Austria,Goalkeeper,left,Retired,1.0,0.0,90.0,0.0,4.0,0.0,360.0,0.0,1.0,0.0,90.0,0.0,,,,,Bundesliga
Niklas Lomb,27,"1,86 m",Germany,Goalkeeper,right,Bayer 04 Leverkusen,0.0,0.0,0.0,0.0,14.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.0,Bundesliga
Jonathan Tah,24,"1,95 m",Germany  Cote d'Ivoire,Defender - Centre-Back,right,Bayer 04 Leverkusen,33.0,0.0,2936.0,0.0,38.0,3.0,3389.0,0.0,39.0,0.0,3136.0,0.0,15.0,1.0,1146.0,0.0,Bundesliga
Panagiotis Retsos,22,"1,86 m",Greece,Defender - Centre-Back,right,AS Saint-Étienne,34.0,1.0,2437.0,0.0,1.0,0.0,31.0,0.0,7.0,0.0,285.0,0.0,3.0,0.0,228.0,0.0,Bundesliga
Sven Bender,31,"1,86 m",Germany,Defender - Centre-Back,right,Bayer 04 Leverkusen,34.0,2.0,2812.0,0.0,32.0,0.0,2435.0,0.0,47.0,4.0,3881.0,0.0,10.0,0.0,794.0,0.0,Bundesliga
Aleksandar Dragovic,29,"1,86 m",Austria  Serbia,Defender - Centre-Back,right,Bayer 04 Leverkusen,18.0,0.0,1401.0,0.0,28.0,2.0,2024.0,0.0,25.0,0.0,1552.0,0.0,18.0,2.0,1082.0,0.0,Bundesliga
Tin Jedvaj,25,"1,88 m",Croatia,Defender - Centre-Back,right,Bayer 04 Leverkusen,10.0,0.0,597.0,0.0,21.0,2.0,1470.0,0.0,31.0,2.0,2642.0,0.0,5.0,0.0,348.0,0.0,Bundesliga
André Ramalho,28,"1,82 m",Brazil  Italy,Defender - Centre-Back,both,Red Bull Salzburg,21.0,2.0,1647.0,0.0,45.0,1.0,3956.0,0.0,35.0,6.0,3072.0,0.0,19.0,1.0,1431.0,0.0,Bundesliga
Wendell,27,"1,76 m",Brazil,Defender - Left-Back,left,Bayer 04 Leverkusen,30.0,3.0,2533.0,0.0,39.0,2.0,3229.0,0.0,34.0,0.0,2643.0,0.0,11.0,0.0,820.0,0.0,Bundesliga
Lars Bender,31,"1,85 m",Germany,Defender - Right-Back,right,Bayer 04 Leverkusen,24.0,3.0,1792.0,0.0,27.0,1.0,1814.0,0.0,28.0,2.0,2043.0,0.0,16.0,1.0,1059.0,0.0,Bundesliga
Benjamin Henrichs,23,"1,83 m",Germany  Ghana,Defender - Right-Back,right,RB Leipzig,28.0,0.0,1531.0,0.0,30.0,1.0,2517.0,0.0,15.0,0.0,1069.0,0.0,11.0,0.0,466.0,0.0,Bundesliga
Julian Baumgartlinger,33,"1,84 m",Austria,midfield - Defensive Midfield,right,Bayer 04 Leverkusen,24.0,1.0,1577.0,0.0,27.0,0.0,1955.0,0.0,40.0,2.0,2404.0,0.0,20.0,3.0,1344.0,0.0,Bundesliga
Marlon Frey,24,"1,81 m",Germany,midfield - Defensive Midfield,right,SV Sandhausen,0.0,0.0,0.0,0.0,31.0,1.0,1578.0,0.0,25.0,0.0,1019.0,0.0,1.0,0.0,90.0,0.0,Bundesliga
Kevin Kampl,30,"1,78 m",Slovenia,midfield - Central Midfield,right,RB Leipzig,39.0,1.0,2993.0,0.0,40.0,3.0,3160.0,0.0,15.0,2.0,965.0,0.0,20.0,0.0,1267.0,0.0,Bundesliga
Charles Aránguiz,31,"1,71 m",Chile,midfield - Central Midfield,right,Bayer 04 Leverkusen,31.0,2.0,2620.0,0.0,29.0,3.0,2289.0,0.0,39.0,3.0,3112.0,0.0,5.0,1.0,388.0,0.0,Bundesliga
Dominik Kohr,26,"1,83 m",Germany,midfield - Central Midfield,right,Eintracht Frankfurt,32.0,2.0,2072.0,0.0,25.0,2.0,1450.0,0.0,40.0,1.0,2294.0,0.0,8.0,0.0,337.0,0.0,Bundesliga
Julian Brandt,24,"1,85 m",Germany,midfield - Attacking Midfield,right,Borussia Dortmund,39.0,12.0,2731.0,0.0,43.0,10.0,3337.0,0.0,42.0,7.0,2876.0,0.0,23.0,1.0,955.0,0.0,Bundesliga
Kai Havertz,21,"1,89 m",Germany,midfield - Attacking Midfield,left,Chelsea FC,35.0,4.0,2468.0,0.0,42.0,20.0,3505.0,0.0,45.0,18.0,3797.0,0.0,21.0,4.0,1219.0,0.0,Bundesliga
Vladlen Yurchenko,26,"1,81 m",Ukraine,midfield - Attacking Midfield,right,Zorya Lugansk,0.0,0.0,0.0,0.0,23.0,3.0,1372.0,0.0,35.0,8.0,2657.0,0.0,18.0,5.0,1561.0,0.0,Bundesliga
Leon Bailey,23,"1,78 m",Jamaica,attack - Right Winger,left,Bayer 04 Leverkusen,34.0,12.0,2521.0,0.0,39.0,5.0,2553.0,0.0,33.0,7.0,1465.0,0.0,20.0,9.0,1408.0,0.0,Bundesliga
Karim Bellarabi,30,"1,84 m",Germany  Morocco,attack - Right Winger,right,Bayer 04 Leverkusen,29.0,2.0,1385.0,0.0,24.0,9.0,1428.0,0.0,39.0,6.0,2233.0,0.0,18.0,3.0,748.0,0.0,Bundesliga
Admir Mehmedi,29,"1,83 m",Switzerland  North Macedonia,attack - Second Striker,right,VfL Wolfsburg,21.0,3.0,1284.0,0.0,28.0,7.0,1799.0,0.0,26.0,3.0,1631.0,0.0,14.0,2.0,905.0,0.0,Bundesliga
Kevin Volland,28,"1,79 m",Germany,attack - Centre-Forward,left,AS Monaco,35.0,14.0,3004.0,0.0,42.0,15.0,3375.0,0.0,40.0,12.0,3017.0,0.0,16.0,8.0,1145.0,0.0,Bundesliga
Lucas Alario,28,"1,85 m",Argentina  Italy,attack - Centre-Forward,right,Bayer 04 Leverkusen,27.0,10.0,1761.0,0.0,36.0,14.0,1828.0,0.0,36.0,12.0,1911.0,0.0,17.0,11.0,867.0,0.0,Bundesliga
Joel Pohjanpalo,26,"1,86 m",Finland,attack - Centre-Forward,right,1.FC Union Berlin,8.0,2.0,164.0,0.0,,,,,15.0,9.0,909.0,0.0,6.0,2.0,255.0,0.0,Bundesliga
Stefan Kießling,36,"1,91 m",Germany,attack - Centre-Forward,right,Retired,8.0,0.0,74.0,0.0,,,,,,,,,,,,,Bundesliga
Ralf Fährmann,32,"1,97 m",Germany,Goalkeeper,right,FC Schalke 04,39.0,0.0,3465.0,0.0,25.0,0.0,2189.0,0.0,3.0,0.0,202.0,0.0,10.0,0.0,855.0,0.0,Bundesliga
Alexander Nübel,24,"1,93 m",Germany,Goalkeeper,right,Bayern Munich,2.0,0.0,134.0,0.0,22.0,0.0,1979.0,0.0,29.0,0.0,2616.0,0.0,2.0,0.0,180.0,0.0,Bundesliga
Michael Langer,36,"1,95 m",Austria,Goalkeeper,right,FC Schalke 04,2.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,0.0,Bundesliga
Thilo Kehrer,24,"1,86 m",Germany  Burundi,Defender - Centre-Back,right,Paris Saint-Germain,33.0,3.0,2760.0,0.0,40.0,1.0,2953.0,0.0,21.0,1.0,1554.0,0.0,14.0,0.0,756.0,0.0,Bundesliga
Matija Nastasic,27,"1,88 m",Serbia,Defender - Centre-Back,left,FC Schalke 04,27.0,0.0,2259.0,0.0,37.0,1.0,3290.0,0.0,20.0,0.0,1664.0,0.0,12.0,0.0,971.0,0.0,Bundesliga
Benedikt Höwedes,32,"1,88 m",Germany,Defender - Centre-Back,right,Retired,3.0,1.0,248.0,0.0,26.0,4.0,2000.0,0.0,24.0,0.0,2104.0,0.0,,,,,Bundesliga
Benjamin Stambouli,30,"1,80 m",France  Algeria,Defender - Centre-Back,right,FC Schalke 04,32.0,0.0,2508.0,0.0,27.0,0.0,2314.0,0.0,10.0,0.0,900.0,0.0,12.0,0.0,975.0,0.0,Bundesliga
Pablo Insua,27,"1,87 m",Spain,Defender - Centre-Back,right,SD Huesca,1.0,0.0,26.0,0.0,12.0,0.0,959.0,0.0,9.0,0.0,666.0,0.0,9.0,0.0,751.0,0.0,Bundesliga
Naldo,38,"1,98 m",Brazil  Germany,Defender - Centre-Back,right,Retired,38.0,7.0,3420.0,0.0,22.0,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,,,,,Bundesliga
Abdul Rahman Baba,26,"1,79 m",Ghana,Defender - Left-Back,left,Chelsea FC,1.0,0.0,33.0,0.0,15.0,1.0,1292.0,0.0,3.0,0.0,199.0,0.0,3.0,0.0,229.0,0.0,Bundesliga
Bastian Oczipka,31,"1,85 m",Germany,Defender - Left-Back,left,FC Schalke 04,33.0,0.0,2679.0,0.0,25.0,1.0,2236.0,0.0,38.0,0.0,3404.0,0.0,16.0,0.0,1297.0,0.0,Bundesliga
Coke,33,"1,76 m",Spain,Defender - Right-Back,right,Levante UD,20.0,3.0,1566.0,0.0,30.0,5.0,2084.0,0.0,20.0,3.0,1288.0,0.0,9.0,1.0,420.0,0.0,Bundesliga
Sascha Riether,37,"1,74 m",Germany,Defender - Right-Back,right,Retired,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,Bundesliga
Johannes Geis,27,"1,81 m",Germany,midfield - Defensive Midfield,right,1.FC Nuremberg,20.0,0.0,1031.0,0.0,15.0,0.0,1212.0,0.0,31.0,5.0,2673.0,0.0,16.0,1.0,1315.0,0.0,Bundesliga
Leon Goretzka,25,"1,89 m",Germany,midfield - Central Midfield,right,Bayern Munich,29.0,4.0,2196.0,0.0,42.0,9.0,2720.0,0.0,38.0,8.0,2474.0,0.0,17.0,5.0,1258.0,0.0,Bundesliga
Nabil Bentaleb,26,"1,87 m",Algeria  France,midfield - Central Midfield,left,FC Schalke 04,19.0,4.0,1246.0,0.0,34.0,8.0,2381.0,0.0,17.0,0.0,1174.0,0.0,8.0,0.0,539.0,0.0,Bundesliga
Weston McKennie,22,"1,85 m",United States,midfield - Central Midfield,right,Juventus FC,25.0,0.0,1294.0,0.0,33.0,2.0,2329.0,0.0,32.0,3.0,2330.0,0.0,17.0,3.0,978.0,0.0,Bundesliga
