name,age,height,citizenship,position,foot,current club,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Ridle Baku,22,176.0,Germany  DR Congo,Defender - Right-Back,right,VfL Wolfsburg,17.0,0.0,1092.0,0.0,31.0,1.0,2424.0,0.0,11.0,2.0,918.0,0.0,Bundesliga
Ronaël Pierre-Gabriel,22,177.0,France,Defender - Right-Back,right,Stade Brest 29,5.0,0.0,416.0,0.0,8.0,0.0,578.0,0.0,9.0,1.0,741.0,0.0,Bundesliga
Daniel Brosinski,32,178.0,Germany,Defender - Right-Back,right,1.FSV Mainz 05,28.0,3.0,2414.0,0.0,27.0,2.0,1791.0,0.0,10.0,1.0,843.0,0.0,Bundesliga
Phillipp Mwene,26,170.0,Austria  Kenya,Defender - Right-Back,right,1.FSV Mainz 05,7.0,1.0,390.0,0.0,4.0,0.0,315.0,0.0,1.0,0.0,71.0,0.0,Bundesliga
Niklas Tauer,19,183.0,Germany,Midfielder - Defensive Midfield,right,1.FSV Mainz 05,25.0,2.0,2090.0,0.0,13.0,2.0,1069.0,0.0,6.0,0.0,343.0,0.0,Bundesliga
Pierre Kunde Malong,25,180.0,Cameroon,Midfielder - Central Midfield,right,1.FSV Mainz 05,31.0,0.0,1968.0,0.0,28.0,4.0,1873.0,0.0,8.0,0.0,340.0,0.0,Bundesliga
Edimilson Fernandes,24,190.0,Switzerland  Portugal,Midfielder - Central Midfield,right,1.FSV Mainz 05,33.0,2.0,2193.0,0.0,25.0,1.0,1579.0,0.0,7.0,0.0,361.0,0.0,Bundesliga
Leandro Barreiro,20,174.0,Luxembourg  Portugal,Midfielder - Central Midfield,right,1.FSV Mainz 05,24.0,5.0,2093.0,0.0,19.0,0.0,1026.0,0.0,8.0,0.0,506.0,0.0,Bundesliga
Danny Latza,31,179.0,Germany,Midfielder - Central Midfield,right,1.FSV Mainz 05,24.0,0.0,1874.0,0.0,24.0,0.0,1436.0,0.0,8.0,0.0,681.0,0.0,Bundesliga
Merveille Papela,19,174.0,Germany,Midfielder - Central Midfield,right,1.FSV Mainz 05,24.0,1.0,2006.0,0.0,12.0,1.0,767.0,0.0,9.0,0.0,674.0,0.0,Bundesliga
Levin Öztunali,24,185.0,Germany  Turkey,Midfielder - Right Midfield,right,1.FSV Mainz 05,16.0,0.0,954.0,0.0,27.0,4.0,1778.0,0.0,9.0,0.0,524.0,0.0,Bundesliga
Jean-Paul Boëtius,26,178.0,Netherlands  Suriname,Midfielder - Attacking Midfield,right,1.FSV Mainz 05,33.0,4.0,2272.0,0.0,29.0,4.0,2360.0,0.0,11.0,0.0,899.0,0.0,Bundesliga
Alexandru Maxim,30,177.0,Romania,Midfielder - Attacking Midfield,right,Gaziantep FK,24.0,3.0,727.0,0.0,21.0,7.0,1432.0,0.0,11.0,3.0,858.0,0.0,Bundesliga
Erkan Eyibil,19,175.0,Turkey  Germany,Midfielder - Attacking Midfield,left,Go Ahead Eagles Deventer,24.0,17.0,2031.0,0.0,17.0,6.0,1364.0,0.0,10.0,0.0,543.0,0.0,Bundesliga
Robin Quaison,27,183.0,Sweden  Ghana,Forward - Second Striker,right,1.FSV Mainz 05,30.0,9.0,2313.0,0.0,33.0,13.0,2701.0,0.0,11.0,3.0,668.0,0.0,Bundesliga
Jean-Philippe Mateta,23,192.0,France  DR Congo,Forward - Centre-Forward,right,1.FSV Mainz 05,36.0,14.0,2563.0,0.0,18.0,3.0,1056.0,0.0,11.0,10.0,890.0,0.0,Bundesliga
Karim Onisiwo,28,188.0,Austria,Forward - Centre-Forward,right,1.FSV Mainz 05,27.0,7.0,1242.0,0.0,33.0,4.0,1810.0,0.0,9.0,1.0,408.0,0.0,Bundesliga
Taiwo Awoniyi,23,183.0,Nigeria,Forward - Centre-Forward,right,1.FC Union Berlin,38.0,14.0,2203.0,0.0,12.0,1.0,475.0,0.0,8.0,2.0,411.0,0.0,Bundesliga
