;Players;Values
0;Ederson;70,00 Mio. €  
1;Claudio Bravo;2,50 Mio. €  
2;Arijanet Muric;2,00 Mio. €  
3;Daniel Grimshaw; 
4;Aymeric Laporte;75,00 Mio. €  
5;John Stones;60,00 Mio. €  
6;Nicolás Otamendi;25,00 Mio. €  
7;Eliaquim Mangala;10,00 Mio. €  
8;Vincent Kompany;8,00 Mio. €  
9;Philippe Sandler;2,50 Mio. €  
10;Pablo Marí;800 Tsd. €  
11;Erik Palmer-Brown;600 Tsd. €  
12;Eric García; 
13;Cameron Humphreys; 
14;Benjamin Mendy;35,00 Mio. €  
15;Oleksandr Zinchenko;20,00 Mio. €  
16;Kyle Walker;50,00 Mio. €  
17;Danilo;20,00 Mio. €  
18;Fernandinho;12,00 Mio. €  
19;Luke Brattan;500 Tsd. €  
20;Claudio Gomes; 
21;Ilkay Gündogan;50,00 Mio. €  
22;Phil Foden;25,00 Mio. €  
23;Fabian Delph;15,00 Mio. €  
24;Aleix García;3,00 Mio. €  
25;Douglas Luiz;2,50 Mio. €  
26;Mix Diskerud;1,00 Mio. €  
27;Anthony Cáceres;350 Tsd. €  
28;Taylor Richards; 
29;Luke Bolton; 
30;Kevin De Bruyne;130,00 Mio. €  
31;David Silva;20,00 Mio. €  
32;Brahim Díaz;17,00 Mio. €  
33;Luka Ilic;1,00 Mio. €  
34;Felix Nmecha; 
35;Adrián Bernabé; 
36;Raheem Sterling;140,00 Mio. €  
37;Leroy Sané;100,00 Mio. €  
38;Jack Harrison;4,00 Mio. €  
39;Bernardo Silva;100,00 Mio. €  
40;Riyad Mahrez;60,00 Mio. €  
41;Patrick Roberts;5,00 Mio. €  
42;Marlos Moreno;700 Tsd. €  
43;Ian Poveda; 
44;Gabriel Jesus;70,00 Mio. €  
45;Sergio Agüero;65,00 Mio. €  
0;Alisson;80,00 Mio. €  
1;Simon Mignolet;8,00 Mio. €  
2;Loris Karius;5,00 Mio. €  
3;Ádám Bogdán;500 Tsd. €  
4;Kamil Grabara;400 Tsd. €  
5;Caoimhin Kelleher; 
6;Virgil van Dijk;90,00 Mio. €  
7;Joe Gomez;35,00 Mio. €  
8;Joel Matip;30,00 Mio. €  
9;Dejan Lovren;20,00 Mio. €  
10;Andrew Robertson;60,00 Mio. €  
11;Alberto Moreno;9,00 Mio. €  
12;Trent Alexander-Arnold;80,00 Mio. €  
13;Nathaniel Clyne;12,00 Mio. €  
14;Connor Randall;500 Tsd. €  
15;Ki-Jana Hoever; 
16;Fabinho;50,00 Mio. €  
17;Naby Keïta;60,00 Mio. €  
18;Georginio Wijnaldum;50,00 Mio. €  
19;Jordan Henderson;35,00 Mio. €  
20;Alex Oxlade-Chamberlain;35,00 Mio. €  
21;Marko Grujic;20,00 Mio. €  
22;James Milner;15,00 Mio. €  
23;Curtis Jones; 
24;Adam Lallana;15,00 Mio. €  
25;Ben Woodburn;5,00 Mio. €  
26;Isaac Christie-Davies; 
27;Sadio Mané;120,00 Mio. €  
28;Mohamed Salah;150,00 Mio. €  
29;Xherdan Shaqiri;25,00 Mio. €  
30;Harry Wilson;12,00 Mio. €  
31;Sheyi Ojo;2,00 Mio. €  
32;Rafael Camacho; 
33;Roberto Firmino;80,00 Mio. €  
34;Divock Origi;20,00 Mio. €  
35;Dominic Solanke;18,00 Mio. €  
36;Danny Ings;15,00 Mio. €  
37;Daniel Sturridge;15,00 Mio. €  
38;Rhian Brewster; 
0;Hugo Lloris;25,00 Mio. €  
1;Paulo Gazzaniga;2,00 Mio. €  
2;Michel Vorm;1,00 Mio. €  
3;Alfie Whiteman; 
4;Davinson Sánchez;55,00 Mio. €  
5;Toby Alderweireld;40,00 Mio. €  
6;Eric Dier;40,00 Mio. €  
7;Jan Vertonghen;28,00 Mio. €  
8;Juan Foyth;15,00 Mio. €  
9;Cameron Carter-Vickers;1,50 Mio. €  
10;Danny Rose;25,00 Mio. €  
11;Ben Davies;25,00 Mio. €  
12;Kieran Trippier;35,00 Mio. €  
13;Serge Aurier;18,00 Mio. €  
14;Kyle Walker-Peters;3,50 Mio. €  
15;Timothy Eyoma; 
16;Harry Winks;25,00 Mio. €  
17;Victor Wanyama;20,00 Mio. €  
18;Oliver Skipp;5,00 Mio. €  
19;Luke Amos;100 Tsd. €  
20;George Marsh; 
21;Moussa Sissoko;25,00 Mio. €  
22;Mousa Dembélé;12,00 Mio. €  
23;Christian Eriksen;100,00 Mio. €  
24;Dele Alli;90,00 Mio. €  
25;Josh Onomah;3,00 Mio. €  
26;Heung-min Son;80,00 Mio. €  
27;Georges-Kevin N'Koudou;5,00 Mio. €  
28;Lucas Moura;40,00 Mio. €  
29;Erik Lamela;18,00 Mio. €  
30;Harry Kane;150,00 Mio. €  
31;Vincent Janssen;8,00 Mio. €  
32;Fernando Llorente;3,50 Mio. €  
33;Kazaiah Sterling; 
0;Kepa;60,00 Mio. €  
1;Willy Caballero;1,00 Mio. €  
2;Eduardo;750 Tsd. €  
3;Jamal Blackman;500 Tsd. €  
4;Rob Green;250 Tsd. €  
5;Jamie Cumming; 
6;Marcin Bulka; 
7;Antonio Rüdiger;50,00 Mio. €  
8;Andreas Christensen;30,00 Mio. €  
9;Kurt Zouma;25,00 Mio. €  
10;David Luiz;20,00 Mio. €  
11;Ethan Ampadu;10,00 Mio. €  
12;Gary Cahill;8,00 Mio. €  
13;Kenneth Omeruo;5,00 Mio. €  
14;Tomas Kalas;4,00 Mio. €  
15;Michael Hector;3,00 Mio. €  
16;Matt Miazga;3,00 Mio. €  
17;Marc Guehi; 
18;Marcos Alonso;40,00 Mio. €  
19;Emerson;15,00 Mio. €  
20;Abdul Rahman Baba;5,00 Mio. €  
21;César Azpilicueta;35,00 Mio. €  
22;Ola Aina;10,00 Mio. €  
23;Todd Kane;1,00 Mio. €  
24;Jorginho;65,00 Mio. €  
25;Tiemoué Bakayoko;35,00 Mio. €  
26;N'Golo Kanté;100,00 Mio. €  
27;Mateo Kovacic;35,00 Mio. €  
28;Ross Barkley;30,00 Mio. €  
29;Ruben Loftus-Cheek;30,00 Mio. €  
30;Cesc Fàbregas;15,00 Mio. €  
31;Mario Pasalic;10,00 Mio. €  
32;Marco van Ginkel;10,00 Mio. €  
33;Danny Drinkwater;8,00 Mio. €  
34;Lewis Baker;4,00 Mio. €  
35;Conor Gallagher; 
36;George McEachran; 
37;Davide Zappacosta;15,00 Mio. €  
38;Victor Moses;11,00 Mio. €  
39;Danilo Pantic;2,75 Mio. €  
40;Charly Musonda Jr.;2,00 Mio. €  
41;Nathan;900 Tsd. €  
42;Eden Hazard;150,00 Mio. €  
43;Christian Pulisic;60,00 Mio. €  
44;Callum Hudson-Odoi;35,00 Mio. €  
45;Kenedy;10,00 Mio. €  
46;Lucas Piazón;1,50 Mio. €  
47;Willian;40,00 Mio. €  
48;Pedro;20,00 Mio. €  
49;Álvaro Morata;50,00 Mio. €  
50;Gonzalo Higuaín;35,00 Mio. €  
51;Michy Batshuayi;30,00 Mio. €  
52;Tammy Abraham;20,00 Mio. €  
53;Olivier Giroud;15,00 Mio. €  
0;David de Gea;65,00 Mio. €  
1;Sergio Romero;3,50 Mio. €  
2;Joel Pereira;850 Tsd. €  
3;Lee Grant;750 Tsd. €  
4;Victor Lindelöf;35,00 Mio. €  
5;Eric Bailly;25,00 Mio. €  
6;Phil Jones;20,00 Mio. €  
7;Chris Smalling;20,00 Mio. €  
8;Marcos Rojo;12,00 Mio. €  
9;Axel Tuanzebe;7,00 Mio. €  
10;Luke Shaw;30,00 Mio. €  
11;Cameron Borthwick-Jackson;1,00 Mio. €  
12;Brandon Williams; 
13;Diogo Dalot;20,00 Mio. €  
14;Matteo Darmian;10,00 Mio. €  
15;Timothy Fosu-Mensah;7,00 Mio. €  
16;Antonio Valencia;5,00 Mio. €  
17;Nemanja Matic;30,00 Mio. €  
18;James Garner; 
19;Paul Pogba;100,00 Mio. €  
20;Fred;30,00 Mio. €  
21;Ander Herrera;25,00 Mio. €  
22;Marouane Fellaini;12,00 Mio. €  
23;Scott McTominay;12,00 Mio. €  
24;Ashley Young;5,00 Mio. €  
25;Juan Mata;20,00 Mio. €  
26;Andreas Pereira;10,00 Mio. €  
27;Angel Gomes; 
28;Marcus Rashford;80,00 Mio. €  
29;Jesse Lingard;40,00 Mio. €  
30;Tahith Chong; 
31;Mason Greenwood; 
32;Romelu Lukaku;75,00 Mio. €  
33;Anthony Martial;60,00 Mio. €  
34;Alexis Sánchez;35,00 Mio. €  
35;James Wilson;1,50 Mio. €  
0;Bernd Leno;30,00 Mio. €  
1;David Ospina;4,00 Mio. €  
2;Petr Cech;2,50 Mio. €  
3;Emiliano Martínez;2,00 Mio. €  
4;Matt Macey;250 Tsd. €  
5;Dejan Iliev; 
6;Shkodran Mustafi;25,00 Mio. €  
7;Sokratis;20,00 Mio. €  
8;Calum Chambers;14,00 Mio. €  
9;Rob Holding;12,00 Mio. €  
10;Laurent Koscielny;8,00 Mio. €  
11;Konstantinos Mavropanos;3,00 Mio. €  
12;Julio Pleguezuelo;300 Tsd. €  
13;Zech Medley; 
14;Sead Kolasinac;20,00 Mio. €  
15;Nacho Monreal;8,00 Mio. €  
16;Héctor Bellerín;40,00 Mio. €  
17;Carl Jenkinson;2,00 Mio. €  
18;Stephan Lichtsteiner;1,50 Mio. €  
19;Jordi Osei-Tutu; 
20;Granit Xhaka;45,00 Mio. €  
21;Mohamed Elneny;8,00 Mio. €  
22;Krystian Bielik;2,00 Mio. €  
23;Charlie Gilmour; 
24;Lucas Torreira;55,00 Mio. €  
25;Aaron Ramsey;40,00 Mio. €  
26;Mattéo Guendouzi;35,00 Mio. €  
27;Emile Smith Rowe;4,00 Mio. €  
28;Joe Willock; 
29;Ainsley Maitland-Niles;12,00 Mio. €  
30;Bukayo Saka; 
31;Henrikh Mkhitaryan;25,00 Mio. €  
32;Mesut Özil;25,00 Mio. €  
33;Denis Suárez;12,00 Mio. €  
34;Alex Iwobi;25,00 Mio. €  
35;Takuma Asano;1,50 Mio. €  
36;Reiss Nelson;17,00 Mio. €  
37;Alexandre Lacazette;70,00 Mio. €  
38;Pierre-Emerick Aubameyang;70,00 Mio. €  
39;Danny Welbeck;12,00 Mio. €  
40;Eddie Nketiah;8,00 Mio. €  
41;Tyreece John-Jules; 
0;Jordan Pickford;40,00 Mio. €  
1;Maarten Stekelenburg;1,00 Mio. €  
2;João Virgínia;500 Tsd. €  
3;Michael Keane;30,00 Mio. €  
4;Kurt Zouma;25,00 Mio. €  
5;Yerry Mina;25,00 Mio. €  
6;Mason Holgate;7,00 Mio. €  
7;Ashley Williams;2,00 Mio. €  
8;Phil Jagielka;1,00 Mio. €  
9;Matthew Pennington;1,00 Mio. €  
10;Tyias Browning;850 Tsd. €  
11;Lucas Digne;30,00 Mio. €  
12;Leighton Baines;3,50 Mio. €  
13;Brendan Galloway;1,50 Mio. €  
14;Luke Garbutt;750 Tsd. €  
15;Seamus Coleman;15,00 Mio. €  
16;Jonjoe Kenny;5,00 Mio. €  
17;Cuco Martina;1,50 Mio. €  
18;Idrissa Gueye;25,00 Mio. €  
19;Morgan Schneiderlin;15,00 Mio. €  
20;Muhamed Besic;5,00 Mio. €  
21;André Gomes;28,00 Mio. €  
22;Tom Davies;15,00 Mio. €  
23;James McCarthy;5,00 Mio. €  
24;Beni Baningime;2,00 Mio. €  
25;Gylfi Sigurdsson;35,00 Mio. €  
26;Nikola Vlasic;20,00 Mio. €  
27;Kieran Dowell;3,00 Mio. €  
28;Bernard;20,00 Mio. €  
29;Ademola Lookman;20,00 Mio. €  
30;Henry Onyekuru;13,00 Mio. €  
31;Yannick Bolasie;11,00 Mio. €  
32;Theo Walcott;18,00 Mio. €  
33;Kevin Mirallas;5,00 Mio. €  
34;Shani Tarashaj;500 Tsd. €  
35;Richarlison;50,00 Mio. €  
36;Dominic Calvert-Lewin;20,00 Mio. €  
37;Cenk Tosun;18,00 Mio. €  
38;Oumar Niasse;6,00 Mio. €  
39;Sandro Ramírez;4,00 Mio. €  
0;Kasper Schmeichel;12,00 Mio. €  
1;Danny Ward;8,00 Mio. €  
2;Eldin Jakupovic;750 Tsd. €  
3;Harry Maguire;50,00 Mio. €  
4;Caglar Söyüncü;15,00 Mio. €  
5;Filip Benkovic;11,00 Mio. €  
6;Jonny Evans;10,00 Mio. €  
7;Wes Morgan;2,00 Mio. €  
8;Ben Chilwell;35,00 Mio. €  
9;Christian Fuchs;3,00 Mio. €  
10;Callum Elder;250 Tsd. €  
11;Ricardo Pereira;25,00 Mio. €  
12;Danny Simpson;3,50 Mio. €  
13;Josh Knight; 
14;Wilfred Ndidi;35,00 Mio. €  
15;Nampalys Mendy;8,00 Mio. €  
16;Daniel Amartey;7,00 Mio. €  
17;Hamza Choudhury;5,00 Mio. €  
18;Youri Tielemans;38,00 Mio. €  
19;Adrien Silva;13,00 Mio. €  
20;Vicente Iborra;9,00 Mio. €  
21;Andy King;2,50 Mio. €  
22;Matty James;1,50 Mio. €  
23;Thakgalo Leshabela;100 Tsd. €  
24;Marc Albrighton;10,00 Mio. €  
25;Harvey Barnes;12,00 Mio. €  
26;James Maddison;40,00 Mio. €  
27;Bartosz Kapustka;2,50 Mio. €  
28;George Thomas;500 Tsd. €  
29;Demarai Gray;20,00 Mio. €  
30;Rachid Ghezzal;8,00 Mio. €  
31;Fousseni Diabaté;3,00 Mio. €  
32;Jamie Vardy;20,00 Mio. €  
33;Kelechi Iheanacho;12,00 Mio. €  
34;Islam Slimani;5,00 Mio. €  
35;Shinji Okazaki;4,00 Mio. €  
36;Leonardo Ulloa;2,50 Mio. €  
0;Lukasz Fabianski;5,00 Mio. €  
1;Adrián;3,50 Mio. €  
2;Issa Diop;35,00 Mio. €  
3;Fabián Balbuena;12,00 Mio. €  
4;Angelo Ogbonna;8,00 Mio. €  
5;Winston Reid;5,00 Mio. €  
6;Aaron Cresswell;10,00 Mio. €  
7;Arthur Masuaku;7,00 Mio. €  
8;Ryan Fredericks;5,00 Mio. €  
9;Sam Byram;3,50 Mio. €  
10;Pablo Zabaleta;3,50 Mio. €  
11;Ben Johnson; 
12;Declan Rice;45,00 Mio. €  
13;Reece Oxford;4,00 Mio. €  
14;Carlos Sánchez;1,50 Mio. €  
15;Conor Coventry; 
16;Jack Wilshere;10,00 Mio. €  
17;Edimilson Fernandes;8,00 Mio. €  
18;Pedro Obiang;7,00 Mio. €  
19;Mark Noble;7,00 Mio. €  
20;Josh Cullen;1,00 Mio. €  
21;Moses Makasi; 
22;Manuel Lanzini;20,00 Mio. €  
23;Samir Nasri;5,00 Mio. €  
24;Joe Powell; 
25;Felipe Anderson;40,00 Mio. €  
26;Grady Diangana;5,00 Mio. €  
27;Nathan Holland; 
28;Andriy Yarmolenko;20,00 Mio. €  
29;Robert Snodgrass;7,00 Mio. €  
30;Xande Silva;1,00 Mio. €  
31;Marko Arnautovic;35,00 Mio. €  
32;Michail Antonio;15,00 Mio. €  
33;Chicharito;12,00 Mio. €  
34;Andy Carroll;8,00 Mio. €  
35;Jordan Hugill;6,00 Mio. €  
36;Lucas Pérez;4,00 Mio. €  
0;Rui Patrício;20,00 Mio. €  
1;John Ruddy;3,00 Mio. €  
2;Will Norris;250 Tsd. €  
