;Players;Values
3;Jack Ruddy;100 Tsd. €  
4;Harry Burgoyne; 
5;Willy Boly;12,00 Mio. €  
6;Conor Coady;10,00 Mio. €  
7;Ryan Bennett;7,00 Mio. €  
8;Romain Saïss;5,00 Mio. €  
9;Roderick Miranda;1,75 Mio. €  
10;Kortney Hause;1,00 Mio. €  
11;Ethan Ebanks-Landell;250 Tsd. €  
12;Sylvain Deslandes;100 Tsd. €  
13;Cameron John; 
14;Max Kilman; 
15;Jonny Otto;20,00 Mio. €  
16;Rúben Vinagre;7,00 Mio. €  
17;Matt Doherty;15,00 Mio. €  
18;Phil Ofosu-Ayeh;300 Tsd. €  
19;Rúben Neves;45,00 Mio. €  
20;Leander Dendoncker;18,00 Mio. €  
21;João Moutinho;10,00 Mio. €  
22;Morgan Gibbs-White;8,00 Mio. €  
23;Connor Ronan;500 Tsd. €  
24;Ming-Yang Yang;250 Tsd. €  
25;Elliot Watt; 
26;Pedro Gonçalves; 
27;Ryan Giles; 
28;Diogo Jota;35,00 Mio. €  
29;Ivan Cavaleiro;10,00 Mio. €  
30;Jordan Graham;500 Tsd. €  
31;Hélder Costa;15,00 Mio. €  
32;Adama Traoré;15,00 Mio. €  
33;Raúl Jiménez;35,00 Mio. €  
34;Léo Bonatini;4,00 Mio. €  
35;Rafa Mir;3,00 Mio. €  
36;Bright Enobakhare;500 Tsd. €  
37;Michal Zyro;250 Tsd. €  
38;Benny Ashley-Seal;150 Tsd. €  
39;Niall Ennis; 
0;Martin Dubravka;7,00 Mio. €  
1;Karl Darlow;3,50 Mio. €  
2;Rob Elliot;1,00 Mio. €  
3;Freddie Woodman;500 Tsd. €  
4;Nathan Harker; 
5;Jamaal Lascelles;15,00 Mio. €  
6;Fabian Schär;8,00 Mio. €  
7;Florian Lejeune;8,00 Mio. €  
8;Federico Fernández;7,00 Mio. €  
9;Ciaran Clark;6,00 Mio. €  
10;Paul Dummett;5,00 Mio. €  
11;Lewis Cass; 
12;Kelland Watts; 
13;Matt Ritchie;12,00 Mio. €  
14;Antonio Barreca;7,00 Mio. €  
15;Achraf Lazaar;1,00 Mio. €  
16;DeAndre Yedlin;8,00 Mio. €  
17;Javier Manquillo;5,00 Mio. €  
18;Jamie Sterry;75 Tsd. €  
19;Isaac Hayden;8,00 Mio. €  
20;Sung-yueng Ki;6,00 Mio. €  
21;Jack Colback;3,00 Mio. €  
22;Jonjo Shelvey;15,00 Mio. €  
23;Sean Longstaff;7,00 Mio. €  
24;Mohamed Diamé;5,00 Mio. €  
25;Miguel Almirón;20,00 Mio. €  
26;Henri Saivet;1,00 Mio. €  
27;Kenedy;10,00 Mio. €  
28;Christian Atsu;6,00 Mio. €  
29;Rolando Aarons;500 Tsd. €  
30;Jacob Murphy;6,00 Mio. €  
31;Callum Roberts;75 Tsd. €  
32;Ayoze Pérez;20,00 Mio. €  
33;Dwight Gayle;15,00 Mio. €  
34;Salomón Rondón;15,00 Mio. €  
35;Yoshinori Muto;9,00 Mio. €  
36;Joselu;4,00 Mio. €  
0;Asmir Begovic;7,00 Mio. €  
1;Artur Boruc;1,00 Mio. €  
2;Aaron Ramsdale;750 Tsd. €  
3;Mark Travers;250 Tsd. €  
4;Nathan Aké;30,00 Mio. €  
5;Chris Mepham;13,00 Mio. €  
6;Steve Cook;10,00 Mio. €  
7;Tyrone Mings;5,00 Mio. €  
8;Jack Simpson;1,50 Mio. €  
9;Diego Rico;9,00 Mio. €  
10;Charlie Daniels;3,00 Mio. €  
11;Brad Smith;1,00 Mio. €  
12;Nathaniel Clyne;12,00 Mio. €  
13;Adam Smith;7,00 Mio. €  
14;Simon Francis;2,00 Mio. €  
15;Jefferson Lerma;25,00 Mio. €  
16;Matt Butcher; 
17;Lewis Cook;20,00 Mio. €  
18;Harry Arter;7,00 Mio. €  
19;Dan Gosling;3,50 Mio. €  
20;Andrew Surman;2,50 Mio. €  
21;Emerson Hyndman;1,00 Mio. €  
22;Nnamdi Ofoborh;150 Tsd. €  
23;Kyle Taylor; 
24;Ryan Fraser;30,00 Mio. €  
25;Junior Stanislas;4,50 Mio. €  
26;Marc Pugh;1,50 Mio. €  
27;Alex Dobre;50 Tsd. €  
28;David Brooks;30,00 Mio. €  
29;Jordon Ibe;8,00 Mio. €  
30;Connor Mahoney;750 Tsd. €  
31;Joshua King;20,00 Mio. €  
32;Callum Wilson;30,00 Mio. €  
33;Dominic Solanke;18,00 Mio. €  
34;Lys Mousset;3,50 Mio. €  
35;Jermain Defoe;2,00 Mio. €  
36;Sam Surridge; 
0;Ben Foster;3,00 Mio. €  
1;Heurelho Gomes;1,00 Mio. €  
2;Pontus Dahlberg;1,00 Mio. €  
3;Daniel Bachmann;500 Tsd. €  
4;Christian Kabasele;8,00 Mio. €  
5;Craig Cathcart;5,00 Mio. €  
6;Sebastian Prödl;3,50 Mio. €  
7;Adrian Mariappa;3,00 Mio. €  
8;Miguel Britos;2,00 Mio. €  
9;Ben Wilmot;1,50 Mio. €  
10;Jorge Segura;900 Tsd. €  
11;Tommie Hoban;500 Tsd. €  
12;Adam Masina;7,00 Mio. €  
13;Marvin Zeegelaar;2,50 Mio. €  
14;Jose Cholevas;2,00 Mio. €  
15;Daryl Janmaat;6,00 Mio. €  
16;Kiko Femenía;5,00 Mio. €  
17;Dimitri Foulquier;3,50 Mio. €  
18;Marc Navarro;2,00 Mio. €  
19;Étienne Capoue;8,00 Mio. €  
20;Nathaniel Chalobah;7,00 Mio. €  
21;Abdoulaye Doucouré;25,00 Mio. €  
22;Will Hughes;18,00 Mio. €  
23;Tom Cleverley;7,00 Mio. €  
24;Domingos Quina;5,00 Mio. €  
25;Kwasi Sibo;200 Tsd. €  
26;Ken Sema;3,50 Mio. €  
27;Roberto Pereyra;13,00 Mio. €  
28;Gerard Deulofeu;25,00 Mio. €  
29;Isaac Success;5,00 Mio. €  
30;Dodi Lukebakio;18,00 Mio. €  
31;Andre Gray;15,00 Mio. €  
32;Cucho Hernández;10,00 Mio. €  
33;Troy Deeney;10,00 Mio. €  
34;Stefano Okaka;5,00 Mio. €  
35;Adalberto Peñaranda;2,00 Mio. €  
36;Obbi Oulare;1,80 Mio. €  
37;Jerome Sinclair;1,50 Mio. €  
38;Filip Stuparevic;1,20 Mio. €  
0;Angus Gunn;10,00 Mio. €  
1;Fraser Forster;8,00 Mio. €  
2;Alex McCarthy;5,00 Mio. €  
3;Harry Lewis;200 Tsd. €  
4;Jack Rose;100 Tsd. €  
5;Jannik Vestergaard;20,00 Mio. €  
6;Jan Bednarek;15,00 Mio. €  
7;Wesley Hoedt;12,00 Mio. €  
8;Jack Stephens;8,00 Mio. €  
9;Maya Yoshida;7,00 Mio. €  
10;Alfie Jones;100 Tsd. €  
11;Ryan Bertrand;15,00 Mio. €  
12;Matt Targett;7,00 Mio. €  
13;Sam McQueen;1,00 Mio. €  
14;Cédric Soares;12,00 Mio. €  
15;Yan Valery;7,00 Mio. €  
16;Kayne Ramsay; 
17;Mario Lemina;15,00 Mio. €  
18;Pierre-Emile Höjbjerg;15,00 Mio. €  
19;Oriol Romeu;10,00 Mio. €  
20;Jordy Clasie;5,50 Mio. €  
21;Harrison Reed;2,00 Mio. €  
22;James Ward-Prowse;18,00 Mio. €  
23;Stuart Armstrong;8,00 Mio. €  
24;Steven Davis;2,00 Mio. €  
25;Callum Slattery; 
26;Jake Hesketh; 
27;Nathan Redmond;20,00 Mio. €  
28;Mohamed Elyounoussi;15,00 Mio. €  
29;Sofiane Boufal;12,00 Mio. €  
30;Tyreke Johnson; 
31;Josh Sims;2,00 Mio. €  
32;Danny Ings;15,00 Mio. €  
33;Manolo Gabbiadini;12,00 Mio. €  
34;Charlie Austin;8,00 Mio. €  
35;Guido Carrillo;7,50 Mio. €  
36;Shane Long;7,00 Mio. €  
37;Sam Gallagher;3,00 Mio. €  
38;Michael Obafemi;1,00 Mio. €  
39;Marcus Barnes; 
0;Wayne Hennessey;5,00 Mio. €  
1;Vicente Guaita;5,00 Mio. €  
2;Julián Speroni;250 Tsd. €  
3;Dion Henry;50 Tsd. €  
4;Joe Tupper; 
5;Mamadou Sakho;15,00 Mio. €  
6;James Tomkins;8,00 Mio. €  
7;Jairo Riedewald;5,00 Mio. €  
8;Scott Dann;4,00 Mio. €  
9;Ryan Inniss;150 Tsd. €  
10;Sam Woods; 
11;Patrick van Aanholt;10,00 Mio. €  
12;Pape Souaré;2,00 Mio. €  
13;Aaron Wan-Bissaka;35,00 Mio. €  
14;Joel Ward;4,00 Mio. €  
15;Martin Kelly;3,00 Mio. €  
16;Luka Milivojevic;20,00 Mio. €  
17;Cheikhou Kouyaté;10,00 Mio. €  
18;James McArthur;7,00 Mio. €  
19;Luke Dreher; 
20;Nya Kirby; 
21;Jeffrey Schlupp;10,00 Mio. €  
22;Max Meyer;15,00 Mio. €  
23;Jason Puncheon;3,00 Mio. €  
24;Jonathan Williams;1,00 Mio. €  
25;Giovanni McGregor; 
26;Wilfried Zaha;45,00 Mio. €  
27;Bakary Sako;4,00 Mio. €  
28;Sullay Kaikai;350 Tsd. €  
29;Andros Townsend;15,00 Mio. €  
30;Jason Lokilo;200 Tsd. €  
31;Michy Batshuayi;30,00 Mio. €  
32;Christian Benteke;15,00 Mio. €  
33;Jordan Ayew;8,00 Mio. €  
34;Alexander Sörloth;6,00 Mio. €  
35;Connor Wickham;3,00 Mio. €  
0;Mathew Ryan;10,00 Mio. €  
1;David Button;1,50 Mio. €  
2;Christian Walton;1,00 Mio. €  
3;Jason Steele;750 Tsd. €  
4;Robert Sánchez; 
5;Shane Duffy;12,00 Mio. €  
6;Lewis Dunk;12,00 Mio. €  
7;Dan Burn;3,00 Mio. €  
8;Leon Balogun;2,00 Mio. €  
9;Leo Östigard;150 Tsd. €  
10;Ben White; 
11;Ben Barclay; 
12;Bernardo;9,00 Mio. €  
13;Gaëtan Bong;2,00 Mio. €  
14;Markus Suttner;1,50 Mio. €  
15;Martín Montoya;8,00 Mio. €  
16;Ezequiel Schelotto;3,00 Mio. €  
17;Bruno;750 Tsd. €  
18;Tudor Baluta;4,50 Mio. €  
19;Will Collar; 
20;Yves Bissouma;15,00 Mio. €  
21;Davy Pröpper;15,00 Mio. €  
22;Pascal Groß;10,00 Mio. €  
23;Dale Stephens;6,00 Mio. €  
24;Beram Kayal;1,50 Mio. €  
25;Richie Towell;200 Tsd. €  
26;Max Sanders; 
27;Jayson Molumby; 
28;Solly March;8,00 Mio. €  
29;Alexis Mac Allister;5,00 Mio. €  
30;Percy Tau;3,50 Mio. €  
31;José Izquierdo;10,00 Mio. €  
32;Alireza Jahanbakhsh;15,00 Mio. €  
33;Anthony Knockaert;8,00 Mio. €  
34;Jürgen Locadia;12,00 Mio. €  
35;Florin Andone;6,00 Mio. €  
36;Glenn Murray;3,00 Mio. €  
37;Tomer Hemed;2,50 Mio. €  
38;Jan Mlakar;2,00 Mio. €  
39;Viktor Gyökeres;500 Tsd. €  
40;Aaron Connolly; 
0;Nick Pope;10,00 Mio. €  
1;Joe Hart;6,00 Mio. €  
2;Tom Heaton;3,00 Mio. €  
3;Anders Lindegaard;500 Tsd. €  
4;Adam Legzdins;250 Tsd. €  
5;James Tarkowski;18,00 Mio. €  
6;Ben Mee;10,00 Mio. €  
7;Ben Gibson;10,00 Mio. €  
8;Kevin Long;2,50 Mio. €  
9;Charlie Taylor;7,00 Mio. €  
10;Stephen Ward;2,00 Mio. €  
11;Ali Koiki; 
12;Anthony Driscoll-Glennon; 
13;Matthew Lowton;5,00 Mio. €  
14;Phil Bardsley;1,50 Mio. €  
15;Jack Cork;15,00 Mio. €  
16;Ashley Westwood;7,00 Mio. €  
17;Jeff Hendrick;10,00 Mio. €  
18;Steven Defour;5,00 Mio. €  
19;Aiden O'Neill;500 Tsd. €  
20;Josh Benson; 
21;Robbie Brady;8,00 Mio. €  
22;Dwight McNeil;15,00 Mio. €  
23;Jóhann Berg Gudmundsson;10,00 Mio. €  
24;Aaron Lennon;5,00 Mio. €  
25;Jonathan Walters;- 
26;Chris Wood;18,00 Mio. €  
27;Ashley Barnes;10,00 Mio. €  
28;Matej Vydra;8,00 Mio. €  
29;Sam Vokes;5,00 Mio. €  
30;Nahki Wells;4,00 Mio. €  
31;Peter Crouch;1,00 Mio. €  
32;Ntumba Massanka; 
0;Neil Etheridge;8,00 Mio. €  
1;Alex Smithies;3,50 Mio. €  
2;Brian Murphy;250 Tsd. €  
3;Sean Morrison;5,00 Mio. €  
4;Bruno Ecuele Manga;3,00 Mio. €  
5;Sol Bamba;1,00 Mio. €  
